In0.size,cores,exec_time
1000.0,16.0,15.0
1000.0,16.0,17.0
1000.0,16.0,16.0
1000.0,64.0,11.0
1000.0,64.0,11.0
1000.0,64.0,11.0
10000.0,16.0,15.0
10000.0,16.0,17.0
10000.0,16.0,15.0
10000.0,64.0,11.0
10000.0,64.0,11.0
10000.0,64.0,11.0
100000.0,16.0,16.0
100000.0,16.0,17.0
100000.0,16.0,17.0
100000.0,64.0,11.0
100000.0,64.0,12.0
100000.0,64.0,11.0
1000000.0,16.0,20.0
1000000.0,16.0,20.0
1000000.0,16.0,18.0
1000000.0,64.0,12.0
1000000.0,64.0,13.0
1000000.0,64.0,13.0
10000000.0,16.0,21.0
10000000.0,16.0,22.0
10000000.0,16.0,23.0
10000000.0,64.0,16.0
10000000.0,64.0,15.0
10000000.0,64.0,15.0
100000000.0,16.0,34.0
100000000.0,16.0,35.0
100000000.0,16.0,35.0
100000000.0,64.0,24.0
100000000.0,64.0,24.0
100000000.0,64.0,25.0
1000000000.0,16.0,51.0
1000000000.0,16.0,50.0
1000000000.0,16.0,44.0
1000000000.0,64.0,35.0
1000000000.0,64.0,38.0
1000000000.0,64.0,40.0
