In0.points,k,execTime
10000,1,159.919
10000,6,183.205
10000,11,162.938
10000,16,221.036
10000,21,277.064
20000,1,160.793
20000,6,166.85
20000,11,172.997
20000,16,252.888
20000,21,213.822
30000,1,163.982
30000,6,174.153
30000,11,170.941
30000,16,598.53
30000,21,614.155
40000,1,173.976
40000,6,251.61
40000,11,261.133
40000,16,391.392
40000,21,859.759
50000,1,194.888
50000,6,262.576
50000,11,323.011
50000,16,544.254
50000,21,879.029
60000,1,220.064
60000,6,467.171
60000,11,417.911
60000,16,462.023
60000,21,1592.11
70000,1,231.974
70000,6,734.913
70000,11,545.04
70000,16,663.806
70000,21,1729.35
80000,1,251.872
80000,6,409.662
80000,11,809.04
80000,16,982.37
80000,21,661.077
90000,1,254.384
90000,6,447.625
90000,11,919.735
90000,16,2142.96
90000,21,1015.45
100000,1,276.975
100000,6,639.395
100000,11,476.566
100000,16,1513.82
100000,21,1257.07
110000,1,281.384
110000,6,413.337
110000,11,1274.2
110000,16,1766.99
110000,21,2868.14
120000,1,294.731
120000,6,978.993
120000,11,1399.44
120000,16,2955.72
120000,21,2914.91
130000,1,459.739
130000,6,1895.87
130000,11,895.349
130000,16,467.606
130000,21,3176.66
140000,1,316.761
140000,6,697.11
140000,11,1593.9
140000,16,3365.1
140000,21,3427.94
150000,1,323.252
150000,6,774.429
150000,11,1382.6
150000,16,1803.31
150000,21,2783.88
