In0.points,k,execTime
10000,4,34.53
10000,4,35.019
10000,4,33.805
20000,4,43.348
20000,4,48.3
20000,4,45.635
30000,4,45.452
30000,4,49.966
30000,4,48.388
40000,4,49.939
40000,4,51.92
40000,4,48.378
50000,4,52.262
50000,4,57.371
50000,4,56.62
60000,4,66.031
60000,4,67.218
60000,4,66.088
70000,4,78.545
70000,4,94.146
70000,4,71.956
80000,4,81.076
80000,4,82.21
80000,4,83.383
90000,4,83.84
90000,4,87.488
90000,4,87.608
100000,4,87.85
100000,4,95.175
100000,4,93.07
10000,8,38.829
10000,8,39.046
10000,8,38.174
20000,8,59.692
20000,8,46.423
20000,8,48.151
30000,8,53.454
30000,8,52.005
30000,8,43.456
40000,8,57.152
40000,8,54.896
40000,8,61.218
50000,8,53.316
50000,8,54.079
50000,8,54.043
60000,8,70.589
60000,8,73.636
60000,8,70.065
70000,8,86.032
70000,8,85.484
70000,8,83.029
80000,8,86.496
80000,8,91.318
80000,8,86.793
90000,8,93.56
90000,8,92.903
90000,8,91.101
100000,8,97.051
100000,8,99.249
100000,8,107.599
10000,12,43.155
10000,12,46.62
10000,12,43.395
20000,12,56.239
20000,12,60.922
20000,12,64.689
30000,12,61.927
30000,12,58.687
30000,12,56.546
40000,12,70.182
40000,12,59.319
40000,12,62.429
50000,12,63.621
50000,12,71.238
50000,12,66.406
60000,12,93.909
60000,12,92.545
60000,12,95.28
70000,12,110.609
70000,12,105.387
70000,12,101.198
80000,12,106.048
80000,12,110.018
80000,12,103.147
90000,12,111.762
90000,12,120.85
90000,12,121.293
100000,12,124.847
100000,12,117.411
100000,12,121.908
10000,16,49.45
10000,16,47.497
10000,16,52.495
20000,16,63.768
20000,16,67.049
20000,16,60.224
30000,16,58.735
30000,16,61.212
30000,16,59.688
40000,16,66.125
40000,16,69.089
40000,16,71.122
50000,16,66.744
50000,16,76.736
50000,16,67.454
60000,16,90.911
60000,16,90.52
60000,16,93.087
70000,16,111.314
70000,16,115.278
70000,16,131.846
80000,16,106.82
80000,16,107.403
80000,16,108.6
90000,16,112.52
90000,16,116.12
90000,16,114.414
100000,16,143.96
100000,16,127.842
100000,16,120.708
10000,20,54.429
10000,20,50.408
10000,20,53.153
20000,20,71.432
20000,20,71.496
20000,20,62.257
30000,20,74.081
30000,20,69.878
30000,20,68.73
40000,20,73.738
40000,20,82.259
40000,20,75.738
50000,20,73.628
50000,20,74.008
50000,20,77.711
60000,20,108.431
60000,20,102.571
60000,20,100.12
70000,20,124.061
70000,20,133.737
70000,20,131.586
80000,20,116.351
80000,20,125.974
80000,20,122.351
90000,20,131.46
90000,20,130.899
90000,20,136.902
100000,20,137.074
100000,20,133.037
100000,20,139.974
