In0.points,k,execTime
1,1.0,3
1,6.0,3
1,11.0,4
1,16.0,4
1,21.0,5
500,1.0,4
500,6.0,7
500,11.0,11
500,16.0,9
500,21.0,10
1000,1.0,6
1000,6.0,16
1000,11.0,13
1000,16.0,17
1000,21.0,21
1500,1.0,8
1500,6.0,81
1500,11.0,69
1500,16.0,56
1500,21.0,56
2000,1.0,11
2000,6.0,181
2000,11.0,133
2000,16.0,96
2000,21.0,97
2500,1.0,13
2500,6.0,31
2500,11.0,67
2500,16.0,100
2500,21.0,125
3000,1.0,16
3000,6.0,45
3000,11.0,60
3000,16.0,103
3000,21.0,145
3500,1.0,19
3500,6.0,31
3500,11.0,95
3500,16.0,394
3500,21.0,227
4000,1.0,21
4000,6.0,125
4000,11.0,138
4000,16.0,121
4000,21.0,134
4500,1.0,24
4500,6.0,41
4500,11.0,423
4500,16.0,249
4500,21.0,315
5000,1.0,26
5000,6.0,126
5000,11.0,157
5000,16.0,215
5000,21.0,258
