points,k,execTime
100000.0,1.0,2.0
100000.0,6.0,5.0
100000.0,11.0,9.0
100000.0,16.0,19.0
100000.0,21.0,17.0
200000.0,1.0,2.0
200000.0,6.0,16.0
200000.0,11.0,25.0
200000.0,16.0,30.0
200000.0,21.0,18.0
300000.0,1.0,3.0
300000.0,6.0,17.0
300000.0,11.0,23.0
300000.0,16.0,74.0
300000.0,21.0,15.0
400000.0,1.0,4.0
400000.0,6.0,13.0
400000.0,11.0,24.0
400000.0,16.0,36.0
400000.0,21.0,74.0
500000.0,1.0,4.0
500000.0,6.0,12.0
500000.0,11.0,167.0
500000.0,16.0,26.0
500000.0,21.0,23.0
600000.0,1.0,5.0
600000.0,6.0,48.0
600000.0,11.0,33.0
600000.0,16.0,252.0
600000.0,21.0,80.0
700000.0,1.0,5.0
700000.0,6.0,48.0
700000.0,11.0,45.0
700000.0,16.0,50.0
700000.0,21.0,206.0
800000.0,1.0,5.0
800000.0,6.0,23.0
800000.0,11.0,51.0
800000.0,16.0,52.0
800000.0,21.0,83.0
900000.0,1.0,7.0
900000.0,6.0,26.0
900000.0,11.0,336.0
900000.0,16.0,75.0
900000.0,21.0,154.0
1000000.0,1.0,7.0
1000000.0,6.0,37.0
1000000.0,11.0,79.0
1000000.0,16.0,183.0
1000000.0,21.0,135.0
