id,documents,k,dimensions,time,date
1,500,1,2,0,"2015-04-06 18:46:07"
2,500,6,2,0,"2015-04-06 18:46:07"
3,500,11,2,0,"2015-04-06 18:46:08"
4,500,16,2,0,"2015-04-06 18:46:08"
5,500,21,2,0,"2015-04-06 18:46:08"
6,500,1,503,1000,"2015-04-06 18:46:13"
7,500,6,503,2000,"2015-04-06 18:46:15"
8,500,11,503,2000,"2015-04-06 18:46:17"
9,500,16,503,1000,"2015-04-06 18:46:18"
10,500,21,503,1000,"2015-04-06 18:46:19"
11,500,1,1011,1000,"2015-04-06 18:46:24"
12,500,6,1011,4000,"2015-04-06 18:46:28"
13,500,11,1011,5000,"2015-04-06 18:46:33"
14,500,16,1011,2000,"2015-04-06 18:46:35"
15,500,21,1011,3000,"2015-04-06 18:46:38"
16,500,1,1506,1000,"2015-04-06 18:46:43"
17,500,6,1506,5000,"2015-04-06 18:46:48"
18,500,11,1506,9000,"2015-04-06 18:46:57"
19,500,16,1506,5000,"2015-04-06 18:47:02"
20,500,21,1506,6000,"2015-04-06 18:47:08"
21,500,1,2032,2000,"2015-04-06 18:47:14"
22,500,6,2032,4000,"2015-04-06 18:47:18"
23,500,11,2032,4000,"2015-04-06 18:47:22"
24,500,16,2032,8000,"2015-04-06 18:47:30"
25,500,21,2032,6000,"2015-04-06 18:47:36"
26,500,1,2509,2000,"2015-04-06 18:47:42"
27,500,6,2509,6000,"2015-04-06 18:47:48"
28,500,11,2509,10000,"2015-04-06 18:47:58"
29,500,16,2509,6000,"2015-04-06 18:48:04"
30,500,21,2509,7000,"2015-04-06 18:48:11"
31,500,1,3088,2000,"2015-04-06 18:48:17"
32,500,6,3088,11000,"2015-04-06 18:48:28"
33,500,11,3088,9000,"2015-04-06 18:48:37"
34,500,16,3088,7000,"2015-04-06 18:48:44"
35,500,21,3088,9000,"2015-04-06 18:48:53"
36,500,1,3584,2000,"2015-04-06 18:48:59"
37,500,6,3584,13000,"2015-04-06 18:49:12"
38,500,11,3584,10000,"2015-04-06 18:49:22"
39,500,16,3584,10000,"2015-04-06 18:49:32"
40,500,21,3584,11000,"2015-04-06 18:49:43"
41,500,1,4129,2000,"2015-04-06 18:49:49"
42,500,6,4129,5000,"2015-04-06 18:49:54"
43,500,11,4129,8000,"2015-04-06 18:50:02"
44,500,16,4129,11000,"2015-04-06 18:50:13"
45,500,21,4129,10000,"2015-04-06 18:50:23"
46,500,1,4512,2000,"2015-04-06 18:50:29"
47,500,6,4512,5000,"2015-04-06 18:50:35"
