nodes,cores,In0.uniqueKeys,execTime
2,1,1000,197.77
2,1,2000,378.28
2,1,3000,439.77
2,1,4000,646.05
2,1,5000,644.22
2,2,1000,122.26
2,2,2000,193.78
2,2,3000,256.89
2,2,4000,323.58
2,2,5000,407.87
2,4,1000,72.23
2,4,2000,116.11
2,4,3000,168.45
2,4,4000,237.23
2,4,5000,362.66
3,1,1000,121.65
3,1,2000,219.56
3,1,3000,290.44
3,1,4000,379.09
3,1,5000,485.79
3,2,1000,112.32
3,2,2000,170.86
3,2,3000,220.88
3,2,4000,234.04
3,2,5000,282.44
3,4,1000,66.51
3,4,2000,86.08
3,4,3000,116.75
3,4,4000,157.9
3,4,5000,182.72
4,1,1000,105.31
4,1,2000,172.07
4,1,3000,234.23
4,1,4000,308.78
4,1,5000,374.38
4,2,1000,72.5
4,2,2000,109.49
4,2,3000,147.83
4,2,4000,182.44
4,2,5000,226.13
4,4,1000,54.75
4,4,2000,75.87
4,4,3000,99.54
4,4,4000,135.62
4,4,5000,147.75
5,1,1000,100.11
5,1,2000,150.1
5,1,3000,199.13
5,1,4000,256.98
5,1,5000,306.42
5,2,1000,72.53
5,2,2000,101.68
5,2,3000,128.99
5,2,4000,158.88
5,2,5000,191.09
5,4,1000,51.28
5,4,2000,71.64
5,4,3000,97.88
5,4,4000,100.74
5,4,5000,124.57
6,1,1000,90.76
6,1,2000,125.44
6,1,3000,174.16
6,1,4000,247.16
6,1,5000,296.76
6,2,1000,67.87
6,2,2000,88.44
6,2,3000,113.05
6,2,4000,145.12
6,2,5000,169.22
6,4,1000,50.87
6,4,2000,75.56
6,4,3000,95.83
6,4,4000,101.3
6,4,5000,143.5
7,1,1000,80.29
7,1,2000,122.06
7,1,3000,152.81
7,1,4000,193.48
7,1,5000,250.62
7,2,1000,64.48
7,2,2000,88.33
7,2,3000,112.33
7,2,4000,129.34
7,2,5000,151.72
7,4,1000,52.9
7,4,2000,63.42
7,4,3000,76.14
7,4,4000,92.02
7,4,5000,126.55
8,1,1000,84.51
8,1,2000,107.52
8,1,3000,142.73
8,1,4000,178.7
8,1,5000,236.48
8,2,1000,56.44
8,2,2000,73.5
8,2,3000,92.76
8,2,4000,114.57
8,2,5000,136.99
8,4,1000,51.73
8,4,2000,60.32
8,4,3000,90.02
8,4,4000,96.53
8,4,5000,105.43
9,1,1000,84.27
9,1,2000,121.5
9,1,3000,150.87
9,1,4000,158.62
9,1,5000,218.64
9,2,1000,58.96
9,2,2000,74.21
9,2,3000,94.07
9,2,4000,115.47
9,2,5000,130.96
9,4,1000,47.78
9,4,2000,54.13
9,4,3000,72.44
9,4,4000,76.06
9,4,5000,92.14
10,1,1000,87.06
10,1,2000,119.91
10,1,3000,149.92
10,1,4000,193
10,1,5000,291.08
10,2,1000,57.04
10,2,2000,81.57
10,2,3000,95.51
10,2,4000,146.61
10,2,5000,215.58
10,4,1000,52.07
10,4,2000,59.82
10,4,3000,80.22
10,4,4000,86.37
10,4,5000,93.54
