points,k,d,max_df,execTime
10000,1,36445,35,148.56
10000,6,36445,35,177.445
10000,11,36445,35,205.663
10000,16,36445,35,214.441
10000,21,36445,35,307.826
10000,1,36445,65,152.894
10000,6,36445,65,184.086
10000,11,36445,65,210.437
10000,16,36445,65,237.276
10000,21,36445,65,242.717
10000,1,36445,95,159.919
10000,6,36445,95,183.205
10000,11,36445,95,162.938
10000,16,36445,95,221.036
10000,21,36445,95,277.064
20000,1,53069,35,159.072
20000,6,53069,35,163.341
20000,11,53069,35,304.267
20000,16,53069,35,266.794
20000,21,53069,35,354.969
20000,1,53069,65,160.662
20000,6,53069,65,170.489
20000,11,53069,65,171.098
20000,16,53069,65,227.745
20000,21,53069,65,204.805
20000,1,53069,95,160.793
20000,6,53069,95,166.85
20000,11,53069,95,172.997
20000,16,53069,95,252.888
20000,21,53069,95,213.822
30000,1,70344,35,162.053
30000,6,70344,35,169.542
30000,11,70344,35,44.581
30000,1,70344,35,164.513
30000,6,70344,35,297.345
30000,11,70344,35,376.7
30000,16,70344,35,273.569
30000,21,70344,35,286.426
30000,1,70344,65,163.448
30000,6,70344,65,213.279
30000,11,70344,65,195.919
30000,16,70344,65,227.557
30000,21,70344,65,444.026
30000,1,70344,95,163.982
30000,6,70344,95,174.153
30000,11,70344,95,170.941
30000,16,70344,95,598.53
30000,21,70344,95,614.155
40000,1,82917,35,179.92
40000,6,82917,35,207.103
40000,11,82917,35,190.795
40000,16,82917,35,1146.66
40000,21,82917,35,1381.73
40000,1,82917,65,173.889
40000,6,82917,65,254.192
40000,11,82917,65,216.02
40000,16,82917,65,872.146
40000,21,82917,65,424.157
40000,1,82917,95,173.976
40000,6,82917,95,251.61
40000,11,82917,95,261.133
40000,16,82917,95,391.392
40000,21,82917,95,859.759
50000,1,97429,35,191.114
50000,6,97429,35,281.071
50000,11,97429,35,363.063
50000,16,97429,35,744.19
50000,21,97429,35,1531.71
50000,1,97429,65,195.862
50000,6,97429,65,314.677
50000,11,97429,65,792.202
50000,16,97429,65,506.579
50000,21,97429,65,560.461
50000,1,97429,95,194.888
50000,6,97429,95,262.576
50000,11,97429,95,323.011
50000,16,97429,95,544.254
50000,21,97429,95,879.029
60000,1,112227,35,219.8
60000,6,112227,35,1839.33
60000,11,112227,35,715.346
60000,16,112227,35,244.487
60000,21,112227,35,2026.3
60000,1,112227,65,219.661
60000,6,112227,65,299.677
60000,11,112227,65,697.466
60000,16,112227,65,614.004
60000,21,112227,65,1017.1
60000,1,112227,95,220.064
60000,6,112227,95,467.171
60000,11,112227,95,417.911
60000,16,112227,95,462.023
60000,21,112227,95,1592.11
70000,1,124463,35,231.444
70000,6,124463,35,618.984
70000,11,124463,35,1066.59
70000,16,124463,35,1990.05
70000,21,124463,35,1678.16
70000,1,124463,65,232.516
70000,6,124463,65,279.708
70000,11,124463,65,429.322
70000,16,124463,65,452.803
70000,21,124463,65,613.822
70000,1,124463,95,231.974
70000,6,124463,95,734.913
70000,11,124463,95,545.04
70000,16,124463,95,663.806
70000,21,124463,95,1729.35
80000,1,135221,35,237.622
80000,6,135221,35,436.014
80000,11,135221,35,264.163
80000,16,135221,35,1243.98
80000,21,135221,35,761.007
80000,1,135221,65,248.787
80000,6,135221,65,257.076
80000,11,135221,65,500.815
80000,16,135221,65,901.387
80000,21,135221,65,960.853
80000,1,135221,95,251.872
80000,6,135221,95,409.662
80000,11,135221,95,809.04
80000,16,135221,95,982.37
80000,21,135221,95,661.077
90000,1,145251,35,264.497
90000,6,145251,35,365.956
90000,11,145251,35,631.869
90000,16,145251,35,2272.78
90000,21,145251,35,2333.87
90000,1,145251,65,276.022
90000,6,145251,65,321.22
90000,11,145251,65,916.575
90000,16,145251,65,1865.31
