In0.size,cores,exec_time
1000.0,16.0,20.0
1000.0,16.0,16.0
1000.0,16.0,14.0
1000.0,64.0,11.0
1000.0,64.0,11.0
1000.0,64.0,11.0
10000.0,16.0,15.0
10000.0,16.0,15.0
10000.0,16.0,15.0
10000.0,64.0,11.0
10000.0,64.0,11.0
10000.0,64.0,11.0
100000.0,16.0,17.0
100000.0,16.0,18.0
100000.0,16.0,16.0
100000.0,64.0,12.0
100000.0,64.0,12.0
100000.0,64.0,12.0
1000000.0,16.0,21.0
1000000.0,16.0,21.0
1000000.0,16.0,20.0
1000000.0,64.0,16.0
1000000.0,64.0,15.0
1000000.0,64.0,15.0
10000000.0,16.0,157.0
10000000.0,16.0,146.0
10000000.0,16.0,130.0
10000000.0,64.0,78.0
10000000.0,64.0,85.0
10000000.0,64.0,76.0
100000000.0,16.0,9270.0
100000000.0,16.0,9313.0
100000000.0,16.0,8923.0
100000000.0,64.0,4057.0
100000000.0,64.0,3921.0
100000000.0,64.0,4364.0
