In0.points,k,exec_time
1000000,4,34.53
1000000,4,35.019
1000000,4,33.805
2000000,4,43.348
2000000,4,48.3
2000000,4,45.635
3000000,4,45.452
3000000,4,49.966
3000000,4,48.388
4000000,4,49.939
4000000,4,51.92
4000000,4,48.378
5000000,4,52.262
5000000,4,57.371
5000000,4,56.62
6000000,4,66.031
6000000,4,67.218
6000000,4,66.088
7000000,4,78.545
7000000,4,94.146
7000000,4,71.956
8000000,4,81.076
8000000,4,82.21
8000000,4,83.383
9000000,4,83.84
9000000,4,87.488
9000000,4,87.608
10000000,4,87.85
10000000,4,95.175
10000000,4,93.07
1000000,8,38.829
1000000,8,39.046
1000000,8,38.174
2000000,8,59.692
2000000,8,46.423
2000000,8,48.151
3000000,8,53.454
3000000,8,52.005
3000000,8,43.456
4000000,8,57.152
4000000,8,54.896
4000000,8,61.218
5000000,8,53.316
5000000,8,54.079
5000000,8,54.043
6000000,8,70.589
6000000,8,73.636
6000000,8,70.065
7000000,8,86.032
7000000,8,85.484
7000000,8,83.029
8000000,8,86.496
8000000,8,91.318
8000000,8,86.793
9000000,8,93.56
9000000,8,92.903
9000000,8,91.101
10000000,8,97.051
10000000,8,99.249
10000000,8,107.599
1000000,12,43.155
1000000,12,46.62
1000000,12,43.395
2000000,12,56.239
2000000,12,60.922
2000000,12,64.689
3000000,12,61.927
3000000,12,58.687
3000000,12,56.546
4000000,12,70.182
4000000,12,59.319
4000000,12,62.429
5000000,12,63.621
5000000,12,71.238
5000000,12,66.406
6000000,12,93.909
6000000,12,92.545
6000000,12,95.28
7000000,12,110.609
7000000,12,105.387
7000000,12,101.198
8000000,12,106.048
8000000,12,110.018
8000000,12,103.147
9000000,12,111.762
9000000,12,120.85
9000000,12,121.293
10000000,12,124.847
10000000,12,117.411
10000000,12,121.908
1000000,16,49.45
1000000,16,47.497
1000000,16,52.495
2000000,16,63.768
2000000,16,67.049
2000000,16,60.224
3000000,16,58.735
3000000,16,61.212
3000000,16,59.688
4000000,16,66.125
4000000,16,69.089
4000000,16,71.122
5000000,16,66.744
5000000,16,76.736
5000000,16,67.454
6000000,16,90.911
6000000,16,90.52
6000000,16,93.087
7000000,16,111.314
7000000,16,115.278
7000000,16,131.846
8000000,16,106.82
8000000,16,107.403
8000000,16,108.6
9000000,16,112.52
9000000,16,116.12
9000000,16,114.414
10000000,16,143.96
10000000,16,127.842
10000000,16,120.708
1000000,20,54.429
1000000,20,50.408
1000000,20,53.153
2000000,20,71.432
2000000,20,71.496
2000000,20,62.257
3000000,20,74.081
3000000,20,69.878
3000000,20,68.73
4000000,20,73.738
4000000,20,82.259
4000000,20,75.738
5000000,20,73.628
5000000,20,74.008
5000000,20,77.711
6000000,20,108.431
6000000,20,102.571
6000000,20,100.12
7000000,20,124.061
7000000,20,133.737
7000000,20,131.586
8000000,20,116.351
8000000,20,125.974
8000000,20,122.351
9000000,20,131.46
9000000,20,130.899
9000000,20,136.902
10000000,20,137.074
10000000,20,133.037
10000000,20,139.974
