nodes	cores	size	time
2	1	50	72.85
2	1	100	104.18
2	1	200	170.26
2	1	300	231.14
2	1	400	330.82
2	1	500	433.18
2	2	50	190.31
2	2	100	130.08
2	2	200	220.17
2	2	300	208.66
2	2	400	195.29
2	2	500	156.29
2	4	50	59.83
2	4	100	86.61
2	4	200	116.28
2	4	300	143.34
2	4	400	167.66
2	4	500	167.67
3	1	50	71.68
3	1	100	102.34
3	1	200	158.03
3	1	300	203.21
3	1	400	293.93
3	1	500	335.75
3	2	50	65.17
3	2	100	89.54
3	2	200	134.27
3	2	300	170.84
3	2	400	225.22
3	2	500	248.06
3	4	50	62.92
3	4	100	77.94
3	4	200	113.98
3	4	300	137.86
3	4	400	179.19
3	4	500	174.28
4	1	50	72.92
4	1	100	101.41
4	1	200	155.94
4	1	300	198.14
4	1	400	276.96
4	1	500	315.42
4	2	50	70.94
4	2	100	93.67
4	2	200	129.78
4	2	300	156.62
4	2	400	229.34
4	2	500	291.94
4	4	50	62.92
4	4	100	86.40
4	4	200	677.14
4	4	300	311.56
4	4	400	206.63
4	4	500	188.55
5	1	50	79.97
5	1	100	104.85
5	1	200	158.75
5	1	300	191.36
5	1	400	348.51
5	1	500	309.64
5	2	50	82.52
5	2	100	521.21
5	2	200	174.00
5	2	300	146.43
5	2	400	201.04
5	2	500	222.33
5	4	50	202.59
5	4	100	373.35
5	4	200	351.52
5	4	300	203.37
5	4	400	188.80
5	4	500	209.52
6	1	50	74.67
6	1	100	104.70
6	1	200	154.36
6	1	300	188.25
6	1	400	265.33
6	1	500	307.30
6	2	50	76.12
6	2	100	92.28
6	2	200	285.12
6	2	300	254.42
6	2	400	246.24
6	2	500	234.22
6	4	50	64.28
6	4	100	78.70
6	4	200	130.35
6	4	300	436.98
6	4	400	228.53
6	4	500	267.85
7	1	50	316.11
7	1	100	132.01
7	1	200	295.06
7	1	300	383.82
7	1	400	180.67
7	1	500	296.98
7	2	50	219.87
7	2	100	405.24
7	2	200	164.95
7	2	300	298.87
7	2	400	294.47
7	2	500	369.22
7	4	50	76.27
7	4	100	150.90
7	4	200	416.24
7	4	300	268.08
7	4	400	175.58
7	4	500	264.26
8	1	50	119.14
8	1	100	196.02
8	1	200	202.39
8	1	300	198.42
8	1	400	296.33
8	1	500	206.61
8	2	50	533.09
8	2	100	656.29
8	2	200	384.94
8	2	300	446.07
8	2	400	80.61
8	2	500	298.70
8	4	50	444.59
8	4	100	259.95
8	4	200	337.74
8	4	300	297.27
8	4	400	169.06
8	4	500	303.08
9	1	50	146.69
9	1	100	150.80
9	1	200	201.68
9	1	300	233.64
9	1	400	352.88
9	1	500	339.47
9	2	50	154.36
9	2	100	564.78
9	2	200	14.84
9	2	300	80.39
9	2	400	85.31
9	2	500	33.46
9	4	50	333.87
9	4	100	159.02
9	4	200	187.07
9	4	300	181.13
9	4	400	1005.25
9	4	500	189.23
10	1	50	99.29
10	1	100	119.46
10	1	200	187.09
10	1	300	382.32
10	1	400	273.78
10	1	500	276.90
10	2	50	71.29
10	2	100	89.37
10	2	200	135.17
10	2	300	150.12
10	2	400	186.66
10	2	500	195.12
10	4	50	64.69
10	4	100	84.75
10	4	200	108.46
10	4	300	168.14
10	4	400	324.45
10	4	500	321.48
