nodes	size	time
2	50	72.85
2	100	104.18
2	200	170.26
2	300	231.14
2	400	330.82
2	500	433.18
3	50	71.68
3	100	102.34
3	200	158.03
3	300	203.21
3	400	293.93
3	500	335.75
4	50	72.92
4	100	101.41
4	200	155.94
4	300	198.14
4	400	276.96
4	500	315.42
5	50	79.97
5	100	104.85
5	200	158.75
5	300	191.36
5	400	248.51
5	500	309.64
6	50	74.67
6	100	104.7
6	200	154.36
6	300	188.25
6	400	265.33
6	500	307.3
7	50	76.11
7	100	102.01
7	200	155.06
7	300	183.82
7	400	280.67
7	500	296.98
8	50	79.14
8	100	106.02
8	200	152.39
8	300	188.42
8	400	256.33
8	500	306.61
9	50	76.69
9	100	140.8
9	200	191.68
9	300	233.64
9	400	252.88
9	500	309.47
10	50	99.29
10	100	119.46
10	200	187.09
10	300	242.32
10	400	273.78
10	500	276.9
