nodes	size	time
2	10	197.77
2	20	378.28
2	30	439.77
2	40	646.05
2	50	644.22
3	10	121.65
3	20	219.56
3	30	290.44
3	40	379.09
3	50	485.79
4	10	105.31
4	20	172.07
4	30	234.23
4	40	308.78
4	50	374.38
5	10	100.11
5	20	150.1
5	30	199.13
5	40	256.98
5	50	306.42
6	10	90.76
6	20	125.44
6	30	174.16
6	40	247.16
6	50	296.76
7	10	80.29
7	20	122.06
7	30	152.81
7	40	193.48
7	50	250.62
8	10	84.51
8	20	107.52
8	30	142.73
8	40	178.7
8	50	236.48
9	10	84.27
9	20	121.5
9	30	150.87
9	40	158.62
9	50	218.64
10	10	87.06
10	20	119.91
10	30	149.92
10	40	193
10	50	291.08
