nodes	cores	size	time
2	1	10	197.77
2	1	20	378.28
2	1	30	439.77
2	1	40	646.05
2	1	50	644.22
2	2	10	122.26
2	2	20	193.78
2	2	30	256.89
2	2	40	323.58
2	2	50	407.87
2	4	10	72.23
2	4	20	116.11
2	4	30	168.45
2	4	40	237.23
2	4	50	362.66
3	1	10	121.65
3	1	20	219.56
3	1	30	290.44
3	1	40	379.09
3	1	50	485.79
3	2	10	112.32
3	2	20	170.86
3	2	30	220.88
3	2	40	234.04
3	2	50	282.44
3	4	10	66.51
3	4	20	86.08
3	4	30	116.75
3	4	40	157.9
3	4	50	182.72
4	1	10	105.31
4	1	20	172.07
4	1	30	234.23
4	1	40	308.78
4	1	50	374.38
4	2	10	72.5
4	2	20	109.49
4	2	30	147.83
4	2	40	182.44
4	2	50	226.13
4	4	10	54.75
4	4	20	75.87
4	4	30	99.54
4	4	40	135.62
4	4	50	147.75
5	1	10	100.11
5	1	20	150.1
5	1	30	199.13
5	1	40	256.98
5	1	50	306.42
5	2	10	72.53
5	2	20	101.68
5	2	30	128.99
5	2	40	158.88
5	2	50	191.09
5	4	10	51.28
5	4	20	71.64
5	4	30	97.88
5	4	40	100.74
5	4	50	124.57
6	1	10	90.76
6	1	20	125.44
6	1	30	174.16
6	1	40	247.16
6	1	50	296.76
6	2	10	67.87
6	2	20	88.44
6	2	30	113.05
6	2	40	145.12
6	2	50	169.22
6	4	10	50.87
6	4	20	75.56
6	4	30	95.83
6	4	40	101.3
6	4	50	143.5
7	1	10	80.29
7	1	20	122.06
7	1	30	152.81
7	1	40	193.48
7	1	50	250.62
7	2	10	64.48
7	2	20	88.33
7	2	30	112.33
7	2	40	129.34
7	2	50	151.72
7	4	10	52.9
7	4	20	63.42
7	4	30	76.14
7	4	40	92.02
7	4	50	126.55
8	1	10	84.51
8	1	20	107.52
8	1	30	142.73
8	1	40	178.7
8	1	50	236.48
8	2	10	56.44
8	2	20	73.5
8	2	30	92.76
8	2	40	114.57
8	2	50	136.99
8	4	10	51.73
8	4	20	60.32
8	4	30	90.02
8	4	40	96.53
8	4	50	105.43
9	1	10	84.27
9	1	20	121.5
9	1	30	150.87
9	1	40	158.62
9	1	50	218.64
9	2	10	58.96
9	2	20	74.21
9	2	30	94.07
9	2	40	115.47
9	2	50	130.96
9	4	10	47.78
9	4	20	54.13
9	4	30	72.44
9	4	40	76.06
9	4	50	92.14
10	1	10	87.06
10	1	20	119.91
10	1	30	149.92
10	1	40	193
10	1	50	291.08
10	2	10	57.04
10	2	20	81.57
10	2	30	95.51
10	2	40	146.61
10	2	50	215.58
10	4	10	52.07
10	4	20	59.82
10	4	30	80.22
10	4	40	86.37
10	4	50	93.54
