# Created: Mon Aug 04 15:11:52 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.05
#	output:	new-results/pagerank/out-0.05.csv
#	metrics-output:	new-results/pagerank/metrics-0.05.csv
#
# Points picked
# 	(1.0, 70.0, 10.0)
# 	(1.0, 90.0, 2.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 60.0, 4.0)
# 	(1.0, 60.0, 8.0)
# 	(1.0, 80.0, 10.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 70.0, 7.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	150.3600	182.5700	71.5150	121.3982	118.6521	141.7724	124.7807	144.2609	159.0727	59.4400	
1.0	60.0	2.0	179.3700	182.5700	98.5550	135.8868	118.6521	145.9900	124.7807	170.2861	182.1882	96.4300	
1.0	70.0	2.0	203.1300	182.5700	114.9200	153.6303	123.4919	146.3597	124.7807	197.2489	205.3037	133.4200	
1.0	80.0	2.0	227.5400	182.5700	135.0600	169.7717	139.1004	146.3606	124.7807	222.8682	228.4191	170.4100	
1.0	90.0	2.0	251.3500	182.5700	251.3500	179.2998	139.1004	146.3606	124.7807	245.3075	251.5346	207.4000	
1.0	100.0	2.0	282.3600	182.5700	251.3500	179.5437	139.1004	146.3606	124.7807	263.6543	274.6501	244.3900	
2.0	50.0	2.0	113.7000	81.7450	71.5150	110.2767	115.4091	90.4417	117.2200	100.3729	133.7293	59.4400	
2.0	60.0	2.0	117.9800	81.7450	98.5550	123.0968	115.4091	131.2653	117.2200	116.2371	156.8448	96.4300	
2.0	70.0	2.0	128.7800	81.7450	114.9200	140.0505	120.2489	146.3184	117.2200	135.8606	179.9602	133.4200	
2.0	80.0	2.0	143.7100	81.7450	135.0600	156.4447	135.8574	146.3606	117.2200	159.0326	203.0757	170.4100	
2.0	90.0	2.0	151.9700	81.7450	251.3500	167.2401	135.8574	146.3606	117.2200	184.6589	226.1912	207.4000	
2.0	100.0	2.0	177.4600	81.7450	251.3500	169.5343	135.8574	146.3606	117.2200	210.8167	249.3066	244.3900	
4.0	50.0	2.0	87.2100	81.7450	71.5150	95.2685	115.4091	74.4426	111.4135	80.8977	83.0424	59.4400	
4.0	60.0	2.0	90.6800	81.7450	98.5550	100.4413	115.4091	74.4426	111.4135	86.1438	106.1579	96.4300	
4.0	70.0	2.0	98.3400	81.7450	114.9200	109.6028	120.2489	74.4426	111.4135	91.8386	129.2733	133.4200	
4.0	80.0	2.0	97.9500	81.7450	135.0600	120.1121	135.8574	74.5949	111.4135	98.1892	152.3888	170.4100	
4.0	90.0	2.0	110.3900	81.7450	251.3500	128.8226	135.8574	146.2974	111.4135	105.5567	175.5043	207.4000	
4.0	100.0	2.0	119.2800	81.7450	251.3500	133.5894	135.8574	146.3606	111.4135	114.4785	198.6198	244.3900	
1.0	50.0	3.0	132.0700	182.5700	71.5150	118.0992	118.6521	129.9367	124.7807	133.1478	147.4461	59.4400	
1.0	60.0	3.0	152.0000	182.5700	98.5550	132.4552	118.6521	144.7784	124.7807	158.3200	170.5616	96.4300	
1.0	70.0	3.0	164.2000	182.5700	114.9200	150.3738	123.4919	146.3570	124.7807	185.1973	193.6770	133.4200	
1.0	80.0	3.0	185.0500	182.5700	135.0600	166.9296	139.1004	146.3606	124.7807	211.5213	216.7925	170.4100	
1.0	90.0	3.0	206.4400	182.5700	251.3500	177.0034	139.1004	146.3606	124.7807	235.2408	239.9080	207.4000	
1.0	100.0	3.0	225.0100	182.5700	251.3500	177.8198	139.1004	146.3606	124.7807	255.1267	263.0235	244.3900	
2.0	50.0	3.0	91.3500	81.7450	71.5150	106.0873	115.4091	78.8876	117.2200	92.4184	122.1027	59.4400	
2.0	60.0	3.0	96.8200	81.7450	98.5550	118.7766	115.4091	107.8343	117.2200	107.1049	145.2181	96.4300	
2.0	70.0	3.0	113.2000	81.7450	114.9200	136.0098	120.2489	146.1778	117.2200	125.5989	168.3336	133.4200	
2.0	80.0	3.0	115.1400	81.7450	135.0600	152.9937	135.8574	146.3605	117.2200	147.9028	191.4491	170.4100	
2.0	90.0	3.0	130.7800	81.7450	251.3500	164.5310	135.8574	146.3606	117.2200	173.1900	214.5645	207.4000	
2.0	100.0	3.0	126.7400	81.7450	251.3500	167.5700	135.8574	146.3606	117.2200	199.7260	237.6800	244.3900	
4.0	50.0	3.0	78.1700	81.7450	71.5150	91.4295	115.4091	74.4426	111.4135	75.4176	71.4158	59.4400	
4.0	60.0	3.0	87.1600	81.7450	98.5550	96.5567	115.4091	74.4426	111.4135	80.5575	94.5312	96.4300	
4.0	70.0	3.0	100.1000	81.7450	114.9200	106.0705	120.2489	74.4426	111.4135	86.2237	117.6467	133.4200	
4.0	80.0	3.0	101.9300	81.7450	135.0600	117.2128	135.8574	74.4777	111.4135	92.5703	140.7622	170.4100	
4.0	90.0	3.0	115.8700	81.7450	251.3500	126.6632	135.8574	146.0872	111.4135	99.8850	163.8777	207.4000	
4.0	100.0	3.0	122.7800	81.7450	251.3500	132.1223	135.8574	146.3606	111.4135	108.6236	186.9931	244.3900	
1.0	50.0	4.0	136.5900	182.5700	71.5150	114.6531	118.6521	115.3340	124.7807	122.7358	135.8195	59.4400	
1.0	60.0	4.0	151.4200	182.5700	98.5550	128.4789	118.6521	142.4391	124.7807	146.7500	158.9349	96.4300	
1.0	70.0	4.0	182.1800	182.5700	114.9200	146.0881	123.4919	146.3514	124.7807	173.1578	182.0504	133.4200	
1.0	80.0	4.0	201.1600	182.5700	135.0600	162.6177	139.1004	146.3606	124.7807	199.8149	205.1659	170.4100	
1.0	90.0	4.0	210.9400	182.5700	251.3500	172.9783	139.1004	146.3606	124.7807	224.5349	228.2814	207.4000	
1.0	100.0	4.0	212.2000	182.5700	251.3500	174.3666	139.1004	146.3606	124.7807	245.7991	251.3968	244.3900	
2.0	50.0	4.0	87.2400	81.7450	71.5150	102.0256	115.4091	76.2443	117.2200	85.0844	110.4760	59.4400	
2.0	60.0	4.0	92.2600	81.7450	98.5550	114.2316	115.4091	92.6131	117.2200	98.4771	133.5915	96.4300	
2.0	70.0	4.0	98.0500	81.7450	114.9200	131.2849	120.2489	145.8938	117.2200	115.6643	156.7070	133.4200	
2.0	80.0	4.0	106.8900	81.7450	135.0600	148.4173	135.8574	146.3605	117.2200	136.8487	179.8225	170.4100	
2.0	90.0	4.0	116.4300	81.7450	251.3500	160.4106	135.8574	146.3606	117.2200	161.4819	202.9379	207.4000	
2.0	100.0	4.0	122.1400	81.7450	251.3500	164.1445	135.8574	146.3606	117.2200	188.0711	226.0534	244.3900	
4.0	50.0	4.0	66.9600	81.7450	71.5150	88.1594	115.4091	74.4426	111.4135	70.1445	59.7891	59.4400	
4.0	60.0	4.0	83.3200	81.7450	98.5550	93.0995	115.4091	74.4426	111.4135	75.0040	82.9046	96.4300	
