# Created: Mon Aug 04 15:11:13 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.075
#	output:	new-results/pagerank/out-0.075.csv
#	metrics-output:	new-results/pagerank/metrics-0.075.csv
#
# Points picked
# 	(1.0, 80.0, 2.0)
# 	(2.0, 100.0, 9.0)
# 	(1.0, 60.0, 3.0)
# 	(4.0, 70.0, 7.0)
# 	(2.0, 50.0, 4.0)
# 	(2.0, 70.0, 10.0)
# 	(4.0, 90.0, 5.0)
# 	(4.0, 50.0, 5.0)
# 	(2.0, 60.0, 2.0)
# 	(4.0, 100.0, 9.0)
# 	(4.0, 90.0, 6.0)
# 	(2.0, 70.0, 2.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	150.3600	189.7700	189.7700	132.3375	132.8798	131.8695	149.6603	147.5255	126.7221	155.2645	
1.0	60.0	2.0	179.3700	189.7700	189.7700	142.7417	133.8882	131.8681	149.6603	174.0350	159.0310	155.2645	
1.0	70.0	2.0	203.1300	189.7700	189.7700	151.8411	133.8882	131.8599	149.6603	201.1942	191.3398	155.2645	
1.0	80.0	2.0	227.5400	189.7700	189.7700	157.6638	133.8882	131.8015	149.6603	227.1936	223.6487	155.2645	
1.0	90.0	2.0	251.3500	189.7700	189.7700	159.0049	133.8882	131.2867	149.6603	250.4969	255.9575	155.2645	
1.0	100.0	2.0	282.3600	189.7700	189.7700	155.8321	133.8882	126.2992	149.6603	270.1778	288.2664	155.2645	
2.0	50.0	2.0	113.7000	122.5000	108.2400	116.6740	104.2702	131.8679	132.1024	89.8378	76.7895	128.9433	
2.0	60.0	2.0	117.9800	122.5000	108.2400	125.3035	105.2787	131.8611	132.1024	105.8285	109.0984	128.9433	
2.0	70.0	2.0	128.7800	122.5000	108.2400	133.6238	105.2787	131.8221	132.1024	124.9063	141.4072	128.9433	
2.0	80.0	2.0	143.7100	122.5000	108.2400	139.8145	105.2787	131.5457	132.1024	146.9326	173.7161	128.9433	
2.0	90.0	2.0	151.9700	122.5000	108.2400	142.6164	105.2787	129.2318	132.1024	171.3028	206.0249	128.9433	
2.0	100.0	2.0	177.4600	122.5000	108.2400	141.7480	105.2787	114.4067	132.1024	196.8789	238.3338	128.9433	
4.0	50.0	2.0	87.2100	79.1513	83.2020	90.3617	92.6063	131.8374	129.5986	57.9626	-23.0757	76.3009	
4.0	60.0	2.0	90.6800	79.1513	83.2020	92.3247	95.6849	131.7316	129.5986	63.8928	9.2331	76.3009	
4.0	70.0	2.0	98.3400	79.1513	83.2020	95.5202	95.6849	131.1345	129.5986	70.5254	41.5420	76.3009	
4.0	80.0	2.0	97.9500	79.1513	83.2020	99.2000	95.6849	127.3326	129.5986	77.7798	73.8508	76.3009	
4.0	90.0	2.0	110.3900	79.1513	83.2020	102.6558	95.6849	110.8117	129.5986	85.6233	106.1597	76.3009	
4.0	100.0	2.0	119.2800	79.1513	83.2020	105.4385	95.6849	94.7176	129.5986	94.1338	138.4685	76.3009	
1.0	50.0	3.0	132.0700	189.7700	189.7700	129.5659	132.8798	131.8685	149.6603	130.4545	120.0482	155.2645	
1.0	60.0	3.0	152.0000	189.7700	189.7700	139.7373	133.8882	131.8636	149.6603	154.7338	152.3571	155.2645	
1.0	70.0	3.0	164.2000	189.7700	189.7700	148.8060	133.8882	131.8357	149.6603	180.9444	184.6659	155.2645	
1.0	80.0	3.0	185.0500	189.7700	189.7700	154.8102	133.8882	131.6372	149.6603	207.5255	216.9748	155.2645	
1.0	90.0	3.0	206.4400	189.7700	189.7700	156.5125	133.8882	129.9451	149.6603	232.7606	249.2836	155.2645	
1.0	100.0	3.0	225.0100	189.7700	189.7700	153.8143	133.8882	117.6090	149.6603	255.2170	281.5924	155.2645	
