# Created: Mon Aug 04 15:11:17 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.10
#	output:	new-results/pagerank/out-0.10.csv
#	metrics-output:	new-results/pagerank/metrics-0.10.csv
#
# Points picked
# 	(1.0, 70.0, 5.0)
# 	(1.0, 90.0, 9.0)
# 	(1.0, 50.0, 7.0)
# 	(4.0, 90.0, 7.0)
# 	(2.0, 100.0, 10.0)
# 	(2.0, 90.0, 6.0)
# 	(1.0, 50.0, 8.0)
# 	(4.0, 60.0, 9.0)
# 	(1.0, 60.0, 5.0)
# 	(2.0, 100.0, 9.0)
# 	(1.0, 100.0, 8.0)
# 	(2.0, 90.0, 8.0)
# 	(2.0, 70.0, 2.0)
# 	(1.0, 70.0, 8.0)
# 	(2.0, 70.0, 7.0)
# 	(2.0, 60.0, 6.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	150.3600	131.6467	128.0843	122.5186	123.7065	117.5630	119.2495	130.4436	137.4943	126.8205	
1.0	60.0	2.0	179.3700	131.6467	128.0843	125.2313	123.7065	117.5630	119.2495	136.5805	139.5016	126.8205	
1.0	70.0	2.0	203.1300	131.6467	128.0843	127.7242	131.6253	117.5630	119.2495	145.3663	141.5090	126.8205	
1.0	80.0	2.0	227.5400	131.6467	128.0843	129.5366	131.6253	117.5629	119.2495	154.1807	143.5163	126.8205	
1.0	90.0	2.0	251.3500	131.6467	128.0843	130.3261	131.6253	117.5603	119.2495	160.0732	145.5237	126.8205	
1.0	100.0	2.0	282.3600	131.6467	128.0843	129.9722	131.6253	117.3587	119.2495	163.0101	147.5310	126.8205	
2.0	50.0	2.0	113.7000	131.6467	111.7557	117.8252	115.8065	117.5630	117.1227	102.9067	127.3136	113.6514	
2.0	60.0	2.0	117.9800	131.6467	111.7557	119.6475	115.8065	117.5630	117.1227	113.4408	129.3210	113.6514	
2.0	70.0	2.0	128.7800	131.6467	111.7557	121.5084	114.6185	117.5630	117.1227	127.0746	131.3283	113.6514	
2.0	80.0	2.0	143.7100	131.6467	111.7557	123.0580	114.6185	117.5627	117.1227	140.6763	133.3356	113.6514	
2.0	90.0	2.0	151.9700	131.6467	111.7557	124.0028	114.6185	117.5543	117.1227	150.6966	135.3430	113.6514	
2.0	100.0	2.0	177.4600	131.6467	111.7557	124.1939	114.6185	117.0004	117.1227	156.7617	137.3503	113.6514	
