# Created: Mon Aug 04 15:11:22 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.125
#	output:	new-results/pagerank/out-0.125.csv
#	metrics-output:	new-results/pagerank/metrics-0.125.csv
#
# Points picked
# 	(4.0, 80.0, 6.0)
# 	(2.0, 100.0, 2.0)
# 	(2.0, 80.0, 4.0)
# 	(4.0, 100.0, 9.0)
# 	(2.0, 60.0, 9.0)
# 	(4.0, 100.0, 5.0)
# 	(1.0, 60.0, 4.0)
# 	(2.0, 50.0, 8.0)
# 	(1.0, 100.0, 7.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 60.0, 5.0)
# 	(2.0, 100.0, 3.0)
# 	(2.0, 70.0, 4.0)
# 	(2.0, 100.0, 6.0)
# 	(2.0, 50.0, 10.0)
# 	(2.0, 80.0, 8.0)
# 	(4.0, 80.0, 8.0)
# 	(2.0, 100.0, 8.0)
# 	(1.0, 80.0, 7.0)
# 	(1.0, 100.0, 8.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	150.3600	149.5925	149.5925	120.8851	147.1936	122.2888	116.6633	141.3149	102.9165	135.9911	
1.0	60.0	2.0	179.3700	149.5925	149.5925	125.9027	147.1936	122.2951	116.6633	141.1890	108.3404	135.9911	
1.0	70.0	2.0	203.1300	149.5925	149.5925	131.5418	147.1936	122.3035	118.6610	141.0470	113.7643	135.9911	
1.0	80.0	2.0	227.5400	149.5925	149.5925	137.0211	146.5090	122.3135	119.9880	140.9514	119.1882	135.9911	
1.0	90.0	2.0	251.3500	149.5925	149.5925	141.3185	147.7035	122.3250	124.3021	141.4533	124.6120	135.9911	
1.0	100.0	2.0	282.3600	149.5925	149.5925	143.4747	147.7035	122.3374	124.3021	146.5303	130.0359	135.9911	
2.0	50.0	2.0	113.7000	152.1000	108.4920	109.3412	112.0101	122.0367	106.4945	118.4543	91.7467	116.6528	
2.0	60.0	2.0	117.9800	152.1000	108.4920	113.2516	112.0101	122.0515	106.4945	114.9261	97.1705	116.6528	
2.0	70.0	2.0	128.7800	152.1000	108.4920	118.5680	120.4662	122.0711	108.4922	111.2993	102.5944	116.6528	
2.0	80.0	2.0	143.7100	152.1000	108.4920	124.5463	119.7815	122.0948	109.8192	109.3380	108.0183	116.6528	
2.0	90.0	2.0	151.9700	152.1000	108.4920	130.0500	119.7815	122.1216	114.1333	117.9818	113.4422	116.6528	
2.0	100.0	2.0	177.4600	152.1000	108.4920	133.8962	119.7815	122.1509	114.1333	136.7647	118.8661	116.6528	
4.0	50.0	2.0	87.2100	152.1000	82.5100	90.4358	95.3855	81.1037	104.6735	34.3176	69.4070	77.9762	
4.0	60.0	2.0	90.6800	152.1000	82.5100	90.8276	95.3855	81.1038	104.6735	49.5889	74.8309	77.9762	
4.0	70.0	2.0	98.3400	152.1000	82.5100	93.1797	99.8115	81.1039	104.5722	72.1349	80.2547	77.9762	
4.0	80.0	2.0	97.9500	152.1000	82.5100	97.1273	99.1269	81.1041	104.5722	79.0070	85.6786	77.9762	
4.0	90.0	2.0	110.3900	152.1000	82.5100	101.8848	99.1269	81.1044	108.4223	79.9590	91.1025	77.9762	
4.0	100.0	2.0	119.2800	152.1000	82.5100	106.4982	99.1269	81.1047	108.4223	80.0609	96.5264	77.9762	
1.0	50.0	3.0	132.0700	149.5925	149.5925	119.5360	140.1909	122.1527	116.6633	141.1650	101.7633	135.9911	
1.0	60.0	3.0	152.0000	149.5925	149.5925	124.7219	140.1909	122.1636	116.6633	141.0092	107.1872	135.9911	
1.0	70.0	3.0	164.2000	149.5925	149.5925	130.6749	140.1909	122.1781	118.6610	140.8286	112.6111	135.9911	
1.0	80.0	3.0	185.0500	149.5925	149.5925	136.5581	139.5062	122.1955	119.9880	140.6628	118.0350	135.9911	
1.0	90.0	3.0	206.4400	149.5925	149.5925	141.2701	140.7007	122.2153	124.3021	140.8829	123.4589	135.9911	
1.0	100.0	3.0	225.0100	149.5925	149.5925	143.7737	140.7007	122.2368	124.3021	144.3336	128.8828	135.9911	
2.0	50.0	3.0	91.3500	152.1000	108.4920	106.6837	105.0073	121.7188	106.4945	114.2850	90.5935	116.6528	
2.0	60.0	3.0	96.8200	152.1000	108.4920	110.5895	105.0073	121.7442	106.4945	110.3423	96.0174	116.6528	
2.0	70.0	3.0	113.2000	152.1000	108.4920	116.1074	113.4634	121.7778	108.4922	106.2450	101.4413	116.6528	
2.0	80.0	3.0	115.1400	152.1000	108.4920	122.4518	112.7788	121.8184	109.8192	103.2362	106.8651	116.6528	
2.0	90.0	3.0	130.7800	152.1000	108.4920	128.4125	112.7788	121.8646	114.1333	108.5210	112.2890	116.6528	
2.0	100.0	3.0	126.7400	152.1000	108.4920	132.7254	112.7788	121.9148	114.1333	127.5360	117.7129	116.6528	
4.0	50.0	3.0	78.1700	152.1000	82.5100	87.0402	88.3827	81.1025	104.6735	33.2548	68.2538	77.9762	
4.0	60.0	3.0	87.1600	152.1000	82.5100	87.2527	88.3827	81.1025	104.6735	45.2567	73.6777	77.9762	
4.0	70.0	3.0	100.1000	152.1000	82.5100	89.6347	92.8088	81.1026	104.5722	69.1056	79.1016	77.9762	
4.0	80.0	3.0	101.9300	152.1000	82.5100	93.8011	92.1241	81.1027	104.5722	78.4694	84.5255	77.9762	
4.0	90.0	3.0	115.8700	152.1000	82.5100	98.9193	92.1241	81.1029	108.4223	79.8772	89.9494	77.9762	
4.0	100.0	3.0	122.7800	152.1000	82.5100	103.9782	92.1241	81.1030	108.4223	80.0385	95.3732	77.9762	
1.0	50.0	4.0	136.5900	149.5925	149.5925	117.5542	140.1909	121.9629	116.6633	140.9804	100.6102	135.9911	
1.0	60.0	4.0	151.4200	149.5925	149.5925	122.8101	140.1909	121.9802	116.6633	140.7880	106.0340	135.9911	
1.0	70.0	4.0	182.1800	149.5925	149.5925	128.9903	140.1909	122.0030	118.6610	140.5620	111.4579	135.9911	
1.0	80.0	4.0	201.1600	149.5925	149.5925	135.2101	139.5062	122.0306	119.9880	140.3257	116.8818	135.9911	
1.0	90.0	4.0	210.9400	149.5925	149.5925	140.3002	140.7007	122.0620	124.3021	140.3268	122.3057	135.9911	
1.0	100.0	4.0	212.2000	149.5925	149.5925	143.1573	140.7007	122.0961	124.3021	142.5602	127.7296	135.9911	
2.0	50.0	4.0	87.2400	84.3916	108.4920	103.6501	105.0073	121.2799	106.4945	109.6497	89.4403	116.6528	
2.0	60.0	4.0	92.2600	84.3916	108.4920	107.4820	105.0073	121.3197	106.4945	105.3270	94.8642	116.6528	
2.0	70.0	4.0	98.0500	98.6650	108.4920	113.1243	113.4634	121.3723	108.4922	100.8409	100.2881	116.6528	
2.0	80.0	4.0	106.8900	98.6650	108.4920	119.7554	112.7788	121.4360	109.8192	97.0729	105.7120	116.6528	
2.0	90.0	4.0	116.4300	98.6650	108.4920	126.1059	112.7788	121.5085	114.1333	99.5533	111.1359	116.6528	
2.0	100.0	4.0	122.1400	98.6650	108.4920	130.8483	112.7788	121.5875	114.1333	117.5093	116.5598	116.6528	
4.0	50.0	4.0	66.9600	67.3100	82.5100	83.8770	88.3827	81.1019	104.6735	32.5072	67.1006	77.9762	
4.0	60.0	4.0	83.3200	67.3100	82.5100	83.9302	88.3827	81.1019	104.6735	41.5785	72.5245	77.9762	
4.0	70.0	4.0	74.3100	98.6650	82.5100	86.3272	92.8088	81.1020	104.5722	65.3565	77.9484	77.9762	
4.0	80.0	4.0	83.1300	98.6650	82.5100	90.6618	92.1241	81.1020	104.5722	77.7061	83.3723	77.9762	
4.0	90.0	4.0	87.0900	98.6650	82.5100	96.0643	92.1241	81.1021	108.4223	79.7680	88.7962	77.9762	
4.0	100.0	4.0	95.7400	98.6650	82.5100	101.4840	92.1241	81.1022	108.4223	80.0153	94.2201	77.9762	
1.0	50.0	5.0	110.7600	149.5925	149.5925	115.0539	138.1219	121.7281	112.1263	140.7531	99.4570	135.9911	
