# Created: Mon Aug 04 15:11:26 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.15
#	output:	new-results/pagerank/out-0.15.csv
#	metrics-output:	new-results/pagerank/metrics-0.15.csv
#
# Points picked
# 	(2.0, 60.0, 10.0)
# 	(4.0, 60.0, 7.0)
# 	(1.0, 50.0, 7.0)
# 	(2.0, 60.0, 4.0)
# 	(2.0, 100.0, 6.0)
# 	(1.0, 60.0, 10.0)
# 	(4.0, 90.0, 10.0)
# 	(4.0, 60.0, 8.0)
# 	(1.0, 90.0, 4.0)
# 	(2.0, 100.0, 9.0)
# 	(2.0, 100.0, 10.0)
# 	(1.0, 80.0, 7.0)
# 	(2.0, 70.0, 7.0)
# 	(2.0, 100.0, 7.0)
# 	(4.0, 70.0, 9.0)
# 	(2.0, 60.0, 9.0)
# 	(1.0, 60.0, 2.0)
# 	(2.0, 70.0, 5.0)
# 	(1.0, 100.0, 8.0)
# 	(2.0, 70.0, 3.0)
# 	(2.0, 60.0, 3.0)
# 	(1.0, 70.0, 7.0)
# 	(1.0, 90.0, 7.0)
# 	(4.0, 90.0, 7.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	150.3600	136.5657	149.5113	131.6900	169.4977	100.8090	130.8026	163.3026	134.3577	136.8026	
1.0	60.0	2.0	179.3700	136.5657	149.5113	139.1198	169.4977	100.9013	130.8026	186.5373	140.7414	136.8026	
1.0	70.0	2.0	203.1300	137.1650	149.5113	146.3072	169.4977	101.4062	130.8026	209.7389	147.1250	136.8026	
1.0	80.0	2.0	227.5400	137.1650	149.5113	151.7982	169.4977	105.1044	133.8764	231.9910	153.5086	136.8026	
1.0	90.0	2.0	251.3500	170.2433	149.5113	154.3457	169.4977	121.1947	133.8764	252.3130	159.8922	136.8026	
1.0	100.0	2.0	282.3600	170.2433	149.5113	153.3678	169.4977	129.3189	133.8764	269.9032	166.2759	136.8026	
2.0	50.0	2.0	113.7000	98.0860	101.8127	114.4926	110.2809	100.7772	106.7258	99.3247	97.5102	115.6767	
2.0	60.0	2.0	117.9800	98.0860	101.8127	119.6868	110.2809	100.8258	106.7258	110.2644	103.8938	115.6767	
2.0	70.0	2.0	128.7800	108.4108	101.8127	125.7423	119.7559	101.0943	106.7258	121.5007	110.2775	115.6767	
2.0	80.0	2.0	143.7100	108.4108	101.8127	131.3923	118.6932	103.2062	109.7996	133.4813	116.6611	115.6767	
2.0	90.0	2.0	151.9700	108.4108	101.8127	135.3430	118.6932	116.8602	109.7996	147.0787	123.0447	115.6767	
2.0	100.0	2.0	177.4600	108.4108	101.8127	136.7530	123.9727	128.8764	109.7996	162.9752	129.4284	115.6767	
4.0	50.0	2.0	87.2100	84.3505	83.5920	94.8354	108.7119	100.7447	101.2596	73.8320	23.8152	73.4251	
4.0	60.0	2.0	90.6800	84.3505	83.5920	95.3175	108.7119	100.7484	101.2596	79.2671	30.1988	73.4251	
4.0	70.0	2.0	98.3400	84.3505	83.5920	97.5406	114.9491	100.7688	101.2596	85.8959	36.5824	73.4251	
4.0	80.0	2.0	97.9500	84.3505	83.5920	100.9867	113.8864	100.9424	104.3334	92.4030	42.9661	73.4251	
4.0	90.0	2.0	110.3900	84.3505	83.5920	104.8598	113.8864	103.2200	104.3334	97.6161	49.3497	73.4251	
4.0	100.0	2.0	119.2800	84.3505	83.5920	108.3826	119.1658	120.8060	104.3334	101.2552	55.7333	73.4251	
1.0	50.0	3.0	132.0700	136.5657	149.5113	129.5894	169.4977	100.9206	130.8026	146.2856	131.5307	136.8026	
1.0	60.0	3.0	152.0000	136.5657	149.5113	137.2519	169.4977	101.1646	130.8026	167.1570	137.9143	136.8026	
1.0	70.0	3.0	164.2000	137.1650	149.5113	144.8863	169.4977	102.4552	130.8026	188.9561	144.2979	136.8026	
1.0	80.0	3.0	185.0500	137.1650	149.5113	150.9385	169.4977	110.0764	133.8764	211.1371	150.6815	136.8026	
1.0	90.0	3.0	206.4400	170.2433	149.5113	154.0335	169.4977	125.8663	133.8764	232.7716	157.0652	136.8026	
1.0	100.0	3.0	225.0100	170.2433	149.5113	153.4810	169.4977	129.6331	133.8764	252.7475	163.4488	136.8026	
2.0	50.0	3.0	91.3500	98.0860	101.8127	111.2368	110.2809	100.8360	106.7258	95.1734	94.6831	115.6767	
2.0	60.0	3.0	96.8200	98.0860	101.8127	116.4707	110.2809	100.9653	106.7258	104.8058	101.0668	115.6767	
2.0	70.0	3.0	113.2000	108.4108	101.8127	122.8417	119.7559	101.6666	106.7258	114.3302	107.4504	115.6767	
2.0	80.0	3.0	115.1400	108.4108	101.8127	129.0050	118.6932	106.5204	109.7996	124.0841	113.8340	115.6767	
2.0	90.0	3.0	130.7800	108.4108	101.8127	133.5475	118.6932	123.1079	109.7996	134.9762	120.2176	115.6767	
2.0	100.0	3.0	126.7400	108.4108	101.8127	135.5123	123.9727	129.4626	109.7996	147.9111	126.6013	115.6767	
4.0	50.0	3.0	78.1700	84.3505	83.5920	91.5902	108.7119	100.7492	101.2596	73.3559	20.9881	73.4251	
4.0	60.0	3.0	87.1600	84.3505	83.5920	91.8752	108.7119	100.7589	101.2596	78.6116	27.3717	73.4251	
4.0	70.0	3.0	100.1000	84.3505	83.5920	94.1351	114.9491	100.8135	101.2596	85.1416	33.7554	73.4251	
4.0	80.0	3.0	101.9300	84.3505	83.5920	97.8315	113.8864	101.2724	104.3334	91.6698	40.1390	73.4251	
