# Created: Mon Aug 04 15:11:31 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.175
#	output:	new-results/pagerank/out-0.175.csv
#	metrics-output:	new-results/pagerank/metrics-0.175.csv
#
# Points picked
# 	(1.0, 60.0, 6.0)
# 	(4.0, 60.0, 6.0)
# 	(4.0, 100.0, 6.0)
# 	(1.0, 50.0, 6.0)
# 	(2.0, 50.0, 8.0)
# 	(2.0, 90.0, 9.0)
# 	(1.0, 80.0, 2.0)
# 	(4.0, 100.0, 5.0)
# 	(4.0, 70.0, 5.0)
# 	(2.0, 80.0, 2.0)
# 	(2.0, 60.0, 5.0)
# 	(2.0, 50.0, 9.0)
# 	(2.0, 80.0, 3.0)
# 	(2.0, 70.0, 10.0)
# 	(2.0, 90.0, 3.0)
# 	(1.0, 80.0, 3.0)
# 	(2.0, 50.0, 5.0)
# 	(1.0, 100.0, 6.0)
# 	(1.0, 90.0, 9.0)
# 	(4.0, 70.0, 9.0)
# 	(4.0, 50.0, 3.0)
# 	(2.0, 60.0, 4.0)
# 	(2.0, 80.0, 8.0)
# 	(1.0, 60.0, 3.0)
# 	(4.0, 90.0, 3.0)
# 	(2.0, 60.0, 2.0)
# 	(2.0, 60.0, 6.0)
# 	(4.0, 100.0, 8.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	150.3600	189.4667	167.8200	136.5193	161.8947	128.9310	149.4154	145.0097	137.7243	146.4900	
1.0	60.0	2.0	179.3700	189.4667	167.8200	147.2663	161.8947	128.9114	149.4154	162.7391	143.0512	146.4900	
1.0	70.0	2.0	203.1300	189.4667	167.8200	157.7032	173.9222	128.8547	154.1217	182.2566	148.3781	146.4900	
1.0	80.0	2.0	227.5400	189.4667	167.8200	165.7512	173.9222	128.7347	162.5849	202.7953	153.7050	146.4900	
1.0	90.0	2.0	251.3500	189.4667	167.8200	169.7184	173.9222	128.4857	162.5849	223.4159	159.0319	146.4900	
1.0	100.0	2.0	282.3600	189.4667	167.8200	168.8783	173.9222	127.9450	162.5849	243.1736	164.3589	146.4900	
2.0	50.0	2.0	113.7000	125.1984	106.0700	115.9178	108.0586	128.4407	116.5983	103.5225	118.9990	123.2981	
2.0	60.0	2.0	117.9800	125.1984	106.0700	123.8065	108.0586	128.3763	116.5983	112.1110	124.3259	123.2981	
2.0	70.0	2.0	128.7800	125.1984	106.0700	132.6364	108.0586	128.1916	116.5983	122.3535	129.6528	123.2981	
2.0	80.0	2.0	143.7100	125.1984	106.0700	140.6055	110.9012	127.8037	125.0615	134.3348	134.9797	123.2981	
2.0	90.0	2.0	151.9700	125.1984	106.0700	146.0291	110.9012	127.0150	125.0615	148.0684	140.3066	123.2981	
2.0	100.0	2.0	177.4600	125.1984	106.0700	147.9189	110.9012	125.3716	125.0615	163.4769	145.6335	123.2981	
4.0	50.0	2.0	87.2100	86.3003	86.2463	89.8500	98.8395	85.9134	116.5983	93.7077	81.5483	76.9144	
4.0	60.0	2.0	90.6800	86.3003	86.2463	90.9377	98.8395	85.9130	116.5983	99.0092	86.8752	76.9144	
4.0	70.0	2.0	98.3400	86.3003	86.2463	94.0538	98.8395	85.9123	116.5983	104.9786	92.2021	76.9144	
4.0	80.0	2.0	97.9500	86.3003	86.2463	98.4608	101.6821	85.9114	125.0615	111.4821	97.5290	76.9144	
4.0	90.0	2.0	110.3900	86.3003	86.2463	103.2004	101.6821	85.9106	125.0615	118.3234	102.8559	76.9144	
4.0	100.0	2.0	119.2800	86.3003	86.2463	107.4325	101.6821	85.9100	125.0615	125.2692	108.1828	76.9144	
1.0	50.0	3.0	132.0700	189.4667	167.8200	133.9377	161.8947	128.8438	149.4154	131.2314	132.9736	146.4900	
1.0	60.0	3.0	152.0000	189.4667	167.8200	144.6827	161.8947	128.8161	149.4154	146.6933	138.3006	146.4900	
1.0	70.0	3.0	164.2000	189.4667	167.8200	155.4062	173.9222	128.7363	154.1217	164.1417	143.6275	146.4900	
1.0	80.0	3.0	185.0500	189.4667	167.8200	163.9933	173.9222	128.5676	156.3630	183.0332	148.9544	146.4900	
1.0	90.0	3.0	206.4400	189.4667	167.8200	168.6458	173.9222	128.2188	156.3630	202.6286	154.2813	146.4900	
1.0	100.0	3.0	225.0100	189.4667	167.8200	168.4954	173.9222	127.4672	156.3630	222.1141	159.6082	146.4900	
2.0	50.0	3.0	91.3500	125.1984	106.0700	112.1259	105.6259	128.1560	111.5849	91.8291	114.2483	123.2981	
2.0	60.0	3.0	96.8200	125.1984	106.0700	119.8135	105.6259	128.0661	111.5849	98.2735	119.5752	123.2981	
2.0	70.0	3.0	113.2000	125.1984	106.0700	128.7847	105.6259	127.8090	111.5849	106.3975	124.9021	123.2981	
2.0	80.0	3.0	115.1400	125.1984	106.0700	137.2227	108.4686	127.2721	113.8262	116.4643	130.2290	123.2981	
2.0	90.0	3.0	130.7800	125.1984	106.0700	143.3497	108.4686	126.1922	113.8262	128.6813	135.5559	123.2981	
2.0	100.0	3.0	126.7400	125.1984	106.0700	146.0360	108.4686	123.9930	113.8262	143.1425	140.8828	123.2981	
4.0	50.0	3.0	78.1700	86.3003	86.2463	86.1643	98.8395	85.9122	110.0530	82.9480	76.7976	76.9144	
4.0	60.0	3.0	87.1600	86.3003	86.2463	86.8244	98.8395	85.9119	110.0530	86.3003	82.1245	76.9144	
4.0	70.0	3.0	100.1000	86.3003	86.2463	89.7533	98.8395	85.9114	110.0530	90.3649	87.4514	76.9144	
4.0	80.0	3.0	101.9300	86.3003	86.2463	94.2446	101.6821	85.9108	112.2943	95.1841	92.7783	76.9144	
4.0	90.0	3.0	115.8700	86.3003	86.2463	99.3215	101.6821	85.9102	112.2943	100.7508	98.1052	76.9144	
4.0	100.0	3.0	122.7800	86.3003	86.2463	104.0815	101.6821	85.9098	112.2943	106.9943	103.4322	76.9144	
1.0	50.0	4.0	136.5900	189.4667	167.8200	130.4915	161.8947	128.7617	145.7533	122.3161	128.2230	146.4900	
1.0	60.0	4.0	151.4200	189.4667	167.8200	140.9131	161.8947	128.7265	145.7533	135.8719	133.5499	146.4900	
1.0	70.0	4.0	182.1800	189.4667	167.8200	151.6350	173.9222	128.6251	150.4596	151.3043	138.8768	146.4900	
1.0	80.0	4.0	201.1600	189.4667	167.8200	160.5638	173.9222	128.4110	152.7009	168.1795	144.2037	146.4900	
1.0	90.0	4.0	210.9400	189.4667	167.8200	165.8377	173.9222	127.9700	152.7009	185.8926	149.5306	146.4900	
1.0	100.0	4.0	212.2000	189.4667	167.8200	166.4572	173.9222	127.0262	152.7009	203.7781	154.8575	146.4900	
2.0	50.0	4.0	87.2400	99.9093	106.0700	108.0186	102.3358	127.8908	102.5788	84.9109	109.4976	123.2981	
2.0	60.0	4.0	92.2600	99.9093	106.0700	115.2555	102.3358	127.7775	102.5788	89.6207	114.8246	123.2981	
2.0	70.0	4.0	98.0500	99.9093	106.0700	124.1160	102.3358	127.4543	102.5788	95.7506	120.1515	123.2981	
2.0	80.0	4.0	106.8900	99.9093	106.0700	132.8208	103.2165	126.7826	104.8201	103.6222	125.4784	123.2981	
2.0	90.0	4.0	116.4300	99.9093	106.0700	139.5421	103.2165	125.4454	104.8201	113.5554	130.8053	123.2981	
2.0	100.0	4.0	122.1400	99.9093	106.0700	143.0281	103.2165	122.7776	104.8201	125.8148	136.1322	123.2981	
4.0	50.0	4.0	66.9600	86.3003	86.2463	83.0239	94.2948	85.9115	96.8001	76.8335	72.0470	76.9144	
4.0	60.0	4.0	83.3200	86.3003	86.2463	83.1962	94.2948	85.9113	96.8001	78.6745	77.3739	76.9144	
4.0	70.0	4.0	74.3100	86.3003	86.2463	85.8307	94.2948	85.9109	96.8001	81.0096	82.7008	76.9144	
4.0	80.0	4.0	83.1300	86.3003	86.2463	90.2769	95.1756	85.9104	99.0414	83.9346	88.0277	76.9144	
4.0	90.0	4.0	87.0900	86.3003	86.2463	95.5671	95.1756	85.9100	99.0414	87.5421	93.3546	76.9144	
4.0	100.0	4.0	95.7400	86.3003	86.2463	100.7593	95.1756	85.9097	99.0414	91.9088	98.6815	76.9144	
1.0	50.0	5.0	110.7600	151.6121	167.8200	126.4291	158.0153	128.7044	138.6215	116.6243	123.4723	146.4900	
1.0	60.0	5.0	128.2500	151.6121	167.8200	136.2325	158.0153	128.6639	138.6215	128.8822	128.7992	146.4900	
1.0	70.0	5.0	137.9100	151.6121	167.8200	146.6669	170.0427	128.5475	143.3278	142.8856	134.1261	146.4900	
1.0	80.0	5.0	155.0100	151.6121	167.8200	155.7168	170.0427	128.3019	145.5691	158.2313	139.4531	146.4900	
1.0	90.0	5.0	171.6000	151.6121	167.8200	161.5024	170.0427	127.7972	145.5691	174.3440	144.7800	146.4900	
1.0	100.0	5.0	201.4800	151.6121	167.8200	162.9144	170.0427	126.7223	145.5691	190.5884	150.1069	146.4900	
2.0	50.0	5.0	100.0400	99.9093	106.0700	103.8928	98.4564	127.7067	102.5788	81.1141	104.7470	123.2981	
2.0	60.0	5.0	101.2700	99.9093	106.0700	110.4654	98.4564	127.5774	102.5788	84.7194	110.0739	123.2981	
2.0	70.0	5.0	109.5000	99.9093	106.0700	118.9744	98.4564	127.2090	102.5788	89.4829	115.4008	123.2981	
2.0	80.0	5.0	117.3000	99.9093	106.0700	127.7264	99.3371	126.4461	104.8201	95.7038	120.7277	123.2981	
2.0	90.0	5.0	126.7800	99.9093	106.0700	134.8901	99.3371	124.9379	104.8201	103.7043	126.0546	123.2981	
2.0	100.0	5.0	134.8100	99.9093	106.0700	139.1198	99.3371	121.9702	104.8201	113.7917	131.3815	123.2981	
4.0	50.0	5.0	66.8200	86.3003	86.2463	80.6641	89.2424	85.9112	96.8001	73.6967	67.2963	76.9144	
4.0	60.0	5.0	65.9200	86.3003	86.2463	80.3278	89.2424	85.9111	96.8001	74.6412	72.6232	76.9144	
4.0	70.0	5.0	74.8100	86.3003	86.2463	82.5861	89.2424	85.9107	96.8001	75.8693	77.9501	76.9144	
4.0	80.0	5.0	71.3700	86.3003	86.2463	86.8635	90.1231	85.9103	99.0414	77.4560	83.2770	76.9144	
4.0	90.0	5.0	83.7000	86.3003	86.2463	92.2290	90.1231	85.9099	99.0414	79.4902	88.6039	76.9144	
4.0	100.0	5.0	89.5600	86.3003	86.2463	97.7255	90.1231	85.9096	99.0414	82.0723	93.9308	76.9144	
1.0	50.0	6.0	131.5700	151.6121	167.8200	122.0608	158.0153	128.6872	138.6215	112.7348	118.7217	146.4900	
1.0	60.0	6.0	139.2100	151.6121	167.8200	131.0019	158.0153	128.6452	138.6215	124.1340	124.0486	146.4900	
1.0	70.0	6.0	137.2200	151.6121	167.8200	140.8881	170.0427	128.5243	143.3278	137.2139	129.3755	146.4900	
1.0	80.0	6.0	160.9800	151.6121	167.8200	149.8311	170.0427	128.2693	145.5691	151.5916	134.7024	146.4900	
1.0	90.0	6.0	173.8500	151.6121	167.8200	155.9802	170.0427	127.7457	145.5691	166.6942	140.0293	146.4900	
1.0	100.0	6.0	192.6700	151.6121	167.8200	158.1452	170.0427	126.6322	145.5691	181.8644	145.3562	146.4900	
2.0	50.0	6.0	96.7900	99.9093	106.0700	100.0601	98.4564	127.6519	102.5788	79.0321	99.9963	123.2981	
2.0	60.0	6.0	106.1100	99.9093	106.0700	105.8089	98.4564	127.5178	102.5788	81.9859	105.3232	123.2981	
2.0	70.0	6.0	102.9600	99.9093	106.0700	113.7562	98.4564	127.1361	102.5788	85.9158	110.6501	123.2981	
2.0	80.0	6.0	107.9900	99.9093	106.0700	122.3350	99.3371	126.3463	104.8201	91.0864	115.9771	123.2981	
2.0	90.0	6.0	116.1100	99.9093	106.0700	129.7568	99.3371	124.7883	104.8201	97.7899	121.3040	123.2981	
2.0	100.0	6.0	114.3800	99.9093	106.0700	134.6175	99.3371	121.7351	104.8201	106.3170	126.6309	123.2981	
4.0	50.0	6.0	68.6800	86.3003	86.2463	79.2632	90.1657	85.9112	96.8001	72.1699	62.5456	76.9144	
