# Created: Mon Aug 04 15:11:36 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.20
#	output:	new-results/pagerank/out-0.20.csv
#	metrics-output:	new-results/pagerank/metrics-0.20.csv
#
# Points picked
# 	(1.0, 60.0, 2.0)
# 	(1.0, 100.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 100.0, 10.0)
# 	(2.0, 50.0, 10.0)
# 	(2.0, 80.0, 2.0)
# 	(1.0, 80.0, 9.0)
# 	(2.0, 100.0, 3.0)
# 	(2.0, 70.0, 6.0)
# 	(1.0, 90.0, 2.0)
# 	(1.0, 70.0, 7.0)
# 	(1.0, 50.0, 8.0)
# 	(2.0, 70.0, 9.0)
# 	(2.0, 70.0, 4.0)
# 	(1.0, 90.0, 3.0)
# 	(1.0, 80.0, 8.0)
# 	(4.0, 50.0, 9.0)
# 	(2.0, 80.0, 3.0)
# 	(2.0, 60.0, 10.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 80.0, 6.0)
# 	(1.0, 70.0, 2.0)
# 	(2.0, 90.0, 10.0)
# 	(4.0, 90.0, 10.0)
# 	(1.0, 50.0, 5.0)
# 	(1.0, 80.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(2.0, 70.0, 7.0)
# 	(4.0, 80.0, 6.0)
# 	(2.0, 60.0, 7.0)
# 	(1.0, 70.0, 9.0)
# 	(2.0, 60.0, 3.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	150.3600	145.3333	156.0817	138.0101	181.3204	141.0692	160.2112	160.8107	117.7931	143.6632	
1.0	60.0	2.0	179.3700	145.3333	156.0817	152.0893	181.3204	141.0695	165.9082	177.8824	123.3762	143.6632	
1.0	70.0	2.0	203.1300	220.3067	156.0817	165.8218	181.3204	141.0696	165.9082	196.3634	128.9594	143.6632	
1.0	80.0	2.0	227.5400	220.3067	156.0817	176.4115	181.3204	141.0697	162.9214	215.6530	134.5425	143.6632	
1.0	90.0	2.0	251.3500	220.3067	156.0817	181.6356	181.3204	141.0696	170.3397	235.0568	140.1256	143.6632	
1.0	100.0	2.0	282.3600	220.3067	156.0817	180.6016	181.3204	141.0694	170.3397	253.8882	145.7087	143.6632	
2.0	50.0	2.0	113.7000	98.0663	100.6373	113.5999	136.2593	141.0670	136.5242	101.3460	102.5940	115.5395	
2.0	60.0	2.0	117.9800	98.0663	100.6373	123.5562	136.2593	141.0680	136.5242	107.9407	108.1771	115.5395	
2.0	70.0	2.0	128.7800	98.0663	100.6373	134.6393	139.7626	141.0685	138.7044	116.1652	113.7602	115.5395	
2.0	80.0	2.0	143.7100	122.1011	100.6373	144.5540	139.7626	141.0685	138.7044	126.2404	119.3433	115.5395	
2.0	90.0	2.0	151.9700	109.1769	100.6373	151.2175	139.7626	141.0683	138.7044	138.3128	124.9264	115.5395	
2.0	100.0	2.0	177.4600	109.1769	100.6373	153.4695	139.7626	141.0677	138.7044	152.4019	130.5095	115.5395	
4.0	50.0	2.0	87.2100	77.9611	74.1940	87.2884	130.6759	81.1367	133.8799	79.6180	72.1956	59.2919	
4.0	60.0	2.0	90.6800	77.9611	74.1940	88.1958	130.6759	84.5429	133.8799	79.9820	77.7787	59.2919	
4.0	70.0	2.0	98.3400	77.9611	74.1940	91.4065	130.6759	86.8944	136.0601	80.4634	83.3618	59.2919	
4.0	80.0	2.0	97.9500	77.9611	74.1940	96.2034	130.6759	87.4874	136.0601	81.1004	88.9450	59.2919	
4.0	90.0	2.0	110.3900	77.9611	74.1940	101.5832	131.2146	86.1516	136.0601	81.9426	94.5281	59.2919	
4.0	100.0	2.0	119.2800	77.9611	74.1940	106.5967	131.2146	83.2755	136.0601	83.0552	100.1112	59.2919	
1.0	50.0	3.0	132.0700	145.3333	156.0817	132.7420	159.3375	141.0593	139.6568	144.0628	115.7502	143.6632	
1.0	60.0	3.0	152.0000	145.3333	156.0817	146.5788	159.3375	141.0628	145.3538	158.8520	121.3333	143.6632	
1.0	70.0	3.0	164.2000	220.3067	156.0817	160.4343	159.3375	141.0643	147.6443	175.3002	126.9164	143.6632	
1.0	80.0	3.0	185.0500	220.3067	156.0817	171.4803	159.3375	141.0646	145.0209	192.9998	132.4995	143.6632	
1.0	90.0	3.0	206.4400	220.3067	156.0817	177.4036	159.3375	141.0639	157.6841	211.4256	138.0826	143.6632	
1.0	100.0	3.0	225.0100	220.3067	156.0817	177.1924	162.2952	141.0618	157.6841	230.0022	143.6657	143.6632	
2.0	50.0	3.0	91.3500	98.0663	100.6373	107.3467	108.6858	141.0356	107.0966	95.9400	100.5510	115.5395	
