# Created: Mon Aug 04 15:11:48 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.05
#	output:	new-results/sssp/out-0.05.csv
#	metrics-output:	new-results/sssp/metrics-0.05.csv
#
# Points picked
# 	(1.0, 300.0, 10.0)
# 	(1.0, 400.0, 9.0)
# 	(4.0, 300.0, 3.0)
# 	(1.0, 300.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(2.0, 500.0, 8.0)
# 	(2.0, 100.0, 8.0)
# 	(1.0, 100.0, 2.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	98.9367	98.9367	142.4936	148.4468	128.5700	158.9891	70.0097	72.1779	73.3089	
1.0	100.0	2.0	104.1800	98.9367	98.9367	148.7910	148.4468	129.6265	158.9891	101.5639	104.0088	99.2250	
1.0	200.0	2.0	170.2600	242.1133	203.7733	167.9713	165.3560	136.5864	186.0342	170.9985	167.6707	151.0573	
1.0	300.0	2.0	231.1400	242.1133	203.7733	191.0412	165.3560	161.4863	186.0342	228.2029	231.3326	202.8896	
1.0	400.0	2.0	330.8200	242.1133	252.8800	210.8657	174.3172	208.7999	198.8731	267.6344	294.9945	254.7219	
1.0	500.0	2.0	433.1800	242.1133	306.6100	222.0971	174.3172	230.1133	198.8731	296.4397	358.6564	306.5542	
2.0	50.0	2.0	62.3100	98.9367	98.9367	128.8832	148.4468	124.7144	158.9891	38.0108	66.3497	73.3089	
2.0	100.0	2.0	100.0800	98.9367	98.9367	134.3751	148.4468	125.0707	158.9891	58.8936	98.1807	99.2250	
2.0	200.0	2.0	160.1700	222.2350	203.7733	153.2126	165.3560	127.5467	186.0342	121.3389	161.8426	151.0573	
2.0	300.0	2.0	208.6600	222.2350	203.7733	177.7306	165.3560	138.7400	186.0342	201.3331	225.5045	202.8896	
2.0	400.0	2.0	215.2900	222.2350	252.8800	200.3851	174.3172	180.8915	198.8731	270.4536	289.1663	254.7219	
2.0	500.0	2.0	256.2900	222.2350	306.6100	215.0026	174.3172	224.8255	198.8731	314.5800	352.8282	306.5542	
4.0	50.0	2.0	59.8300	98.9367	98.9367	122.8025	148.4468	122.8755	158.9891	73.8948	54.6935	73.3089	
4.0	100.0	2.0	86.6100	98.9367	98.9367	124.1273	148.4468	122.8755	158.9891	84.5987	86.5244	99.2250	
4.0	200.0	2.0	116.2800	222.2350	203.7733	133.7972	165.3560	122.8755	186.0342	106.7784	150.1863	151.0573	
4.0	300.0	2.0	143.3400	222.2350	203.7733	150.2914	165.3560	122.8755	186.0342	134.6048	213.8482	202.8896	
4.0	400.0	2.0	167.6600	222.2350	252.8800	168.5548	174.3172	122.8757	198.8731	177.7409	277.5101	254.7219	
4.0	500.0	2.0	167.6700	222.2350	306.6100	183.5495	174.3172	122.8778	198.8731	239.2953	341.1720	306.5542	
1.0	50.0	3.0	71.6800	98.9367	98.9367	142.1111	148.4468	142.4050	158.9891	79.7265	73.5272	73.3089	
1.0	100.0	3.0	102.3400	98.9367	98.9367	149.1198	148.4468	145.4714	158.9891	112.4176	105.3582	99.2250	
1.0	200.0	3.0	158.0300	242.1133	203.7733	170.1606	165.3560	162.4878	186.0342	179.5458	169.0201	151.0573	
1.0	300.0	3.0	203.2100	242.1133	203.7733	195.2857	165.3560	197.7688	186.0342	231.1808	232.6819	202.8896	
1.0	400.0	3.0	293.9300	242.1133	252.8800	216.7630	174.3172	225.4766	198.8731	266.4494	296.3438	254.7219	
1.0	500.0	3.0	335.7500	242.1133	306.6100	228.7558	174.3172	232.0262	198.8731	293.3583	360.0057	306.5542	
2.0	50.0	3.0	65.1700	98.9367	98.9367	128.0382	148.4468	129.8057	158.9891	40.8354	67.6991	73.3089	
2.0	100.0	3.0	89.5400	98.9367	98.9367	134.2547	148.4468	131.0735	158.9891	63.5166	99.5300	99.2250	
2.0	200.0	3.0	134.2700	222.2350	203.7733	155.0499	165.3560	139.2875	186.0342	129.4824	163.1919	151.0573	
2.0	300.0	3.0	170.8400	222.2350	203.7733	181.7982	165.3560	166.8483	186.0342	208.8164	226.8538	202.8896	
2.0	400.0	3.0	225.2200	222.2350	252.8800	206.3101	174.3172	212.4652	198.8731	273.6130	290.5157	254.7219	
2.0	500.0	3.0	248.0600	222.2350	306.6100	221.8628	174.3172	230.5884	198.8731	314.5437	354.1776	306.5542	
4.0	50.0	3.0	62.9200	98.9367	98.9367	122.0328	148.4468	122.8755	158.9891	70.4594	56.0428	73.3089	
4.0	100.0	3.0	77.9400	98.9367	98.9367	123.7520	148.4468	122.8755	158.9891	81.7626	87.8738	99.2250	
4.0	200.0	3.0	113.9800	222.2350	203.7733	134.5381	165.3560	122.8755	186.0342	106.1168	151.5356	151.0573	
