# Created: Mon Aug 04 15:10:45 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.075
#	output:	new-results/sssp/out-0.075.csv
#	metrics-output:	new-results/sssp/metrics-0.075.csv
#
# Points picked
# 	(1.0, 400.0, 2.0)
# 	(2.0, 300.0, 8.0)
# 	(1.0, 100.0, 4.0)
# 	(2.0, 500.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(2.0, 400.0, 10.0)
# 	(1.0, 200.0, 5.0)
# 	(2.0, 100.0, 5.0)
# 	(4.0, 50.0, 3.0)
# 	(4.0, 300.0, 2.0)
# 	(4.0, 100.0, 4.0)
# 	(1.0, 50.0, 7.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	89.1100	69.5150	135.4945	108.0050	159.2242	131.1004	99.1724	127.9015	74.3539	
1.0	100.0	2.0	104.1800	89.1100	98.9075	147.8717	121.5892	159.6592	131.1004	109.6132	144.2441	97.0212	
1.0	200.0	2.0	170.2600	151.0450	158.7500	177.5937	162.6568	166.8795	170.2998	169.0772	176.9292	142.3559	
1.0	300.0	2.0	231.1400	151.0450	165.8800	207.9240	190.6934	175.2136	170.2998	257.9983	209.6144	187.6906	
1.0	400.0	2.0	330.8200	293.5550	257.9233	231.1356	190.6934	178.5471	189.1837	295.9841	242.2996	233.0252	
1.0	500.0	2.0	433.1800	293.5550	257.9233	241.8017	190.6934	179.0995	189.1837	302.2914	274.9847	278.3599	
2.0	50.0	2.0	62.3100	89.1100	69.5150	121.7303	108.0050	130.4024	131.1004	95.3904	107.3779	74.3539	
2.0	100.0	2.0	100.0800	89.1100	98.9075	133.5423	121.5892	131.0051	131.1004	100.7857	123.7205	97.0212	
2.0	200.0	2.0	160.1700	151.0450	158.7500	162.9470	162.6568	143.0402	170.2998	138.1631	156.4056	142.3559	
2.0	300.0	2.0	208.6600	151.0450	165.8800	194.0624	190.6934	164.2902	170.2998	226.5730	189.0908	187.6906	
2.0	400.0	2.0	215.2900	293.5550	257.9233	218.9853	190.6934	176.5992	189.1837	287.2620	221.7760	233.0252	
2.0	500.0	2.0	256.2900	293.5550	257.9233	231.9481	190.6934	178.9504	189.1837	301.6500	254.4611	278.3599	
4.0	50.0	2.0	59.8300	89.1100	69.5150	97.7519	103.2779	93.6013	114.5722	92.7003	66.3307	74.3539	
4.0	100.0	2.0	86.6100	89.1100	98.9075	103.5256	116.8621	93.6013	114.5722	93.9683	82.6733	97.0212	
4.0	200.0	2.0	116.2800	151.0450	158.7500	120.6251	157.9297	93.6014	153.7715	104.9769	115.3584	142.3559	
4.0	300.0	2.0	143.3400	151.0450	165.8800	141.4854	190.6934	93.6020	153.7715	153.8064	148.0436	187.6906	
4.0	400.0	2.0	167.6600	293.5550	257.9233	160.8332	190.6934	93.6065	172.6555	244.8962	180.7288	233.0252	
4.0	500.0	2.0	167.6700	293.5550	257.9233	174.3266	190.6934	93.6724	172.6555	293.0893	213.4140	278.3599	
1.0	50.0	3.0	71.6800	89.1100	69.5150	130.0691	108.0050	159.9482	131.1004	99.1109	127.7512	74.3539	
1.0	100.0	3.0	102.3400	89.1100	98.9075	142.5349	121.5892	160.3720	131.1004	110.5490	144.0938	97.0212	
1.0	200.0	3.0	158.0300	151.0450	158.7500	172.7987	162.6568	167.3752	170.2998	173.5358	176.7790	142.3559	
1.0	300.0	3.0	203.2100	151.0450	165.8800	204.0122	190.6934	175.3897	170.2998	259.9924	209.4641	187.6906	
1.0	400.0	3.0	293.9300	293.5550	257.9233	228.2235	190.6934	178.5749	189.1837	293.5596	242.1493	233.0252	
1.0	500.0	3.0	335.7500	293.5550	257.9233	239.8070	190.6934	179.1016	189.1837	297.5870	274.8345	278.3599	
2.0	50.0	3.0	65.1700	89.1100	69.5150	116.9705	108.0050	131.4120	131.1004	95.0103	107.2276	74.3539	
2.0	100.0	3.0	89.5400	89.1100	98.9075	128.9096	121.5892	132.0183	131.1004	100.9133	123.5702	97.0212	
2.0	200.0	3.0	134.2700	151.0450	158.7500	158.8945	162.6568	144.0378	170.2998	141.3564	156.2554	142.3559	
2.0	300.0	3.0	170.8400	151.0450	165.8800	190.8738	190.6934	164.8702	170.2998	230.5759	188.9405	187.6906	
2.0	400.0	3.0	225.2200	293.5550	257.9233	216.7234	190.6934	176.7151	189.1837	286.3388	221.6257	233.0252	
2.0	500.0	3.0	248.0600	293.5550	257.9233	230.4920	190.6934	178.9594	189.1837	297.8679	254.3109	278.3599	
4.0	50.0	3.0	62.9200	89.1100	69.5150	95.5607	103.2779	93.6013	114.5722	92.1988	66.1804	74.3539	
4.0	100.0	3.0	77.9400	89.1100	98.9075	101.4414	116.8621	93.6013	114.5722	93.5278	82.5230	97.0212	
4.0	200.0	3.0	113.9800	151.0450	158.7500	118.9130	157.9297	93.6014	153.7715	105.5804	115.2082	142.3559	
4.0	300.0	3.0	137.8600	151.0450	165.8800	140.2628	190.6934	93.6020	153.7715	157.9171	147.8933	187.6906	
4.0	400.0	3.0	179.1900	293.5550	257.9233	160.0915	190.6934	93.6067	172.6555	248.0979	180.5785	233.0252	
4.0	500.0	3.0	194.2800	293.5550	257.9233	173.9618	190.6934	93.6759	172.6555	291.5791	213.2637	278.3599	
1.0	50.0	4.0	72.9200	89.1100	69.5150	125.0925	108.0050	173.2274	131.1004	98.4211	127.6009	74.3539	
1.0	100.0	4.0	101.4100	89.1100	98.9075	137.3192	121.5892	173.3834	131.1004	110.8305	143.9435	97.0212	
1.0	200.0	4.0	155.9400	151.0450	158.7500	167.3268	162.6568	175.7772	170.2998	176.9420	176.6287	142.3559	
1.0	300.0	4.0	198.1400	151.0450	165.8800	198.5955	190.6934	178.1473	170.2998	260.0057	209.3139	187.6906	
1.0	400.0	4.0	276.9600	293.5550	257.9233	223.1598	190.6934	178.9971	189.1837	288.7899	241.9990	233.0252	
1.0	500.0	4.0	315.4200	293.5550	257.9233	235.3480	190.6934	179.1331	189.1837	289.9752	274.6842	278.3599	
2.0	50.0	4.0	70.9400	89.1100	69.5150	113.1467	108.0050	158.2003	131.1004	94.0624	107.0773	74.3539	
2.0	100.0	4.0	93.6700	89.1100	98.9075	124.9052	121.5892	158.6507	131.1004	100.4315	123.4199	97.0212	
2.0	200.0	4.0	129.7800	151.0450	158.7500	154.6838	162.6568	166.1713	170.2998	143.8164	156.1051	142.3559	
2.0	300.0	4.0	156.6200	151.0450	165.8800	186.6714	190.6934	174.9592	170.2998	232.9185	188.7903	187.6906	
2.0	400.0	4.0	229.3400	293.5550	257.9233	212.7403	190.6934	178.5067	189.1837	283.2775	221.4754	233.0252	
2.0	500.0	4.0	291.9400	293.5550	257.9233	226.9208	190.6934	179.0965	189.1837	291.4927	254.1606	278.3599	
4.0	50.0	4.0	62.9200	89.1100	69.5150	95.0823	103.2779	93.6017	114.5722	91.2643	66.0301	74.3539	
4.0	100.0	4.0	86.4000	89.1100	98.9075	100.9250	116.8621	93.6017	114.5722	92.5926	82.3727	97.0212	
4.0	200.0	4.0	167.1400	151.0450	158.7500	118.3065	157.9297	93.6021	153.7715	105.6184	115.0579	142.3559	
4.0	300.0	4.0	181.5600	151.0450	165.8800	139.5537	190.6934	93.6043	153.7715	161.2421	147.7431	187.6906	
4.0	400.0	4.0	206.6300	293.5550	257.9233	159.2904	190.6934	93.6227	172.6555	249.5652	180.4282	233.0252	
4.0	500.0	4.0	210.5500	293.5550	257.9233	173.1131	190.6934	93.8914	172.6555	287.9745	213.1134	278.3599	
1.0	50.0	5.0	79.9700	89.1100	69.5150	121.0211	108.0050	178.7064	131.1004	96.6324	127.4507	74.3539	
1.0	100.0	5.0	104.8500	89.1100	98.9075	132.7090	121.5892	178.7187	131.1004	109.9169	143.7933	97.0212	
1.0	200.0	5.0	158.7500	151.0450	158.7500	161.6989	162.6568	178.9021	170.2998	178.5317	176.4784	142.3559	
1.0	300.0	5.0	191.3600	151.0450	165.8800	192.2015	190.6934	179.0743	170.2998	257.1502	209.1636	187.6906	
1.0	400.0	5.0	248.5100	293.5550	257.9233	216.4467	190.6934	179.1338	189.1837	280.6631	241.8488	233.0252	
1.0	500.0	5.0	309.6400	293.5550	257.9233	228.8727	190.6934	179.1432	189.1837	278.4166	274.5339	278.3599	
2.0	50.0	5.0	82.5200	89.1100	69.5150	110.6196	108.0050	177.2669	131.1004	92.1369	106.9271	74.3539	
2.0	100.0	5.0	121.2100	89.1100	98.9075	121.9135	121.5892	177.3188	131.1004	98.8703	123.2697	97.0212	
2.0	200.0	5.0	124.0000	151.0450	158.7500	150.7320	162.6568	178.0987	170.2998	144.8957	155.9548	142.3559	
2.0	300.0	5.0	146.4300	151.0450	165.8800	181.8831	190.6934	178.8406	170.2998	232.7631	188.6400	187.6906	
2.0	400.0	5.0	201.0400	293.5550	257.9233	207.4500	190.6934	179.0996	189.1837	277.1278	221.3252	233.0252	
2.0	500.0	5.0	222.3300	293.5550	257.9233	221.6104	190.6934	179.1407	189.1837	281.4764	254.0103	278.3599	
4.0	50.0	5.0	62.5900	89.1100	69.5150	96.3770	103.2779	93.6084	114.5722	89.5929	65.8799	74.3539	
