# Created: Mon Aug 04 15:10:53 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.125
#	output:	new-results/sssp/out-0.125.csv
#	metrics-output:	new-results/sssp/metrics-0.125.csv
#
# Points picked
# 	(1.0, 200.0, 8.0)
# 	(2.0, 200.0, 3.0)
# 	(2.0, 500.0, 9.0)
# 	(2.0, 300.0, 2.0)
# 	(1.0, 100.0, 7.0)
# 	(1.0, 400.0, 7.0)
# 	(1.0, 400.0, 10.0)
# 	(4.0, 100.0, 10.0)
# 	(1.0, 200.0, 5.0)
# 	(1.0, 300.0, 5.0)
# 	(2.0, 300.0, 6.0)
# 	(2.0, 50.0, 6.0)
# 	(2.0, 50.0, 8.0)
# 	(4.0, 300.0, 10.0)
# 	(1.0, 100.0, 3.0)
# 	(4.0, 300.0, 2.0)
# 	(1.0, 500.0, 4.0)
# 	(2.0, 500.0, 8.0)
# 	(4.0, 50.0, 8.0)
# 	(4.0, 100.0, 3.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	102.1750	78.1333	122.2357	90.9600	202.4857	100.6586	116.4516	72.9390	66.8645	
1.0	100.0	2.0	104.1800	102.1750	91.7600	131.8017	90.9600	204.0729	104.7466	134.1362	99.2111	93.3021	
1.0	200.0	2.0	170.2600	162.0900	148.4700	159.0805	165.4866	206.5975	168.9544	180.3882	151.7553	146.1773	
1.0	300.0	2.0	231.1400	162.0900	179.1840	192.1454	179.9362	207.8034	175.0972	230.7492	204.2995	199.0525	
1.0	400.0	2.0	330.8200	277.2250	277.2250	222.9242	274.6005	208.1671	261.6782	275.0132	256.8437	251.9277	
1.0	500.0	2.0	433.1800	309.5467	309.5467	244.0237	277.4147	208.2393	264.9104	312.9194	309.3879	304.8028	
2.0	50.0	2.0	62.3100	79.4180	78.1333	110.0579	86.1867	153.2525	100.6586	101.4313	64.6454	66.8645	
2.0	100.0	2.0	100.0800	79.4180	91.7600	119.3911	86.1867	162.7869	104.7466	114.3504	90.9175	93.3021	
2.0	200.0	2.0	160.1700	162.0900	148.4700	146.9498	165.4866	185.0779	168.9544	153.7811	143.4617	146.1773	
2.0	300.0	2.0	208.6600	162.0900	179.1840	181.1592	179.9362	200.9882	175.0972	207.6253	196.0059	199.0525	
2.0	400.0	2.0	215.2900	277.2250	277.2250	213.6514	274.6005	206.8354	261.6782	262.7549	248.5502	251.9277	
2.0	500.0	2.0	256.2900	309.5467	309.5467	236.6905	277.4147	208.0672	264.9104	309.8166	301.0944	304.8028	
4.0	50.0	2.0	59.8300	79.4180	78.1333	107.3716	83.9902	92.6117	100.6586	87.1706	48.0583	66.8645	
4.0	100.0	2.0	86.6100	79.4180	91.7600	111.8551	83.9902	92.6118	104.7466	93.6478	74.3304	93.3021	
4.0	200.0	2.0	116.2800	162.0900	148.4700	127.6717	165.4866	92.6119	168.9544	116.5061	126.8746	146.1773	
4.0	300.0	2.0	143.3400	162.0900	179.1840	149.4645	179.9362	92.6124	175.0972	158.8417	179.4188	199.0525	
4.0	400.0	2.0	167.6600	277.2250	277.2250	171.8543	274.6005	92.6155	261.6782	220.8613	231.9630	251.9277	
4.0	500.0	2.0	167.6700	309.5467	309.5467	189.6291	277.4147	92.6419	264.9104	286.8866	284.5073	304.8028	
1.0	50.0	3.0	71.6800	102.1750	78.1333	117.5407	90.9600	203.0776	100.6586	111.5906	74.2292	66.8645	
1.0	100.0	3.0	102.3400	102.1750	91.7600	128.2589	90.9600	204.5073	104.7466	128.0090	100.5013	93.3021	
1.0	200.0	3.0	158.0300	162.0900	148.4700	158.7311	165.4866	206.7729	168.9544	173.4740	153.0455	146.1773	
1.0	300.0	3.0	203.2100	162.0900	179.1840	195.5890	179.9362	207.8512	175.0972	227.1541	205.5898	199.0525	
1.0	400.0	3.0	293.9300	277.2250	277.2250	229.8385	274.6005	208.1760	261.6782	276.7128	258.1340	251.9277	
1.0	500.0	3.0	335.7500	309.5467	309.5467	253.2476	277.4147	208.2404	264.9104	318.2712	310.6782	304.8028	
2.0	50.0	3.0	65.1700	79.4180	78.1333	104.0401	86.1867	156.5194	100.6586	98.7131	65.9357	66.8645	
2.0	100.0	3.0	89.5400	79.4180	91.7600	114.5461	86.1867	165.8831	104.7466	110.5657	92.2078	93.3021	
2.0	200.0	3.0	134.2700	162.0900	148.4700	145.4406	165.4866	187.1132	168.9544	148.1413	144.7520	146.1773	
2.0	300.0	3.0	170.8400	162.0900	179.1840	183.6893	179.9362	201.7247	175.0972	203.0373	197.2962	199.0525	
2.0	400.0	3.0	225.2200	277.2250	277.2250	219.9436	274.6005	206.9858	261.6782	262.6536	249.8404	251.9277	
2.0	500.0	3.0	248.0600	309.5467	309.5467	245.5674	277.4147	208.0868	264.9104	313.7442	302.3847	304.8028	
4.0	50.0	3.0	62.9200	79.4180	78.1333	101.1773	83.9902	92.6117	100.6586	87.1919	49.3485	66.8645	
4.0	100.0	3.0	77.9400	79.4180	91.7600	106.3259	83.9902	92.6118	104.7466	93.5130	75.6207	93.3021	
