# Created: Mon Aug 04 15:10:58 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.15
#	output:	new-results/sssp/out-0.15.csv
#	metrics-output:	new-results/sssp/metrics-0.15.csv
#
# Points picked
# 	(1.0, 400.0, 2.0)
# 	(2.0, 200.0, 8.0)
# 	(1.0, 100.0, 3.0)
# 	(2.0, 400.0, 4.0)
# 	(4.0, 500.0, 5.0)
# 	(2.0, 200.0, 10.0)
# 	(4.0, 200.0, 2.0)
# 	(2.0, 500.0, 6.0)
# 	(2.0, 400.0, 10.0)
# 	(1.0, 300.0, 9.0)
# 	(4.0, 300.0, 6.0)
# 	(1.0, 300.0, 2.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 200.0, 4.0)
# 	(4.0, 300.0, 7.0)
# 	(1.0, 500.0, 5.0)
# 	(4.0, 100.0, 4.0)
# 	(1.0, 50.0, 2.0)
# 	(1.0, 400.0, 3.0)
# 	(2.0, 300.0, 9.0)
# 	(1.0, 100.0, 8.0)
# 	(4.0, 500.0, 6.0)
# 	(2.0, 400.0, 5.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	94.2958	70.5700	127.8914	96.5408	200.9651	182.7394	150.3407	86.7312	80.3757	
1.0	100.0	2.0	104.1800	94.2958	98.2533	142.3886	103.5538	201.3226	182.7394	176.1564	108.4007	102.3551	
1.0	200.0	2.0	170.2600	143.9475	142.7450	179.5562	155.1917	201.7409	188.5728	232.6623	151.7396	146.3139	
1.0	300.0	2.0	231.1400	232.0850	205.6520	219.9290	233.4170	201.9429	197.8074	280.4521	195.0784	190.2727	
1.0	400.0	2.0	330.8200	311.4633	248.3580	253.3124	258.4634	202.0311	197.8074	311.5003	238.4173	234.2315	
1.0	500.0	2.0	433.1800	311.4633	255.3075	272.1800	257.9153	202.0448	197.8074	329.6872	281.7562	278.1903	
2.0	50.0	2.0	62.3100	94.2958	70.5700	111.9065	96.5408	195.7188	182.7394	160.3888	80.1208	80.3757	
2.0	100.0	2.0	100.0800	94.2958	98.2533	125.4688	103.5538	197.1354	182.7394	184.3201	101.7902	102.3551	
2.0	200.0	2.0	160.1700	143.9475	142.7450	161.5682	144.3391	198.8840	188.5728	226.7132	145.1291	146.3139	
2.0	300.0	2.0	208.6600	223.4611	205.6520	202.1003	208.7183	199.7668	197.8074	261.5741	188.4680	190.2727	
2.0	400.0	2.0	215.2900	223.4611	248.3580	236.8683	223.0118	200.1602	197.8074	290.0127	231.8068	234.2315	
