# Created: Mon Aug 04 15:11:03 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.175
#	output:	new-results/sssp/out-0.175.csv
#	metrics-output:	new-results/sssp/metrics-0.175.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(2.0, 300.0, 2.0)
# 	(1.0, 200.0, 4.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 50.0, 5.0)
# 	(2.0, 50.0, 9.0)
# 	(1.0, 400.0, 9.0)
# 	(4.0, 300.0, 4.0)
# 	(4.0, 200.0, 10.0)
# 	(1.0, 50.0, 4.0)
# 	(1.0, 400.0, 6.0)
# 	(4.0, 300.0, 2.0)
# 	(4.0, 50.0, 6.0)
# 	(1.0, 500.0, 3.0)
# 	(1.0, 500.0, 6.0)
# 	(2.0, 100.0, 2.0)
# 	(1.0, 100.0, 6.0)
# 	(1.0, 200.0, 5.0)
# 	(4.0, 300.0, 7.0)
# 	(2.0, 100.0, 8.0)
# 	(1.0, 100.0, 9.0)
# 	(2.0, 200.0, 9.0)
# 	(2.0, 50.0, 6.0)
# 	(2.0, 300.0, 4.0)
# 	(2.0, 200.0, 4.0)
# 	(1.0, 500.0, 7.0)
# 	(4.0, 50.0, 7.0)
# 	(2.0, 300.0, 8.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	71.1675	71.1675	99.8701	80.6229	125.9580	95.7871	62.6079	74.6188	71.0049	
1.0	100.0	2.0	104.1800	113.1046	112.9000	113.9365	118.5915	134.1013	126.3573	75.6203	100.3769	96.3720	
1.0	200.0	2.0	170.2600	142.1127	141.0640	151.2517	142.2631	165.3276	151.6478	120.2390	151.8932	147.1063	
1.0	300.0	2.0	231.1400	173.1717	181.1133	193.8423	185.8052	210.0952	183.1209	181.1231	203.4094	197.8406	
1.0	400.0	2.0	330.8200	259.1050	259.1050	231.5231	278.3608	237.3614	237.8111	245.4002	254.9257	248.5749	
1.0	500.0	2.0	433.1800	313.3433	313.3433	255.6172	290.8328	244.1473	243.2350	308.4526	306.4420	299.3092	
2.0	50.0	2.0	62.3100	71.1675	71.1675	88.0631	74.0088	95.4623	95.7871	56.4814	70.9899	71.0049	
2.0	100.0	2.0	100.0800	113.1046	112.9000	101.8471	111.9774	96.8515	126.3573	65.8789	96.7480	96.3720	
2.0	200.0	2.0	160.1700	142.1127	141.0640	138.9562	135.6490	104.3356	151.6478	103.4029	148.2643	147.1063	
2.0	300.0	2.0	208.6600	173.1717	181.1133	181.6692	185.8052	130.6087	172.0674	169.1675	199.7806	197.8406	
2.0	400.0	2.0	215.2900	259.1050	259.1050	219.7071	278.3608	192.3663	226.7577	246.5696	251.2968	248.5749	
2.0	500.0	2.0	256.2900	313.3433	313.3433	244.4478	290.8328	236.1715	232.1815	315.2822	302.8131	299.3092	
