# Created: Mon Aug 04 15:11:08 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.20
#	output:	new-results/sssp/out-0.20.csv
#	metrics-output:	new-results/sssp/metrics-0.20.csv
#
# Points picked
# 	(2.0, 500.0, 5.0)
# 	(2.0, 500.0, 9.0)
# 	(1.0, 200.0, 6.0)
# 	(4.0, 50.0, 5.0)
# 	(1.0, 300.0, 4.0)
# 	(2.0, 100.0, 5.0)
# 	(1.0, 200.0, 8.0)
# 	(1.0, 400.0, 7.0)
# 	(4.0, 400.0, 10.0)
# 	(1.0, 400.0, 8.0)
# 	(4.0, 100.0, 7.0)
# 	(4.0, 500.0, 10.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 50.0, 4.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 300.0, 9.0)
# 	(1.0, 400.0, 6.0)
# 	(1.0, 50.0, 9.0)
# 	(4.0, 500.0, 7.0)
# 	(2.0, 200.0, 6.0)
# 	(4.0, 100.0, 9.0)
# 	(1.0, 50.0, 5.0)
# 	(1.0, 300.0, 5.0)
# 	(4.0, 200.0, 5.0)
# 	(4.0, 200.0, 4.0)
# 	(2.0, 50.0, 2.0)
# 	(1.0, 400.0, 4.0)
# 	(4.0, 300.0, 7.0)
# 	(4.0, 400.0, 2.0)
# 	(2.0, 500.0, 3.0)
# 	(4.0, 100.0, 10.0)
# 	(2.0, 300.0, 9.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	71.5383	68.8960	113.0638	69.6452	181.9862	91.0603	36.6641	71.9326	81.5767	
1.0	100.0	2.0	104.1800	115.5200	114.4200	123.4888	122.3420	181.9952	128.6830	71.7043	94.5174	104.6567	
1.0	200.0	2.0	170.2600	147.3316	148.1060	151.8876	144.6522	182.0117	153.9864	131.9101	139.6871	150.8166	
1.0	300.0	2.0	231.1400	196.7283	194.8840	184.3373	201.9671	182.0265	189.7086	169.0187	184.8567	196.9765	
1.0	400.0	2.0	330.8200	249.7381	261.9000	212.6090	242.9464	182.0399	236.8684	190.9515	230.0264	243.1364	
1.0	500.0	2.0	433.1800	249.7381	272.5480	230.3764	248.3786	182.0518	243.2702	206.6366	275.1960	289.2964	
2.0	50.0	2.0	62.3100	71.5383	68.8960	98.4450	69.6452	180.8616	89.4880	50.9606	62.5912	81.5767	
2.0	100.0	2.0	100.0800	115.5200	114.4200	108.9683	122.3420	180.9097	128.6830	82.5902	85.1760	104.6567	
2.0	200.0	2.0	160.1700	147.3316	148.1060	138.5530	144.6522	180.9992	153.9864	128.9791	130.3457	150.8166	
2.0	300.0	2.0	208.6600	196.7283	194.8840	173.2389	201.9671	181.0808	189.7086	155.1057	175.5153	196.9765	
2.0	400.0	2.0	215.2900	249.7381	261.9000	204.2939	242.9464	181.1550	236.8684	171.5463	220.6850	243.1364	
2.0	500.0	2.0	256.2900	249.7381	272.5480	224.8468	248.3786	181.2226	243.2702	184.8154	265.8546	289.2964	
4.0	50.0	2.0	59.8300	71.5383	68.8960	102.7665	68.0549	171.7612	89.4880	80.3251	43.9084	81.5767	
4.0	100.0	2.0	86.6100	110.2068	114.4200	110.0605	122.3420	171.7612	128.6830	98.3772	66.4932	104.6567	
4.0	200.0	2.0	116.2800	147.3316	148.1060	131.8586	144.6522	171.7612	153.9864	119.9905	111.6629	150.8166	
4.0	300.0	2.0	143.3400	196.7283	194.8840	158.6369	198.7359	171.7612	190.2696	131.6005	156.8325	196.9765	
4.0	400.0	2.0	167.6600	249.7381	261.9000	183.7707	239.7151	171.7612	236.8684	140.0772	202.0021	243.1364	
4.0	500.0	2.0	167.6700	249.7381	272.5480	201.8211	248.3786	171.7612	243.2702	148.2112	247.1718	289.2964	
1.0	50.0	3.0	71.6800	71.5383	68.8960	109.7862	69.6452	181.9783	91.0603	33.4221	76.1519	81.5767	
1.0	100.0	3.0	102.3400	115.5200	114.4200	121.4711	122.3420	181.9875	128.6830	68.3450	98.7367	104.6567	
1.0	200.0	3.0	158.0300	147.3316	148.1060	153.0811	144.6522	182.0047	153.9864	136.1069	143.9064	150.8166	
