# Created: Mon Aug 04 14:41:44 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.05
#	output:	new-results/terasort/out-0.05.csv
#	metrics-output:	new-results/terasort/metrics-0.05.csv
#
# Points picked
# 	(1.0, 30.0, 3.0)
# 	(4.0, 40.0, 7.0)
# 	(4.0, 30.0, 9.0)
# 	(4.0, 10.0, 6.0)
# 	(2.0, 20.0, 7.0)
# 	(4.0, 50.0, 5.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	10.0	2.0	197.7700	207.5050	290.4400	172.9229	128.7298	173.1217	119.7783	249.9023	240.3720	263.3780	
1.0	20.0	2.0	378.2800	207.5050	290.4400	187.7668	128.7298	179.1864	119.7783	278.9427	259.8377	263.3780	
1.0	30.0	2.0	439.7700	207.5050	290.4400	195.6361	128.7298	179.5059	119.7783	305.7070	279.3034	263.3780	
1.0	40.0	2.0	646.0500	207.5050	290.4400	193.8428	128.7298	179.5219	119.7783	328.2856	298.7691	263.3780	
1.0	50.0	2.0	644.2200	207.5050	290.4400	183.2122	128.7298	179.5227	119.7783	345.3401	318.2348	263.3780	
2.0	10.0	2.0	122.2600	207.5050	290.4400	157.3607	128.7298	158.8327	119.7783	179.8618	200.8525	263.3780	
2.0	20.0	2.0	193.7800	207.5050	290.4400	170.8118	128.7298	178.2830	119.7783	218.9970	220.3182	263.3780	
2.0	30.0	2.0	256.8900	207.5050	290.4400	179.1722	128.7298	179.4604	119.7783	257.8456	239.7839	263.3780	
2.0	40.0	2.0	323.5800	207.5050	290.4400	179.6261	128.7298	179.5196	119.7783	292.3832	259.2496	263.3780	
2.0	50.0	2.0	407.8700	207.5050	290.4400	172.3270	128.7298	179.5226	119.7783	319.7883	278.7154	263.3780	
4.0	10.0	2.0	72.2300	207.5050	290.4400	114.9253	128.7298	142.9842	119.7783	68.7892	121.8136	263.3780	
4.0	20.0	2.0	116.1100	207.5050	290.4400	121.0611	128.7298	176.9292	119.7783	89.2213	141.2793	263.3780	
4.0	30.0	2.0	168.4500	207.5050	290.4400	127.4017	128.7298	179.3908	119.7783	116.4475	160.7450	263.3780	
4.0	40.0	2.0	237.2300	207.5050	290.4400	131.8940	128.7298	179.5161	119.7783	149.0648	180.2107	263.3780	
4.0	50.0	2.0	362.6600	207.5050	290.4400	133.3977	128.7298	179.5224	119.7783	184.4473	199.6764	263.3780	
1.0	10.0	3.0	121.6500	207.5050	290.4400	169.4615	128.7298	140.2477	119.7783	224.0750	222.6361	228.9141	
1.0	20.0	3.0	219.5600	207.5050	290.4400	184.5228	128.7298	176.6431	119.7783	258.5127	242.1018	228.9141	
1.0	30.0	3.0	290.4400	207.5050	290.4400	193.0145	128.7298	179.3759	119.7783	290.4497	261.5675	228.9141	
1.0	40.0	3.0	379.0900	207.5050	290.4400	192.0419	128.7298	179.5154	119.7783	317.4113	281.0332	228.9141	
1.0	50.0	3.0	485.7900	207.5050	290.4400	182.1900	128.7298	179.5224	119.7783	337.8707	300.4989	228.9141	
2.0	10.0	3.0	112.3200	207.5050	290.4400	151.7067	128.7298	103.4092	119.7783	146.8188	183.1166	228.9141	
2.0	20.0	3.0	170.8600	207.5050	290.4400	165.3112	128.7298	169.4978	119.7783	185.8402	202.5823	228.9141	
2.0	30.0	3.0	220.8800	207.5050	290.4400	174.4812	128.7298	178.9791	119.7783	227.5862	222.0480	228.9141	
2.0	40.0	3.0	234.0400	207.5050	290.4400	176.1365	128.7298	179.4955	119.7783	267.0953	241.5137	228.9141	
2.0	50.0	3.0	282.4400	207.5050	290.4400	170.0816	128.7298	179.5214	119.7783	300.1783	260.9795	228.9141	
4.0	10.0	3.0	66.5100	207.5050	290.4400	107.4859	128.7298	86.4456	119.7783	60.9613	104.0777	228.9141	
4.0	20.0	3.0	86.0800	207.5050	290.4400	113.6471	128.7298	160.1643	119.7783	77.8493	123.5434	228.9141	
4.0	30.0	3.0	116.7500	207.5050	290.4400	120.8576	128.7298	178.3778	119.7783	100.5431	143.0091	228.9141	
4.0	40.0	3.0	157.9000	207.5050	290.4400	126.7886	128.7298	179.4652	119.7783	127.8831	162.4748	228.9141	
4.0	50.0	3.0	182.7200	207.5050	290.4400	129.8914	128.7298	179.5199	119.7783	157.8897	181.9405	228.9141	
1.0	10.0	4.0	105.3100	207.5050	124.5700	162.1139	128.7298	89.5746	119.7783	192.6692	204.9002	194.4502	
1.0	20.0	4.0	172.0700	207.5050	124.5700	176.4976	128.7298	162.6206	119.7783	231.3526	224.3659	194.4502	
1.0	30.0	4.0	234.2300	207.5050	124.5700	185.2191	128.7298	178.5464	119.7783	268.7142	243.8316	194.4502	
1.0	40.0	4.0	308.7800	207.5050	124.5700	185.3111	128.7298	179.4737	119.7783	301.1064	263.2973	194.4502	
1.0	50.0	4.0	374.3800	207.5050	124.5700	177.0281	128.7298	179.5203	119.7783	326.2446	282.7630	194.4502	
2.0	10.0	4.0	72.5000	207.5050	124.5700	142.7415	128.7298	71.7368	119.7783	117.6895	165.3807	194.4502	
2.0	20.0	4.0	109.4900	207.5050	124.5700	155.6627	128.7298	134.4963	119.7783	153.0944	184.8464	194.4502	
2.0	30.0	4.0	147.8300	207.5050	124.5700	165.2363	128.7298	175.9759	119.7783	194.0908	204.3121	194.4502	
2.0	40.0	4.0	182.4400	207.5050	124.5700	168.2546	128.7298	179.3409	119.7783	235.9967	223.7779	194.4502	
2.0	50.0	4.0	226.1300	207.5050	124.5700	164.1081	128.7298	179.5137	119.7783	273.7950	243.2436	194.4502	
4.0	10.0	4.0	54.7500	207.5050	124.5700	99.0506	128.7298	67.4170	119.7783	56.0295	86.3418	194.4502	
4.0	20.0	4.0	75.8700	207.5050	124.5700	104.8065	128.7298	112.9828	119.7783	70.5135	105.8075	194.4502	
4.0	30.0	4.0	99.5400	207.5050	124.5700	112.5926	128.7298	172.2616	119.7783	89.9458	125.2732	194.4502	
4.0	40.0	4.0	135.6200	207.5050	124.5700	119.9004	128.7298	179.1384	119.7783	113.0982	144.7389	194.4502	
4.0	50.0	4.0	147.7500	207.5050	124.5700	124.7800	128.7298	179.5035	119.7783	138.0879	164.2046	194.4502	
1.0	10.0	5.0	100.1100	207.5050	124.5700	151.8806	128.7298	69.5287	119.7783	159.2329	187.1643	159.9862	
1.0	20.0	5.0	150.1000	207.5050	124.5700	164.7852	128.7298	125.3757	119.7783	199.1102	206.6300	159.9862	
1.0	30.0	5.0	199.1300	207.5050	124.5700	173.3136	128.7298	174.6873	119.7783	240.3658	226.0957	159.9862	
1.0	40.0	5.0	256.9800	207.5050	124.5700	174.5700	128.7298	179.2721	119.7783	278.1653	245.5614	159.9862	
1.0	50.0	5.0	306.4200	207.5050	124.5700	168.4323	128.7298	179.5102	119.7783	308.9074	265.0271	159.9862	
2.0	10.0	5.0	72.5300	207.5050	124.5700	131.6621	128.7298	65.0057	119.7783	94.9974	147.6448	159.9862	
2.0	20.0	5.0	101.6800	207.5050	124.5700	143.1503	128.7298	90.6817	119.7783	124.9154	167.1105	159.9862	
2.0	30.0	5.0	128.9900	207.5050	124.5700	152.6636	128.7298	163.3798	119.7783	161.8690	186.5762	159.9862	
2.0	40.0	5.0	158.8800	207.5050	124.5700	157.0225	128.7298	178.5969	119.7783	202.4381	206.0420	159.9862	
2.0	50.0	5.0	191.0900	207.5050	124.5700	155.1933	128.7298	179.4763	119.7783	242.0528	225.5077	159.9862	
4.0	10.0	5.0	51.2800	207.5050	124.5700	90.7107	128.7298	64.0834	119.7783	52.9276	68.6059	159.9862	
4.0	20.0	5.0	71.6400	207.5050	124.5700	95.6677	128.7298	78.0482	119.7783	65.8441	88.0716	159.9862	
4.0	30.0	5.0	97.8800	207.5050	124.5700	103.6461	128.7298	149.9363	119.7783	83.0999	107.5373	159.9862	
4.0	40.0	5.0	100.7400	207.5050	124.5700	112.0813	128.7298	177.5800	119.7783	103.3226	127.0030	159.9862	
