# Created: Mon Aug 04 14:42:14 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.075
#	output:	new-results/terasort/out-0.075.csv
#	metrics-output:	new-results/terasort/metrics-0.075.csv
#
# Points picked
# 	(1.0, 30.0, 2.0)
# 	(4.0, 20.0, 3.0)
# 	(1.0, 20.0, 4.0)
# 	(2.0, 10.0, 5.0)
# 	(1.0, 10.0, 6.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 40.0, 7.0)
# 	(2.0, 40.0, 8.0)
# 	(4.0, 30.0, 9.0)
# 	(1.0, 30.0, 10.0)
x2	x3	x1	objective	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	Discretization	GaussianCurves	RBF	BagClassify	IsoRegression	
1.0	10.0	2.0	197.7700	154.2539	270.2787	134.0250	232.3267	82.7660	188.4881	176.8035	152.6539	439.7700	
1.0	20.0	2.0	378.2800	162.2906	355.2176	159.8140	232.3267	209.1100	219.8491	175.7367	163.8074	439.7700	
1.0	30.0	2.0	439.7700	162.2906	437.9854	185.6029	232.3267	209.1100	243.1632	174.5758	163.8074	439.7700	
1.0	40.0	2.0	646.0500	162.2906	508.4935	211.3918	232.3267	209.1100	250.5457	175.2823	163.8074	439.7700	
1.0	50.0	2.0	644.2200	162.2906	561.8545	237.1807	232.3267	209.1100	240.8707	176.5864	163.8074	439.7700	
2.0	10.0	2.0	122.2600	143.0553	188.6397	113.5026	232.3267	82.7660	162.3161	175.5737	140.7238	439.7700	
2.0	20.0	2.0	193.7800	151.0919	262.7481	139.2915	232.3267	209.1100	188.8500	169.9788	151.8773	439.7700	
2.0	30.0	2.0	256.8900	151.0919	346.4182	165.0804	232.3267	209.1100	210.5795	164.4852	151.8773	439.7700	
2.0	40.0	2.0	323.5800	151.0919	428.9711	190.8693	232.3267	209.1100	220.1590	167.7597	151.8773	439.7700	
2.0	50.0	2.0	407.8700	151.0919	500.4647	216.6583	232.3267	209.1100	215.7335	174.3885	151.8773	439.7700	
4.0	10.0	2.0	72.2300	116.3018	85.2482	72.4577	232.3267	82.7660	114.2241	82.3773	129.3797	439.7700	
4.0	20.0	2.0	116.1100	124.3385	123.6059	98.2466	232.3267	82.7660	121.6407	82.3734	140.5332	439.7700	
4.0	30.0	2.0	168.4500	124.3385	178.3516	124.0355	232.3267	82.7660	131.5008	82.3729	140.5332	439.7700	
4.0	40.0	2.0	237.2300	124.3385	249.0690	149.8244	232.3267	82.7660	140.4622	82.3731	140.5332	439.7700	
4.0	50.0	2.0	362.6600	124.3385	329.9817	175.6133	232.3267	82.7660	146.2726	82.3751	140.5332	439.7700	
1.0	10.0	3.0	121.6500	154.2539	167.8181	121.9404	210.7295	82.7660	176.6104	176.7923	152.6539	129.0750	
1.0	20.0	3.0	219.5600	162.2906	239.2437	147.7293	210.7295	209.1100	207.3722	175.6818	163.8074	129.0750	
1.0	30.0	3.0	290.4400	162.2906	323.9386	173.5183	210.7295	209.1100	231.3264	174.4745	163.8074	129.0750	
1.0	40.0	3.0	379.0900	162.2906	410.8226	199.3072	210.7295	209.1100	240.3835	175.2091	163.8074	129.0750	
1.0	50.0	3.0	485.7900	162.2906	487.7195	225.0961	210.7295	209.1100	232.9669	176.5662	163.8074	129.0750	
2.0	10.0	3.0	112.3200	143.0553	109.6830	101.4180	210.7295	82.7660	149.8573	175.5122	140.7238	129.0750	
2.0	20.0	3.0	170.8600	151.0919	160.8097	127.2069	210.7295	209.1100	175.6015	169.7057	151.8773	129.0750	
2.0	30.0	3.0	220.8800	151.0919	230.4495	152.9958	210.7295	209.1100	197.8411	164.0322	151.8773	129.0750	
2.0	40.0	3.0	234.0400	151.0919	314.4226	178.7847	210.7295	209.1100	209.0681	167.4106	151.8773	129.0750	
2.0	50.0	3.0	282.4400	151.0919	402.0343	204.5736	210.7295	209.1100	206.9851	174.2798	151.8773	129.0750	
4.0	10.0	3.0	66.5100	116.3018	50.5303	60.3730	210.7295	82.7660	106.0317	82.3771	129.3797	129.0750	
4.0	20.0	3.0	86.0800	124.3385	69.9695	86.1620	210.7295	82.7660	112.6129	82.3733	140.5332	129.0750	
