# Created: Mon Aug 04 14:42:18 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.10
#	output:	new-results/terasort/out-0.10.csv
#	metrics-output:	new-results/terasort/metrics-0.10.csv
#
# Points picked
# 	(2.0, 50.0, 3.0)
# 	(1.0, 20.0, 10.0)
# 	(1.0, 30.0, 3.0)
# 	(1.0, 10.0, 8.0)
# 	(4.0, 40.0, 4.0)
# 	(1.0, 30.0, 7.0)
# 	(2.0, 40.0, 10.0)
# 	(2.0, 50.0, 4.0)
# 	(2.0, 10.0, 9.0)
# 	(2.0, 20.0, 9.0)
# 	(4.0, 30.0, 6.0)
# 	(1.0, 50.0, 3.0)
# 	(1.0, 40.0, 6.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	10.0	2.0	197.7700	352.8900	352.8900	205.0966	258.5811	197.2577	240.0628	200.6259	124.9627	322.9823	
1.0	20.0	2.0	378.2800	352.8900	352.8900	235.9144	258.5811	197.2562	240.0628	266.8405	158.5648	322.9823	
1.0	30.0	2.0	439.7700	352.8900	352.8900	271.1778	280.2810	197.1980	240.0628	348.0209	192.1669	322.9823	
1.0	40.0	2.0	646.0500	352.8900	352.8900	301.2160	282.7808	197.1885	258.0572	440.0827	225.7690	322.9823	
1.0	50.0	2.0	644.2200	352.8900	352.8900	316.7002	290.5021	197.2553	273.5562	535.5840	259.3710	322.9823	
2.0	10.0	2.0	122.2600	352.8900	352.8900	187.0477	238.2461	197.2577	240.0628	99.6648	99.9706	322.9823	
2.0	20.0	2.0	193.7800	352.8900	352.8900	210.9893	238.2461	197.2415	240.0628	132.1245	133.5727	322.9823	
2.0	30.0	2.0	256.8900	352.8900	352.8900	240.3957	259.9460	196.6215	240.0628	177.1958	167.1748	322.9823	
2.0	40.0	2.0	323.5800	352.8900	352.8900	267.2438	262.4458	196.5209	258.0572	236.4219	200.7768	322.9823	
2.0	50.0	2.0	407.8700	352.8900	352.8900	283.2259	270.1671	197.2325	273.5562	309.3223	234.3789	322.9823	
4.0	10.0	2.0	72.2300	352.8900	352.8900	156.2386	238.2461	182.7204	240.0628	70.6036	49.9864	322.9823	
4.0	20.0	2.0	116.1100	352.8900	352.8900	158.8623	238.2461	116.7116	240.0628	88.0059	83.5885	322.9823	
4.0	30.0	2.0	168.4500	352.8900	352.8900	166.6654	259.9460	116.4489	240.0628	110.3559	117.1905	322.9823	
4.0	40.0	2.0	237.2300	352.8900	352.8900	177.6716	262.4458	116.4480	258.0572	136.5302	150.7926	322.9823	
4.0	50.0	2.0	362.6600	352.8900	352.8900	188.5104	270.1671	116.6152	273.5562	164.4040	184.3947	322.9823	
1.0	10.0	3.0	121.6500	352.8900	352.8900	192.9961	258.5811	197.2577	240.0628	164.7778	118.4773	290.8689	
1.0	20.0	3.0	219.5600	352.8900	352.8900	223.9349	258.5811	197.2470	240.0628	221.3282	152.0794	290.8689	
1.0	30.0	3.0	290.4400	352.8900	352.8900	260.7694	280.2810	196.8353	240.0628	294.0913	185.6814	290.8689	
1.0	40.0	3.0	379.0900	352.8900	352.8900	293.3456	282.7808	196.7683	258.0572	381.1665	219.2835	290.8689	
1.0	50.0	3.0	485.7900	352.8900	352.8900	311.5978	290.5021	197.2410	273.5562	476.6648	252.8856	290.8689	
2.0	10.0	3.0	112.3200	352.8900	352.8900	173.6132	238.2461	197.2576	240.0628	88.8137	93.4852	290.8689	
2.0	20.0	3.0	170.8600	352.8900	352.8900	197.3367	238.2461	197.1431	240.0628	116.3110	127.0873	290.8689	
2.0	30.0	3.0	220.8800	352.8900	352.8900	228.1027	259.9460	192.9400	240.0628	154.6769	160.6893	290.8689	
2.0	40.0	3.0	234.0400	352.8900	352.8900	257.4662	262.4458	192.2932	258.0572	205.4155	194.2914	290.8689	
2.0	50.0	3.0	282.4400	352.8900	352.8900	276.3899	270.1671	197.0792	273.5562	268.6021	227.8935	290.8689	
4.0	10.0	3.0	66.5100	352.8900	352.8900	146.4302	238.2461	148.0058	240.0628	70.4931	43.5010	290.8689	
4.0	20.0	3.0	86.0800	352.8900	352.8900	148.2772	238.2461	116.4801	240.0628	87.7281	77.1030	290.8689	
4.0	30.0	3.0	116.7500	352.8900	352.8900	156.4268	259.9460	116.4431	240.0628	109.7021	110.7051	290.8689	
4.0	40.0	3.0	157.9000	352.8900	352.8900	168.7945	262.4458	116.4430	258.0572	135.1474	144.3072	290.8689	
