# Created: Mon Aug 04 14:42:22 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.125
#	output:	new-results/terasort/out-0.125.csv
#	metrics-output:	new-results/terasort/metrics-0.125.csv
#
# Points picked
# 	(4.0, 30.0, 9.0)
# 	(2.0, 20.0, 3.0)
# 	(2.0, 20.0, 7.0)
# 	(2.0, 40.0, 5.0)
# 	(2.0, 50.0, 6.0)
# 	(1.0, 30.0, 6.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 10.0, 2.0)
# 	(4.0, 40.0, 8.0)
# 	(1.0, 40.0, 9.0)
# 	(4.0, 20.0, 3.0)
# 	(1.0, 50.0, 10.0)
# 	(2.0, 20.0, 10.0)
# 	(2.0, 40.0, 3.0)
# 	(1.0, 30.0, 3.0)
# 	(1.0, 20.0, 10.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	10.0	2.0	197.7700	158.0500	205.3300	187.8502	169.7059	152.2294	173.3902	151.3649	195.9094	198.1355	
1.0	20.0	2.0	378.2800	158.0500	205.3300	201.9042	169.7059	152.2298	173.3902	186.6432	210.6040	198.1355	
1.0	30.0	2.0	439.7700	231.0867	205.3300	213.8012	169.7059	152.2304	173.3902	333.6974	225.2985	198.1355	
1.0	40.0	2.0	646.0500	162.0175	205.3300	219.8078	169.7059	152.2314	173.3902	378.5114	239.9931	198.1355	
1.0	50.0	2.0	644.2200	231.0867	205.3300	217.9755	177.4238	152.2330	173.3902	375.8698	254.6877	198.1355	
2.0	10.0	2.0	122.2600	103.0272	150.4833	166.4845	164.3222	152.2254	149.8537	150.4727	160.0912	161.2751	
2.0	20.0	2.0	193.7800	103.0272	150.4833	177.4517	164.3222	152.2254	149.8537	248.9465	174.7858	161.2751	
2.0	30.0	2.0	256.8900	103.0272	150.4833	188.7621	164.3222	152.2254	149.8537	302.4201	189.4804	161.2751	
2.0	40.0	2.0	323.5800	162.0175	150.4833	196.8140	164.3222	152.2255	156.0533	248.9047	204.1749	161.2751	
2.0	50.0	2.0	407.8700	231.0867	150.4833	198.9910	172.0401	152.2256	156.0533	186.3801	218.8695	161.2751	
4.0	10.0	2.0	72.2300	103.0272	92.9500	123.5926	136.9452	152.2251	135.6047	51.8429	88.4549	87.5541	
4.0	20.0	2.0	116.1100	103.0272	92.9500	124.1490	136.9452	152.2251	135.6047	105.6873	103.1495	87.5541	
4.0	30.0	2.0	168.4500	103.0272	92.9500	129.5002	136.9452	152.2251	135.6047	109.2009	117.8440	87.5541	
4.0	40.0	2.0	237.2300	162.0175	92.9500	137.8764	136.9452	152.2251	141.8043	109.3116	132.5386	87.5541	
4.0	50.0	2.0	362.6600	231.0867	92.9500	146.5537	149.8984	152.2251	141.8043	109.2894	147.2332	87.5541	
1.0	10.0	3.0	121.6500	158.0500	205.3300	180.9476	169.7059	152.2682	173.3902	150.0632	183.5749	198.1355	
1.0	20.0	3.0	219.5600	158.0500	205.3300	195.3402	169.7059	152.2713	173.3902	167.3485	198.2694	198.1355	
1.0	30.0	3.0	290.4400	231.0867	205.3300	208.8099	169.7059	152.2773	173.3902	295.0564	212.9640	198.1355	
1.0	40.0	3.0	379.0900	162.0175	205.3300	217.1988	169.7059	152.2871	173.3902	374.0328	227.6586	198.1355	
1.0	50.0	3.0	485.7900	231.0867	205.3300	217.7999	177.4238	152.3025	173.3902	374.1197	242.3531	198.1355	
2.0	10.0	3.0	112.3200	103.0272	150.4833	157.9269	164.3222	152.2281	149.8537	140.3695	147.7567	161.2751	
2.0	20.0	3.0	170.8600	103.0272	150.4833	168.8229	164.3222	152.2283	149.8537	197.6920	162.4513	161.2751	
2.0	30.0	3.0	220.8800	103.0272	150.4833	181.4450	164.3222	152.2287	149.8537	283.2875	177.1458	161.2751	
2.0	40.0	3.0	234.0400	162.0175	150.4833	191.8381	164.3222	152.2294	156.0533	237.3526	191.8404	161.2751	
2.0	50.0	3.0	282.4400	231.0867	150.4833	196.6389	172.0401	152.2305	156.0533	177.8323	206.5350	161.2751	
4.0	10.0	3.0	66.5100	103.0272	92.9500	116.2080	136.9452	152.2251	135.6047	10.4231	76.1204	87.5541	
4.0	20.0	3.0	86.0800	103.0272	92.9500	116.0537	136.9452	152.2251	135.6047	100.9770	90.8149	87.5541	
