# Created: Mon Aug 04 14:42:27 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.15
#	output:	new-results/terasort/out-0.15.csv
#	metrics-output:	new-results/terasort/metrics-0.15.csv
#
# Points picked
# 	(4.0, 40.0, 9.0)
# 	(2.0, 10.0, 3.0)
# 	(2.0, 50.0, 8.0)
# 	(4.0, 50.0, 7.0)
# 	(1.0, 10.0, 8.0)
# 	(1.0, 30.0, 8.0)
# 	(2.0, 10.0, 7.0)
# 	(4.0, 20.0, 8.0)
# 	(1.0, 10.0, 9.0)
# 	(1.0, 20.0, 9.0)
# 	(1.0, 10.0, 7.0)
# 	(2.0, 20.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(2.0, 30.0, 6.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 20.0, 5.0)
# 	(1.0, 50.0, 9.0)
# 	(4.0, 50.0, 8.0)
# 	(4.0, 10.0, 9.0)
# 	(1.0, 30.0, 2.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	10.0	2.0	197.7700	237.4575	439.7700	181.9982	153.9633	154.2712	130.4102	211.7868	128.2491	242.8297	
1.0	20.0	2.0	378.2800	237.4575	439.7700	219.4534	153.9633	154.2064	157.4292	310.1756	145.2545	242.8297	
1.0	30.0	2.0	439.7700	237.4575	439.7700	251.1704	153.9633	154.1134	157.4292	430.8335	162.2600	242.8297	
1.0	40.0	2.0	646.0500	237.4575	439.7700	267.2643	153.9633	153.9810	157.4292	549.7100	179.2654	242.8297	
1.0	50.0	2.0	644.2200	237.4575	439.7700	263.6568	153.9633	153.7938	153.4776	641.4652	196.2708	242.8297	
2.0	10.0	2.0	122.2600	237.4575	439.7700	157.6142	153.9633	153.5595	130.4102	107.0962	113.8298	242.8297	
2.0	20.0	2.0	193.7800	237.4575	439.7700	190.9831	153.9633	153.1723	130.6713	140.0048	130.8352	242.8297	
2.0	30.0	2.0	256.8900	237.4575	439.7700	221.6695	153.9633	152.6237	137.2521	183.9334	147.8407	242.8297	
2.0	40.0	2.0	323.5800	237.4575	439.7700	240.1799	153.9633	151.8556	137.2521	248.9494	164.8461	242.8297	
2.0	50.0	2.0	407.8700	237.4575	439.7700	241.6615	153.9633	150.7952	145.6981	343.1585	181.8515	242.8297	
4.0	10.0	2.0	72.2300	237.4575	439.7700	111.1588	153.9633	88.3375	130.4102	67.3794	84.9912	242.8297	
4.0	20.0	2.0	116.1100	237.4575	439.7700	123.5239	153.9633	88.3362	130.6713	87.0615	101.9966	242.8297	
4.0	30.0	2.0	168.4500	237.4575	439.7700	138.6929	153.9633	88.3354	137.2521	105.4634	119.0020	242.8297	
4.0	40.0	2.0	237.2300	237.4575	439.7700	152.0567	153.9633	88.3348	137.2521	120.4027	136.0075	242.8297	
4.0	50.0	2.0	362.6600	237.4575	439.7700	159.9362	153.9633	88.3344	145.6981	132.0419	153.0129	242.8297	
1.0	10.0	3.0	121.6500	237.4575	170.5033	168.8047	118.0251	154.1918	130.4102	169.1160	121.3727	220.2680	
1.0	20.0	3.0	219.5600	237.4575	170.5033	206.0051	122.2483	154.0905	157.4292	247.7037	138.3781	220.2680	
1.0	30.0	3.0	290.4400	237.4575	170.5033	239.0790	122.2483	153.9454	157.4292	354.1818	155.3835	220.2680	
1.0	40.0	3.0	379.0900	237.4575	170.5033	257.7489	122.2483	153.7392	157.4292	476.4512	172.3889	220.2680	
1.0	50.0	3.0	485.7900	237.4575	170.5033	257.1888	122.2483	153.4484	153.4776	587.1086	189.3943	220.2680	
2.0	10.0	3.0	112.3200	237.4575	170.5033	143.4410	118.0251	153.0857	130.4102	95.1153	106.9534	220.2680	
2.0	20.0	3.0	170.8600	237.4575	170.5033	176.3022	122.2483	152.4896	130.6713	123.2541	123.9588	220.2680	
2.0	30.0	3.0	220.8800	237.4575	170.5033	208.1614	122.2483	151.6516	137.2521	157.7534	140.9642	220.2680	
2.0	40.0	3.0	234.0400	237.4575	170.5033	229.1829	122.2483	150.4913	137.2521	206.4802	157.9696	220.2680	
2.0	50.0	3.0	282.4400	237.4575	170.5033	233.7903	122.2483	148.9138	145.6981	280.3476	174.9750	220.2680	
4.0	10.0	3.0	66.5100	237.4575	170.5033	101.2259	118.0251	88.3360	130.4102	61.1203	78.1147	220.2680	
4.0	20.0	3.0	86.0800	237.4575	170.5033	112.9284	122.2483	88.3352	130.6713	80.4476	95.1201	220.2680	
4.0	30.0	3.0	116.7500	237.4575	170.5033	128.5426	122.2483	88.3347	137.2521	99.5317	112.1256	220.2680	
4.0	40.0	3.0	157.9000	237.4575	170.5033	143.3252	122.2483	88.3343	137.2521	115.5440	129.1310	220.2680	
4.0	50.0	3.0	182.7200	237.4575	170.5033	153.1971	122.2483	88.3341	145.6981	127.7513	146.1364	220.2680	
1.0	10.0	4.0	105.3100	72.4100	150.1000	153.5118	118.0251	154.0914	130.4102	137.5970	114.4962	197.7064	
1.0	20.0	4.0	172.0700	122.3429	150.1000	189.4110	122.2483	153.9442	157.4292	198.6719	131.5016	197.7064	
1.0	30.0	4.0	234.2300	122.3429	150.1000	223.0426	122.2483	153.7338	157.4292	285.7814	148.5070	197.7064	
1.0	40.0	4.0	308.7800	122.3429	150.1000	243.9888	122.2483	153.4353	157.4292	399.0304	165.5125	197.7064	
1.0	50.0	4.0	374.3800	122.3429	150.1000	246.7473	122.2483	153.0159	153.4776	519.6059	182.5179	197.7064	
2.0	10.0	4.0	72.5000	72.4100	150.1000	127.7293	118.0251	152.4951	130.4102	85.1145	100.0769	197.7064	
2.0	20.0	4.0	109.4900	122.3429	150.1000	159.1155	122.2483	151.6448	130.6713	110.2958	117.0823	197.7064	
2.0	30.0	4.0	147.8300	122.3429	150.1000	191.3482	122.2483	150.4611	137.2521	138.8488	134.0877	197.7064	
2.0	40.0	4.0	182.4400	122.3429	150.1000	214.4984	122.2483	148.8443	137.2521	175.7738	151.0931	197.7064	
2.0	50.0	4.0	226.1300	122.3429	150.1000	222.3644	122.2483	146.6865	145.6981	231.0358	168.0986	197.7064	
4.0	10.0	4.0	54.7500	72.4100	150.1000	91.1468	118.0251	88.3352	130.4102	55.2229	71.2383	197.7064	
4.0	20.0	4.0	75.8700	122.3429	150.1000	101.7703	122.2483	88.3347	130.6713	73.8529	88.2437	197.7064	
4.0	30.0	4.0	99.5400	122.3429	150.1000	117.4072	122.2483	88.3343	137.2521	93.3475	105.2491	197.7064	
4.0	40.0	4.0	135.6200	122.3429	150.1000	133.3075	122.2483	88.3341	137.2521	110.4705	122.2545	197.7064	
4.0	50.0	4.0	147.7500	122.3429	150.1000	145.0765	122.2483	88.3339	145.6981	123.6475	139.2599	197.7064	
1.0	10.0	5.0	100.1100	72.4100	150.1000	137.4305	118.0251	153.9777	130.4102	114.4408	107.6197	175.1447	
1.0	20.0	5.0	150.1000	122.3429	150.1000	171.1169	122.2483	153.7787	157.4292	162.0349	124.6251	175.1447	
1.0	30.0	5.0	199.1300	122.3429	150.1000	204.4845	122.2483	153.4948	157.4292	230.1123	141.6306	175.1447	
1.0	40.0	5.0	256.9800	122.3429	150.1000	227.2320	122.2483	153.0932	157.4292	325.9193	158.6360	175.1447	
1.0	50.0	5.0	306.4200	122.3429	150.1000	233.3049	122.2483	152.5310	153.4776	443.8439	175.6414	175.1447	
2.0	10.0	5.0	72.5300	72.4100	150.1000	111.7988	118.0251	151.8364	130.4102	76.4319	93.2004	175.1447	
2.0	20.0	5.0	101.6800	122.3429	150.1000	140.8866	122.2483	150.7107	130.6713	99.6994	110.2058	175.1447	
2.0	30.0	5.0	128.9900	122.3429	150.1000	172.6830	122.2483	149.1607	137.2521	124.7541	127.2113	175.1447	
2.0	40.0	5.0	158.8800	122.3429	150.1000	197.4165	122.2483	147.0745	137.2521	153.9565	144.2167	175.1447	
2.0	50.0	5.0	191.0900	122.3429	150.1000	208.4064	122.2483	144.3447	145.6981	194.7690	161.2221	175.1447	
4.0	10.0	5.0	51.2800	72.4100	150.1000	81.7154	118.0251	88.3348	130.4102	49.7616	64.3618	175.1447	
4.0	20.0	5.0	71.6400	122.3429	150.1000	90.9365	122.2483	88.3344	130.6713	67.3876	81.3672	175.1447	
4.0	30.0	5.0	97.8800	122.3429	150.1000	106.1789	122.2483	88.3341	137.2521	86.9512	98.3726	175.1447	
4.0	40.0	5.0	100.7400	122.3429	150.1000	122.8121	122.2483	88.3339	137.2521	105.0803	115.3780	175.1447	
4.0	50.0	5.0	124.5700	122.3429	150.1000	136.2343	122.2483	88.3338	145.6981	119.4541	132.3835	175.1447	
1.0	10.0	6.0	90.7600	72.4100	113.0500	121.9536	118.0251	153.8643	120.5816	97.1380	100.7433	152.5830	
1.0	20.0	6.0	125.4400	122.3429	113.0500	152.7190	122.2483	153.6140	147.6005	135.1790	117.7487	152.5830	
