# Created: Mon Aug 04 14:42:31 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.175
#	output:	new-results/terasort/out-0.175.csv
#	metrics-output:	new-results/terasort/metrics-0.175.csv
#
# Points picked
# 	(4.0, 50.0, 2.0)
# 	(2.0, 40.0, 10.0)
# 	(4.0, 10.0, 3.0)
# 	(4.0, 20.0, 8.0)
# 	(2.0, 20.0, 7.0)
# 	(1.0, 40.0, 2.0)
# 	(4.0, 40.0, 8.0)
# 	(2.0, 20.0, 10.0)
# 	(1.0, 30.0, 8.0)
# 	(2.0, 20.0, 5.0)
# 	(1.0, 30.0, 6.0)
# 	(1.0, 10.0, 10.0)
# 	(4.0, 20.0, 4.0)
# 	(2.0, 40.0, 6.0)
# 	(4.0, 20.0, 5.0)
# 	(4.0, 20.0, 6.0)
# 	(1.0, 20.0, 8.0)
# 	(1.0, 40.0, 9.0)
# 	(4.0, 10.0, 2.0)
# 	(1.0, 20.0, 7.0)
# 	(1.0, 50.0, 2.0)
# 	(2.0, 30.0, 6.0)
# 	(4.0, 20.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	10.0	2.0	197.7700	188.6005	4.2067	407.9139	115.5639	87.7325	288.2235	431.2900	206.7700	147.6231	
1.0	20.0	2.0	378.2800	195.6793	96.5956	504.8974	133.1023	87.7325	288.2235	431.2900	273.5417	147.6231	
1.0	30.0	2.0	439.7700	198.9062	188.9844	580.9727	150.6407	550.9767	300.2773	431.2900	350.6450	177.0138	
1.0	40.0	2.0	646.0500	200.3046	281.3733	633.5676	168.1790	550.9767	300.2773	431.2900	416.0092	180.2440	
1.0	50.0	2.0	644.2200	200.7014	373.7622	666.6769	185.7174	550.9767	330.3354	431.2900	448.4187	355.2417	
2.0	10.0	2.0	122.2600	153.1431	4.2067	252.7152	100.0488	87.7325	288.2235	431.2900	165.2422	143.1828	
2.0	20.0	2.0	193.7800	169.2567	96.5956	357.4751	117.5872	87.7325	288.2235	431.2900	226.0301	143.1828	
2.0	30.0	2.0	256.8900	179.1511	188.9844	464.6313	135.1256	550.9767	300.2773	431.2900	301.5527	177.0138	
2.0	40.0	2.0	323.5800	184.1400	281.3733	554.5396	152.6639	550.9767	300.2773	431.2900	370.2827	180.2440	
2.0	50.0	2.0	407.8700	185.6464	373.7622	618.4309	170.2023	550.9767	330.3354	431.2900	410.1286	355.2417	
4.0	10.0	2.0	72.2300	101.8459	4.2067	81.5167	69.0187	87.7325	288.2235	431.2900	100.3190	134.7177	
4.0	20.0	2.0	116.1100	101.8460	96.5956	118.0470	86.5570	87.7325	288.2235	431.2900	132.8382	134.7177	
4.0	30.0	2.0	168.4500	101.8461	188.9844	176.8385	104.0954	550.9767	300.2773	431.2900	181.5850	170.4678	
4.0	40.0	2.0	237.2300	101.8461	281.3733	261.5552	121.6338	550.9767	300.2773	431.2900	232.7740	173.6980	
4.0	50.0	2.0	362.6600	101.8462	373.7622	366.1015	139.1721	550.9767	330.3354	431.2900	270.3824	355.2417	
1.0	10.0	3.0	121.6500	192.2477	4.2067	275.7120	111.5926	87.7325	129.8450	106.6467	186.9177	111.5151	
1.0	20.0	3.0	219.5600	197.8762	96.5956	383.9278	129.1310	87.7325	129.8450	106.6467	248.9797	111.5151	
1.0	30.0	3.0	290.4400	200.3758	188.9844	489.7098	146.6694	550.9767	147.5372	106.6467	323.4792	140.9058	
1.0	40.0	3.0	379.0900	201.4465	281.3733	574.3865	164.2077	550.9767	147.5372	106.6467	389.1475	144.1359	
1.0	50.0	3.0	485.7900	201.7490	373.7622	632.0366	181.7461	550.9767	177.5953	106.6467	424.6728	319.1336	
2.0	10.0	3.0	112.3200	160.6617	4.2067	154.9155	96.0775	87.7325	129.8450	106.6467	144.3078	107.0747	
2.0	20.0	3.0	170.8600	175.7672	96.5956	232.3858	113.6159	87.7325	129.8450	106.6467	200.1748	107.0747	
2.0	30.0	3.0	220.8800	184.4069	188.9844	333.4237	131.1543	550.9767	147.5372	106.6467	273.0019	140.9058	
2.0	40.0	3.0	234.0400	188.5945	281.3733	442.5872	148.6926	550.9767	147.5372	106.6467	342.0909	144.1359	
2.0	50.0	3.0	282.4400	189.8377	373.7622	538.6854	166.2310	550.9767	177.5953	106.6467	385.2376	319.1336	
4.0	10.0	3.0	66.5100	101.8459	4.2067	63.7746	65.0473	87.7325	109.8232	106.6467	86.4664	98.6097	
4.0	20.0	3.0	86.0800	101.8460	96.5956	85.6029	82.5857	87.7325	109.8232	106.6467	115.7903	98.6097	
4.0	30.0	3.0	116.7500	101.8461	188.9844	120.8718	100.1241	550.9767	127.5155	106.6467	162.8046	134.3598	
4.0	40.0	3.0	157.9000	101.8463	281.3733	173.9866	117.6624	550.9767	127.5155	106.6467	214.2510	137.5900	
4.0	50.0	3.0	182.7200	101.8463	373.7622	247.7360	135.2008	550.9767	157.5736	106.6467	254.0268	319.1336	
1.0	10.0	4.0	105.3100	194.9973	4.2067	174.0860	107.6213	87.7325	129.8450	106.6467	165.1439	111.5151	
1.0	20.0	4.0	172.0700	199.4813	96.5956	256.7532	125.1597	87.7325	129.8450	106.6467	220.4110	111.5151	
1.0	30.0	4.0	234.2300	201.4345	188.9844	359.5649	142.6980	550.9767	147.5372	106.6467	289.9850	140.9058	
1.0	40.0	4.0	308.7800	202.2643	281.3733	465.8962	160.2364	550.9767	147.5372	106.6467	354.0656	144.1359	
1.0	50.0	4.0	374.3800	202.4979	373.7622	556.1707	177.7748	550.9767	177.5953	106.6467	391.8589	319.1336	
2.0	10.0	4.0	72.5000	167.4090	4.2067	105.1113	92.1062	87.7325	129.8450	106.6467	122.6807	107.0747	
2.0	20.0	4.0	109.4900	181.1447	96.5956	152.4201	109.6446	87.7325	129.8450	106.6467	171.7110	107.0747	
2.0	30.0	4.0	147.8300	188.5457	188.9844	221.2188	127.1829	550.9767	147.5372	106.6467	239.5591	140.9058	
2.0	40.0	4.0	182.4400	192.0218	281.3733	311.2409	144.7213	550.9767	147.5372	106.6467	307.0097	144.1359	
2.0	50.0	4.0	226.1300	193.0403	373.7622	413.6632	162.2597	550.9767	177.5953	106.6467	352.3866	319.1336	
4.0	10.0	4.0	54.7500	101.8459	4.2067	57.2448	61.0760	87.7325	109.8232	106.6467	74.0176	98.6097	
4.0	20.0	4.0	75.8700	101.8461	96.5956	73.0737	78.6144	87.7325	109.8232	106.6467	99.0888	98.6097	
4.0	30.0	4.0	99.5400	101.8463	188.9844	97.3796	96.1528	550.9767	127.5155	106.6467	142.8782	134.3598	
4.0	40.0	4.0	135.6200	101.8464	281.3733	131.8274	113.6911	550.9767	127.5155	106.6467	193.0786	137.5900	
4.0	50.0	4.0	147.7500	101.8465	373.7622	177.6673	131.2295	550.9767	157.5736	106.6467	233.9776	319.1336	
1.0	10.0	5.0	100.1100	197.0606	4.2067	121.1385	103.6500	87.7325	129.8450	106.6467	143.3835	111.5151	
1.0	20.0	5.0	150.1000	200.6579	96.5956	172.8092	121.1884	87.7325	129.8450	106.6467	190.3812	111.5151	
1.0	30.0	5.0	199.1300	202.2028	188.9844	243.9950	138.7267	129.4954	147.5372	106.6467	253.1541	140.9058	
1.0	40.0	5.0	256.9800	202.8551	281.3733	333.8039	156.2651	129.4954	147.5372	106.6467	313.9041	144.1359	
1.0	50.0	5.0	306.4200	203.0383	373.7622	433.5328	173.8035	129.4954	177.5953	106.6467	352.9199	319.1336	
2.0	10.0	5.0	72.5300	173.2444	4.2067	84.6597	88.1349	87.7325	129.8450	106.6467	102.2821	107.0747	
2.0	20.0	5.0	101.6800	185.4792	96.5956	115.3096	105.6733	87.7325	129.8450	106.6467	143.1745	107.0747	
2.0	30.0	5.0	128.9900	191.7569	188.9844	158.2709	123.2116	129.4954	147.5372	106.6467	204.2116	140.9058	
2.0	40.0	5.0	158.8800	194.6335	281.3733	215.5914	140.7500	129.4954	147.5372	106.6467	268.1795	144.1359	
2.0	50.0	5.0	191.0900	195.4679	373.7622	289.6781	158.2884	129.4954	177.5953	106.6467	314.5226	319.1336	
4.0	10.0	5.0	51.2800	101.8460	4.2067	55.0033	57.1047	87.7325	109.8232	106.6467	64.0583	98.6097	
4.0	20.0	5.0	71.6400	101.8462	96.5956	68.6392	74.6431	87.7325	109.8232	106.6467	84.1984	98.6097	
4.0	30.0	5.0	97.8800	101.8464	188.9844	88.6730	92.1814	129.4954	127.5155	106.6467	123.5611	134.3598	
4.0	40.0	5.0	100.7400	101.8466	281.3733	115.0585	109.7198	129.4954	127.5155	106.6467	171.1290	137.5900	
4.0	50.0	5.0	124.5700	101.8467	373.7622	146.5459	127.2582	129.4954	157.5736	106.6467	212.0135	319.1336	
1.0	10.0	6.0	90.7600	198.6086	4.2067	99.1756	99.6787	87.7325	129.8450	106.6467	123.5630	111.5151	
1.0	20.0	6.0	125.4400	201.5255	96.5956	133.1168	117.2170	87.7325	129.8450	106.6467	161.5439	111.5151	
1.0	30.0	6.0	174.1600	202.7651	188.9844	177.3206	134.7554	129.4954	147.5372	106.6467	216.2356	140.9058	
1.0	40.0	6.0	247.1600	203.2862	281.3733	234.1361	152.2938	129.4954	147.5372	106.6467	272.2002	144.1359	
1.0	50.0	6.0	296.7600	203.4323	373.7622	307.1793	169.8321	129.4954	177.5953	106.6467	311.2805	319.1336	
2.0	10.0	6.0	67.8700	178.1495	4.2067	77.1483	84.1636	87.7325	129.8450	106.6467	84.9222	107.0747	
2.0	20.0	6.0	88.4400	188.9166	96.5956	100.8152	101.7020	87.7325	129.8450	106.6467	117.0925	107.0747	
2.0	30.0	6.0	113.0500	194.2282	188.9844	131.1375	119.2403	129.4954	147.5372	106.6467	170.0840	140.9058	
2.0	40.0	6.0	145.1200	196.6160	281.3733	167.4882	136.7787	129.4954	147.5372	106.6467	229.0272	144.1359	
2.0	50.0	6.0	169.2200	197.3032	373.7622	211.6630	154.3171	129.4954	177.5953	106.6467	274.9818	319.1336	
4.0	10.0	6.0	50.8700	101.8460	4.2067	54.3352	53.1334	87.7325	109.8232	106.6467	57.4636	98.6097	
4.0	20.0	6.0	75.5600	101.8463	96.5956	67.2413	70.6718	87.7325	109.8232	106.6467	72.4277	98.6097	
4.0	30.0	6.0	95.8300	101.8466	188.9844	85.7572	88.2101	129.4954	127.5155	106.6467	106.5506	134.3598	
4.0	40.0	6.0	101.3000	101.8468	281.3733	109.0796	105.7485	129.4954	127.5155	106.6467	150.3301	137.5900	
4.0	50.0	6.0	143.5000	101.8469	373.7622	134.6627	123.2869	129.4954	157.5736	106.6467	190.0622	319.1336	
1.0	10.0	7.0	80.2900	199.7731	4.2067	91.0982	95.7074	87.7325	129.8450	106.6467	107.3200	111.5151	
1.0	20.0	7.0	122.0600	202.1699	96.5956	117.4761	113.2457	87.7325	129.8450	106.6467	136.2754	111.5151	
1.0	30.0	7.0	152.8100	203.1805	188.9844	148.1210	130.7841	129.4954	147.5372	106.6467	182.2646	140.9058	
1.0	40.0	7.0	193.4800	203.6038	281.3733	182.8093	148.3225	129.4954	147.5372	106.6467	232.3754	144.1359	
1.0	50.0	7.0	250.6200	203.7224	373.7622	225.0966	165.8608	129.4954	177.5953	106.6467	270.3509	319.1336	
2.0	10.0	7.0	64.4800	182.1867	4.2067	74.6425	80.1923	87.7325	129.8450	106.6467	72.0359	107.0747	
2.0	20.0	7.0	88.3300	191.6154	96.5956	95.7105	97.7306	87.7325	129.8450	106.6467	95.6159	107.0747	
2.0	30.0	7.0	112.3300	196.1236	188.9844	120.9582	115.2690	129.4954	147.5372	106.6467	139.9848	140.9058	
2.0	40.0	7.0	129.3400	198.1205	281.3733	147.8857	132.8074	129.4954	147.5372	106.6467	192.7689	144.1359	
2.0	50.0	7.0	151.7200	198.6919	373.7622	175.7228	150.3457	129.4954	177.5953	106.6467	237.0068	319.1336	
4.0	10.0	7.0	52.9000	101.8461	4.2067	54.2363	49.1621	87.7325	109.8232	106.6467	54.7720	98.6097	
4.0	20.0	7.0	63.4200	101.8464	96.5956	66.9502	66.7005	87.7325	109.8232	106.6467	64.7405	98.6097	
4.0	30.0	7.0	76.1400	101.8468	188.9844	84.9839	84.2388	129.4954	127.5155	106.6467	93.2411	134.3598	
4.0	40.0	7.0	92.0200	101.8471	281.3733	107.2155	101.7772	129.4954	127.5155	106.6467	132.3865	137.5900	
4.0	50.0	7.0	126.5500	101.8472	373.7622	130.5570	119.3156	129.4954	157.5736	106.6467	169.9223	319.1336	
1.0	10.0	8.0	84.5100	200.6528	4.2067	88.4257	91.7361	87.7325	129.8450	106.6467	95.7811	111.5151	
1.0	20.0	8.0	107.5200	202.6519	96.5956	111.9397	109.2744	87.7325	129.8450	106.6467	116.3529	111.5151	
1.0	30.0	8.0	142.7300	203.4899	188.9844	137.0498	126.8128	129.4954	147.5372	106.6467	153.6526	140.9058	
1.0	40.0	8.0	178.7000	203.8401	281.3733	161.5987	144.3512	129.4954	147.5372	106.6467	197.2752	144.1359	
1.0	50.0	8.0	236.4800	203.9381	373.7622	186.5397	161.8895	129.4954	177.5953	106.6467	233.0689	319.1336	
2.0	10.0	8.0	56.4400	185.4594	4.2067	73.9806	76.2210	87.7325	129.8450	106.6467	64.4882	107.0747	
