# Created: Mon Aug 04 14:42:36 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.20
#	output:	new-results/terasort/out-0.20.csv
#	metrics-output:	new-results/terasort/metrics-0.20.csv
#
# Points picked
# 	(1.0, 50.0, 3.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 20.0, 5.0)
# 	(2.0, 30.0, 4.0)
# 	(1.0, 40.0, 5.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 2.0)
# 	(2.0, 50.0, 10.0)
# 	(1.0, 30.0, 7.0)
# 	(1.0, 30.0, 5.0)
# 	(2.0, 10.0, 3.0)
# 	(4.0, 10.0, 5.0)
# 	(1.0, 40.0, 9.0)
# 	(1.0, 10.0, 10.0)
# 	(2.0, 30.0, 6.0)
# 	(2.0, 20.0, 8.0)
# 	(1.0, 40.0, 10.0)
# 	(2.0, 10.0, 4.0)
# 	(4.0, 40.0, 7.0)
# 	(2.0, 40.0, 2.0)
# 	(4.0, 10.0, 10.0)
# 	(1.0, 20.0, 9.0)
# 	(1.0, 20.0, 2.0)
# 	(1.0, 50.0, 4.0)
# 	(1.0, 10.0, 8.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 20.0, 6.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	10.0	2.0	197.7700	355.7089	354.8400	199.5553	272.0195	97.8180	243.6150	287.7057	110.9508	76.1382	
1.0	20.0	2.0	378.2800	355.7089	354.8400	239.4776	272.0195	157.0540	243.6150	331.4735	137.8264	125.6833	
1.0	30.0	2.0	439.7700	355.7089	354.8400	285.0094	294.3047	252.7769	253.0016	371.4572	164.7021	175.2285	
1.0	40.0	2.0	646.0500	355.7089	354.8400	324.2546	304.6318	285.3480	270.1530	410.3141	191.5777	224.7737	
1.0	50.0	2.0	644.2200	355.7089	354.8400	345.4591	304.6318	290.8737	296.5152	443.7245	218.4534	274.3189	
2.0	10.0	2.0	122.2600	355.7089	354.8400	161.1963	272.0195	98.5561	213.2872	223.1983	89.5822	76.1382	
2.0	20.0	2.0	193.7800	355.7089	354.8400	199.1712	272.0195	160.3360	213.2872	281.0156	116.4579	125.6833	
2.0	30.0	2.0	256.8900	355.7089	354.8400	247.2175	294.3047	254.9632	232.1322	331.9088	143.3335	175.2285	
2.0	40.0	2.0	323.5800	355.7089	354.8400	292.5918	304.6318	285.7862	241.6842	377.9181	170.2092	224.7737	
2.0	50.0	2.0	407.8700	355.7089	354.8400	321.7163	304.6318	290.9491	268.9525	419.2326	197.0848	274.3189	
4.0	10.0	2.0	72.2300	355.7089	354.8400	120.5963	267.5797	103.5703	206.3938	96.6644	46.8451	76.1382	
4.0	20.0	2.0	116.1100	355.7089	354.8400	144.0926	267.5797	179.4927	206.3938	139.7499	73.7207	125.6833	
4.0	30.0	2.0	168.4500	355.7089	354.8400	179.8802	294.3047	265.3582	232.1322	199.5030	100.5964	175.2285	
4.0	40.0	2.0	237.2300	355.7089	354.8400	218.2383	304.6318	287.7460	241.6842	267.3588	127.4720	224.7737	
4.0	50.0	2.0	362.6600	355.7089	354.8400	247.6532	304.6318	291.2831	268.9525	333.0414	154.3477	274.3189	
1.0	10.0	3.0	121.6500	300.7067	299.0550	181.4978	174.8612	93.7488	216.2792	201.1385	108.7844	76.1382	
1.0	20.0	3.0	219.5600	300.7067	299.0550	220.0522	182.1914	136.1551	216.2792	270.9767	135.6600	125.6833	
1.0	30.0	3.0	290.4400	300.7067	299.0550	266.3587	225.5131	234.5226	246.7998	338.8073	162.5357	175.2285	
1.0	40.0	3.0	379.0900	300.7067	299.0550	308.2941	243.3618	281.2767	263.9512	396.6775	189.4113	224.7737	
1.0	50.0	3.0	485.7900	300.7067	299.0550	333.3098	249.2847	290.1594	290.3134	439.1533	216.2870	274.3189	
2.0	10.0	3.0	112.3200	300.7067	299.0550	140.4072	165.4133	94.2166	185.9514	130.6302	87.4158	76.1382	
