# Created: Mon Aug 04 00:47:14 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	sampling-rate:	0.075
#	input:	input/pagerank-2dim.csv
#	output:	results/pagerank-2dim/out-0.075.csv
#	metrics-output:	results/pagerank-2dim/metrics-0.075.csv
#	sampling-type:	gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
#	models:	gr.ntua.ece.cslab.panic.core.models.MLPerceptron
#
# Points picked
# 	(50.0, 2.0)
# 	(100.0, 2.0)
# 	(50.0, 10.0)
# 	(100.0, 10.0)
x2	x1	objective	MLPerceptron	
50.0	2.0	150.3600	150.3600	
60.0	2.0	179.3700	176.6692	
70.0	2.0	203.1300	208.3081	
80.0	2.0	227.5400	239.5271	
90.0	2.0	251.3500	264.8632	
100.0	2.0	282.3600	282.3600	
50.0	3.0	132.0700	138.3970	
60.0	3.0	152.0000	160.1060	
70.0	3.0	164.2000	189.0963	
80.0	3.0	185.0500	221.3461	
90.0	3.0	206.4400	250.6810	
100.0	3.0	225.0100	272.8651	
50.0	4.0	136.5900	129.1613	
60.0	4.0	151.4200	146.2064	
70.0	4.0	182.1800	171.0905	
80.0	4.0	201.1600	202.0862	
90.0	4.0	210.9400	233.8807	
100.0	4.0	212.2000	260.6171	
50.0	5.0	110.7600	122.2813	
60.0	5.0	128.2500	135.1476	
70.0	5.0	137.9100	155.3329	
80.0	5.0	155.0100	183.1223	
90.0	5.0	171.6000	215.2143	
100.0	5.0	201.4800	245.5452	
50.0	6.0	131.5700	117.2915	
60.0	6.0	139.2100	126.7165	
70.0	6.0	137.2200	142.3489	
80.0	6.0	160.9800	165.7481	
90.0	6.0	173.8500	195.8956	
100.0	6.0	192.6700	228.0379	
50.0	7.0	117.9300	113.7423	
60.0	7.0	117.2900	120.4952	
70.0	7.0	138.5100	132.1708	
80.0	7.0	135.8200	150.8500	
90.0	7.0	149.7100	177.3157	
100.0	7.0	161.0500	209.0138	
50.0	8.0	99.2300	111.2527	
60.0	8.0	113.7900	116.0144	
70.0	8.0	116.4900	124.5000	
80.0	8.0	128.2900	138.7834	
90.0	8.0	143.9600	160.6653	
100.0	8.0	150.0800	189.7828	
50.0	9.0	117.2500	109.5233	
60.0	9.0	126.0200	112.8432	
70.0	9.0	126.8500	118.8883	
80.0	9.0	132.9400	129.4537	
90.0	9.0	146.7000	146.6627	
100.0	9.0	157.0200	171.7121	
50.0	10.0	108.3300	108.3300	
60.0	10.0	113.7300	110.6265	
70.0	10.0	129.2100	114.8718	
80.0	10.0	135.0600	122.4959	
90.0	10.0	141.0700	135.5023	
100.0	10.0	155.8600	155.8600	


