# Created: Mon Aug 04 00:38:49 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.1
#	input:	input/pagerank-2dim.csv
#	output:	results/pagerank-2dim/out-0.1.csv
#	metrics-output:	results/pagerank-2dim/metrics-0.1.csv
#
# Points picked
# 	(80.0, 3.0)
# 	(50.0, 10.0)
# 	(90.0, 3.0)
# 	(80.0, 6.0)
# 	(60.0, 2.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
50.0	2.0	150.3600	190.2867	108.3300	168.4338	169.5382	143.8492	168.0340	164.1561	122.6729	197.5011	
60.0	2.0	179.3700	190.2867	175.1333	173.2022	169.5382	143.8500	168.0340	176.4385	144.0629	197.5011	
70.0	2.0	203.1300	190.2867	175.1333	178.6878	169.5382	176.0954	168.0340	188.1915	165.4529	197.5011	
80.0	2.0	227.5400	190.2867	175.1333	183.3910	169.5382	184.1569	168.0340	198.7867	186.8429	197.5011	
90.0	2.0	251.3500	190.2867	206.4400	185.9398	169.5382	184.1570	168.0340	207.8368	208.2329	197.5011	
100.0	2.0	282.3600	190.2867	206.4400	185.7278	169.5382	184.1570	168.0340	215.2178	229.6229	197.5011	
50.0	3.0	132.0700	190.2867	108.3300	164.9946	169.5382	143.8492	168.0340	152.7929	120.8800	186.9771	
60.0	3.0	152.0000	190.2867	175.1333	169.8509	169.5382	143.8505	168.0340	164.8881	142.2700	186.9771	
70.0	3.0	164.2000	190.2867	175.1333	175.7795	169.5382	178.9921	168.0340	177.1597	163.6600	186.9771	
80.0	3.0	185.0500	190.2867	175.1333	181.1422	169.5382	184.1569	168.0340	188.8593	185.0500	186.9771	
90.0	3.0	206.4400	190.2867	206.4400	184.3918	169.5382	184.1570	168.0340	199.3708	206.4400	186.9771	
100.0	3.0	225.0100	190.2867	206.4400	184.7822	169.5382	184.1570	168.0340	208.3226	227.8300	186.9771	
50.0	4.0	136.5900	134.6550	108.3300	160.9276	169.5382	143.8492	168.0340	142.2123	119.0871	176.4532	
60.0	4.0	151.4200	134.6550	175.1333	165.7489	169.5382	143.8507	168.0340	153.4940	140.4771	176.4532	
70.0	4.0	182.1800	134.6550	175.1333	172.0359	169.5382	179.3998	168.0340	165.6208	161.8671	176.4532	
80.0	4.0	201.1600	134.6550	175.1333	178.0305	169.5382	184.1569	168.0340	177.8788	183.2571	176.4532	
90.0	4.0	210.9400	134.6550	206.4400	182.0221	169.5382	184.1570	168.0340	189.5229	204.6471	176.4532	
100.0	4.0	212.2000	134.6550	206.4400	183.1216	169.5382	184.1570	168.0340	199.9492	226.0371	176.4532	
50.0	5.0	110.7600	134.6550	108.3300	156.4739	169.5382	143.8492	168.0340	132.8467	117.2943	165.9292	
60.0	5.0	128.2500	134.6550	175.1333	161.1477	169.5382	143.8503	168.0340	142.8491	138.6843	165.9292	
70.0	5.0	137.9100	134.6550	175.1333	167.6957	169.5382	177.7580	168.0340	154.1983	160.0743	165.9292	
80.0	5.0	155.0100	134.6550	175.1333	174.2639	169.5382	184.1569	168.0340	166.3540	181.4643	165.9292	
90.0	5.0	171.6000	134.6550	206.4400	178.9969	169.5382	184.1570	168.0340	178.5956	202.8543	165.9292	
100.0	5.0	201.4800	134.6550	206.4400	180.8683	169.5382	184.1570	168.0340	190.1821	224.2443	165.9292	
50.0	6.0	131.5700	134.6550	108.3300	151.9448	169.5382	143.8492	168.0340	124.9206	115.5014	155.4052	
60.0	6.0	139.2100	134.6550	175.1333	156.3771	169.5382	143.8497	168.0340	133.3977	136.8914	155.4052	
70.0	6.0	137.2200	134.6550	175.1333	163.0797	169.5382	172.3922	168.0340	143.4908	158.2814	155.4052	
80.0	6.0	160.9800	134.6550	175.1333	170.1299	169.5382	184.1568	168.0340	154.9054	179.6714	155.4052	
90.0	6.0	173.8500	134.6550	206.4400	175.5555	169.5382	184.1570	168.0340	167.0875	201.0614	155.4052	
100.0	6.0	192.6700	134.6550	206.4400	178.2063	169.5382	184.1570	168.0340	179.3101	222.4514	155.4052	
50.0	7.0	117.9300	134.6550	108.3300	147.6864	169.5382	143.8492	168.0340	118.4638	113.7086	144.8813	
60.0	7.0	117.2900	134.6550	175.1333	151.8066	169.5382	143.8494	168.0340	125.3779	135.0986	144.8813	
70.0	7.0	138.5100	134.6550	175.1333	158.5513	169.5382	160.6835	168.0340	133.9546	156.4886	144.8813	
80.0	7.0	135.8200	134.6550	175.1333	165.9600	169.5382	184.1565	168.0340	144.1372	177.8786	144.8813	
90.0	7.0	149.7100	134.6550	206.4400	171.9784	169.5382	184.1570	168.0340	155.6153	199.2686	144.8813	
100.0	7.0	161.0500	134.6550	206.4400	175.3562	169.5382	184.1570	168.0340	167.8211	220.6586	144.8813	
50.0	8.0	99.2300	134.6550	108.3300	144.0371	169.5382	143.8492	168.0340	113.3656	111.9157	134.3573	
60.0	8.0	113.7900	134.6550	175.1333	147.7991	169.5382	143.8493	168.0340	118.8304	133.3057	134.3573	
70.0	8.0	116.4900	134.6550	175.1333	154.4699	169.5382	148.7020	168.0340	125.8411	154.6957	134.3573	
80.0	8.0	128.2900	134.6550	175.1333	162.0852	169.5382	184.1547	168.0340	134.5172	176.0857	134.3573	
90.0	8.0	143.9600	134.6550	206.4400	168.5501	169.5382	184.1570	168.0340	144.7883	197.4757	134.3573	
100.0	8.0	150.0800	134.6550	206.4400	172.5449	169.5382	184.1570	168.0340	156.3279	218.8657	134.3573	
50.0	9.0	117.2500	134.6550	108.3300	141.2830	169.5382	143.8492	168.0340	109.4382	110.1229	123.8333	
60.0	9.0	126.0200	134.6550	175.1333	144.6634	169.5382	143.8492	168.0340	113.6512	131.5129	123.8333	
