# Created: Sat Aug 02 18:50:42 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.2
#	input:	input/pagerank-2dim.csv
#	output:	results/pagerank-2dim/out.csv
#	metrics-output:	results/pagerank-2dim/metrics.csv
#
# Points picked
# 	(60.0, 6.0)
# 	(70.0, 8.0)
# 	(90.0, 2.0)
# 	(70.0, 4.0)
# 	(60.0, 9.0)
# 	(70.0, 7.0)
# 	(60.0, 3.0)
# 	(80.0, 6.0)
# 	(80.0, 10.0)
# 	(60.0, 4.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
50.0	2.0	150.3600	151.7100	251.3500	152.8086	161.0137	175.9646	161.7205	145.2910	150.5473	197.7004	
60.0	2.0	179.3700	151.7100	251.3500	160.5420	161.0137	175.9646	161.7205	174.6666	159.6375	197.7004	
70.0	2.0	203.1300	216.7650	251.3500	174.4962	161.0137	175.9646	161.7205	212.4203	168.7277	197.7004	
80.0	2.0	227.5400	216.7650	251.3500	189.8541	169.9655	175.9646	161.7205	237.8992	177.8179	197.7004	
90.0	2.0	251.3500	216.7650	251.3500	198.8535	169.9655	175.9646	161.7205	248.5772	186.9081	197.7004	
100.0	2.0	282.3600	216.7650	251.3500	196.8840	169.9655	175.9646	161.7205	252.1407	195.9984	197.7004	
50.0	3.0	132.0700	151.7100	161.8667	149.9576	153.0907	175.9645	161.7205	136.4749	145.3952	186.8342	
60.0	3.0	152.0000	151.7100	161.8667	156.5740	153.0907	175.9643	161.7205	156.7205	154.4854	186.8342	
70.0	3.0	164.2000	216.7650	161.8667	169.9190	153.0907	175.9640	161.7205	192.4334	163.5757	186.8342	
80.0	3.0	185.0500	216.7650	161.8667	185.4597	162.0425	175.9643	161.7205	226.3852	172.6659	186.8342	
90.0	3.0	206.4400	216.7650	161.8667	195.3299	162.0425	175.9645	161.7205	244.1856	181.7561	186.8342	
100.0	3.0	225.0100	216.7650	161.8667	194.5187	162.0425	175.9646	161.7205	250.7283	190.8463	186.8342	
50.0	4.0	136.5900	151.7100	161.8667	146.8159	153.0907	175.9626	161.7205	131.3049	140.2432	175.9679	
60.0	4.0	151.4200	151.7100	161.8667	151.9490	153.0907	175.9518	161.7205	143.7528	149.3334	175.9679	
70.0	4.0	182.1800	216.7650	161.8667	164.2108	153.0907	175.9407	161.7205	171.8489	158.4236	175.9679	
80.0	4.0	201.1600	216.7650	161.8667	179.5287	162.0425	175.9518	161.7205	209.7532	167.5138	175.9679	
90.0	4.0	210.9400	216.7650	161.8667	190.1350	162.0425	175.9626	161.7205	236.5547	176.6040	175.9679	
100.0	4.0	212.2000	216.7650	161.8667	190.6915	162.0425	175.9645	161.7205	248.0958	185.6943	175.9679	
50.0	5.0	110.7600	137.5933	150.0950	143.6120	153.0907	175.9085	156.9012	128.4352	135.0911	165.1016	
60.0	5.0	128.2500	137.5933	150.0950	147.0086	153.0907	175.6007	156.9012	135.5465	144.1813	165.1016	
70.0	5.0	137.9100	137.5933	150.0950	157.8013	153.0907	175.2890	156.9012	154.5450	153.2716	165.1016	
80.0	5.0	155.0100	149.2867	150.0950	172.5174	162.0425	175.6007	156.9012	189.4264	162.3618	165.1016	
90.0	5.0	171.6000	149.2867	150.0950	183.6783	162.0425	175.9085	156.9012	224.3164	171.4520	165.1016	
100.0	5.0	201.4800	149.2867	150.0950	185.7109	162.0425	175.9621	156.9012	243.3266	180.5422	165.1016	
50.0	6.0	131.5700	137.5933	150.0950	140.6034	149.1967	174.8346	156.9012	126.8909	129.9391	154.2354	
60.0	6.0	139.2100	137.5933	150.0950	142.1529	149.1967	169.3962	156.9012	130.7810	139.0293	154.2354	
70.0	6.0	137.2200	137.5933	150.0950	151.2137	149.1967	164.9225	156.9012	142.3137	148.1195	154.2354	
80.0	6.0	160.9800	149.2867	150.0950	165.0027	158.1485	169.3962	156.9012	169.1025	157.2097	154.2354	
90.0	6.0	173.8500	149.2867	150.0950	176.4948	158.1485	174.8346	156.9012	207.0061	166.2999	154.2354	
100.0	6.0	192.6700	149.2867	150.0950	179.9929	158.1485	175.9139	156.9012	235.1146	175.3902	154.2354	
50.0	7.0	117.9300	137.5933	138.5100	138.0427	149.1967	163.1794	148.1339	126.0736	124.7870	143.3691	
60.0	7.0	117.2900	137.5933	138.5100	137.7872	149.1967	140.9041	148.1339	128.1508	133.8772	143.3691	
70.0	7.0	138.5100	137.5933	138.5100	144.9944	149.1967	134.8781	148.1339	134.6882	142.9675	143.3691	
80.0	7.0	135.8200	149.2867	138.5100	157.6035	158.1485	140.9041	148.1339	152.4772	152.0577	143.3691	
90.0	7.0	149.7100	149.2867	138.5100	169.1728	158.1485	163.1794	148.1339	186.4196	161.1479	143.3691	
100.0	7.0	161.0500	149.2867	138.5100	174.0031	158.1485	175.2268	148.1339	222.1398	170.2381	143.3691	
50.0	8.0	99.2300	121.2550	125.8567	136.1424	149.1967	136.0788	148.1339	125.6449	119.6350	132.5028	
60.0	8.0	113.7900	121.2550	125.8567	134.2664	149.1967	126.8780	148.1339	126.7396	128.7252	132.5028	
70.0	8.0	116.4900	121.2550	125.8567	139.6380	149.1967	125.9060	148.1339	130.3001	137.8154	132.5028	
80.0	8.0	128.2900	149.2867	125.8567	150.8971	158.1485	126.8780	148.1339	140.9700	146.9056	132.5028	
90.0	8.0	143.9600	149.2867	125.8567	162.2740	158.1485	136.0788	148.1339	166.4363	155.9959	132.5028	
100.0	8.0	150.0800	149.2867	125.8567	168.1950	158.1485	169.1083	148.1339	204.1878	165.0861	132.5028	
50.0	9.0	117.2500	121.2550	125.8567	135.0462	149.1967	126.5889	148.1339	125.4211	114.4829	121.6366	
60.0	9.0	126.0200	121.2550	125.8567	131.8471	149.1967	125.0305	148.1339	125.9941	123.5732	121.6366	
70.0	9.0	126.8500	121.2550	125.8567	135.5233	149.1967	124.8948	148.1339	127.8906	132.6634	121.6366	
80.0	9.0	132.9400	149.2867	125.8567	145.3453	158.1485	125.0305	148.1339	133.8957	141.7536	121.6366	
90.0	9.0	146.7000	149.2867	125.8567	156.2635	158.1485	126.5889	148.1339	150.5179	150.8438	121.6366	
100.0	9.0	157.0200	149.2867	125.8567	162.9538	158.1485	148.3248	148.1339	183.4259	159.9340	121.6366	
50.0	10.0	108.3300	121.2550	125.8567	134.8108	149.1967	125.0884	148.1339	125.3045	109.3309	110.7703	
60.0	10.0	113.7300	121.2550	125.8567	130.6576	149.1967	124.7917	148.1339	125.6033	118.4211	110.7703	
70.0	10.0	129.2100	121.2550	125.8567	132.8696	149.1967	124.7666	148.1339	126.6016	127.5113	110.7703	
80.0	10.0	135.0600	149.2867	125.8567	141.2437	158.1485	124.7917	148.1339	129.8589	136.6015	110.7703	
90.0	10.0	141.0700	149.2867	125.8567	151.4602	158.1485	125.0884	148.1339	139.7180	145.6918	110.7703	
100.0	10.0	155.8600	149.2867	125.8567	158.5567	158.1485	131.6856	148.1339	163.8579	154.7820	110.7703	


# Created: Sat Aug 02 18:50:43 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	sampling-rate:	0.2
#	input:	input/pagerank-2dim.csv
#	output:	results/pagerank-2dim/out.csv
#	metrics-output:	results/pagerank-2dim/metrics.csv
#
# Points picked
# 	(50.0, 2.0)
# 	(100.0, 2.0)
# 	(50.0, 10.0)
# 	(100.0, 10.0)
# 	(100.0, 7.0)
# 	(100.0, 3.0)
# 	(100.0, 5.0)
# 	(100.0, 8.0)
# 	(100.0, 6.0)
# 	(100.0, 9.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
50.0	2.0	150.3600	178.4220	219.2433	168.5003	199.1519	220.2037	183.5432	150.8564	197.0061	225.1784	
60.0	2.0	179.3700	178.4220	219.2433	178.0518	199.1519	220.1634	183.5432	165.8884	203.8918	225.1784	
70.0	2.0	203.1300	178.4220	219.2433	190.2168	199.1519	220.1021	183.5432	187.3543	210.7775	225.1784	
80.0	2.0	227.5400	178.4220	219.2433	202.8860	211.0920	220.0268	189.6778	214.8537	217.6633	225.1784	
90.0	2.0	251.3500	178.4220	219.2433	213.6066	211.0920	219.9558	189.6778	245.5692	224.5490	225.1784	
100.0	2.0	282.3600	178.4220	219.2433	220.3459	211.0920	219.9131	189.6778	275.0403	231.4348	225.1784	
50.0	3.0	132.0700	178.4220	219.2433	164.0713	199.1519	219.8313	183.5432	142.6583	185.9216	214.0459	
60.0	3.0	152.0000	178.4220	219.2433	172.9649	199.1519	219.3993	183.5432	153.3042	192.8073	214.0459	
70.0	3.0	164.2000	178.4220	219.2433	184.6048	199.1519	218.7539	183.5432	169.5211	199.6930	214.0459	
80.0	3.0	185.0500	178.4220	219.2433	196.9474	211.0920	217.9779	189.6778	192.2544	206.5788	214.0459	
90.0	3.0	206.4400	178.4220	219.2433	207.6030	211.0920	217.2643	189.6778	220.6708	213.4645	214.0459	
100.0	3.0	225.0100	178.4220	219.2433	214.5803	211.0920	216.8426	189.6778	251.5088	220.3502	214.0459	
50.0	4.0	136.5900	178.4220	201.4800	159.1907	183.5513	170.8238	183.5432	137.0802	174.8370	202.9134	
60.0	4.0	151.4200	178.4220	201.4800	167.0858	183.5513	166.2109	183.5432	144.3543	181.7228	202.9134	
70.0	4.0	182.1800	178.4220	201.4800	177.8163	183.5513	164.0498	183.5432	155.9620	188.6085	202.9134	
80.0	4.0	201.1600	178.4220	201.4800	189.4666	195.4914	163.0260	189.6778	173.4031	195.4943	202.9134	
90.0	4.0	210.9400	178.4220	201.4800	199.7813	195.4914	162.5429	189.6778	197.3752	202.3800	202.9134	
100.0	4.0	212.2000	178.4220	201.4800	206.8668	195.4914	162.3506	189.6778	226.5830	209.2657	202.9134	
50.0	5.0	110.7600	178.4220	201.4800	154.1518	183.5513	161.0375	183.5432	133.3723	163.7525	191.7810	
60.0	5.0	128.2500	178.4220	201.4800	160.7915	183.5513	161.0373	183.5432	138.2214	170.6383	191.7810	
70.0	5.0	137.9100	178.4220	201.4800	170.3112	183.5513	161.0373	183.5432	146.2120	177.5240	191.7810	
80.0	5.0	155.0100	178.4220	201.4800	180.9738	195.4914	161.0373	189.6778	158.8401	184.4098	191.7810	
90.0	5.0	171.6000	178.4220	201.4800	190.7150	195.4914	161.0373	189.6778	177.5356	191.2955	191.7810	
100.0	5.0	201.4800	178.4220	201.4800	197.7858	195.4914	161.0373	189.6778	202.6999	198.1812	191.7810	
50.0	6.0	131.5700	178.4220	192.6700	149.3081	183.5513	161.0372	177.4797	130.9457	152.6680	180.6485	
60.0	6.0	139.2100	178.4220	192.6700	154.5434	183.5513	161.0372	177.4797	134.1253	159.5538	180.6485	
70.0	6.0	137.2200	178.4220	192.6700	162.6601	183.5513	161.0372	177.4797	139.4791	166.4395	180.6485	
80.0	6.0	160.9800	178.4220	192.6700	172.1329	195.4914	161.0372	183.6144	148.2432	173.3252	180.6485	
90.0	6.0	173.8500	178.4220	192.6700	181.1280	195.4914	161.0372	183.6144	161.9482	180.2110	180.6485	
100.0	6.0	192.6700	178.4220	192.6700	188.0735	195.4914	161.0372	183.6144	181.9171	187.0967	180.6485	
50.0	7.0	117.9300	178.4220	161.0500	145.0337	156.8872	161.0372	164.6981	129.3738	141.5835	169.5160	
60.0	7.0	117.2900	178.4220	161.0500	148.8326	156.8872	161.0372	164.6981	131.4361	148.4693	169.5160	
70.0	7.0	138.5100	178.4220	161.0500	155.4728	156.8872	161.0372	164.6981	134.9584	155.3550	169.5160	
80.0	7.0	135.8200	178.4220	161.0500	163.6564	173.5803	161.0372	170.8328	140.8633	162.2407	169.5160	
90.0	7.0	149.7100	178.4220	161.0500	171.7989	173.5803	161.0372	170.8328	150.4596	169.1265	169.5160	
100.0	7.0	161.0500	178.4220	161.0500	178.5230	173.5803	161.0372	170.8328	165.2942	176.0122	169.5160	
50.0	8.0	99.2300	178.4220	153.5500	141.6758	151.3255	161.0372	164.6981	128.3622	130.4990	158.3836	
60.0	8.0	113.7900	178.4220	153.5500	144.1168	151.3255	161.0372	164.6981	129.6904	137.3848	158.3836	
70.0	8.0	116.4900	178.4220	153.5500	149.3192	151.3255	161.0372	164.6981	131.9801	144.2705	158.3836	
80.0	8.0	128.2900	178.4220	153.5500	156.2109	168.0185	161.0372	170.8328	135.8794	151.1562	158.3836	
90.0	8.0	143.9600	178.4220	153.5500	163.4574	168.0185	161.0372	170.8328	142.3846	158.0420	158.3836	
100.0	8.0	150.0800	178.4220	153.5500	169.8782	168.0185	161.0372	170.8328	152.8727	164.9277	158.3836	
50.0	9.0	117.2500	178.4220	153.5500	139.5086	151.3255	161.0372	164.6981	127.7141	119.4145	147.2511	
60.0	9.0	126.0200	178.4220	153.5500	140.7595	151.3255	161.0372	164.6981	128.5656	126.3002	147.2511	
70.0	9.0	126.8500	178.4220	153.5500	144.6546	151.3255	161.0372	164.6981	130.0423	133.1860	147.2511	
80.0	9.0	132.9400	178.4220	153.5500	150.3313	168.0185	161.0372	170.8328	132.5832	140.0717	147.2511	
90.0	9.0	146.7000	178.4220	153.5500	156.6905	168.0185	161.0372	170.8328	136.8967	146.9575	147.2511	
100.0	9.0	157.0200	178.4220	153.5500	162.7391	168.0185	161.0372	170.8328	144.0543	153.8432	147.2511	
