# Created: Sat Aug 02 14:49:58 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.05
#	output:	results/pagerank/values-0.05.csv
#	metrics-output:	results/pagerank/metrics-0.05.csv
#
# Points picked
# 	(1.0, 60.0, 9.0)
# 	(1.0, 80.0, 4.0)
# 	(4.0, 60.0, 2.0)
# 	(2.0, 80.0, 2.0)
# 	(2.0, 50.0, 2.0)
# 	(4.0, 100.0, 10.0)
# 	(1.0, 70.0, 3.0)
# 	(4.0, 100.0, 6.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	150.3600	163.7933	163.7933	140.0284	148.7330	140.3450	133.7939	125.1477	125.3415	160.6778	
1.0	60.0	2.0	179.3700	163.7933	163.7933	146.9522	148.7330	140.3441	133.7939	138.0488	123.7736	160.6778	
1.0	70.0	2.0	203.1300	163.7933	163.7933	152.7977	155.0782	140.3398	133.7939	164.4272	122.2057	160.6778	
1.0	80.0	2.0	227.5400	163.7933	163.7933	156.2142	155.0782	140.3172	133.7939	203.0427	120.6378	160.6778	
1.0	90.0	2.0	251.3500	163.7933	163.7933	156.4675	151.5315	140.1405	128.3708	239.3029	119.0699	160.6778	
1.0	100.0	2.0	282.3600	163.7933	163.7933	153.6969	151.5315	138.0140	128.3708	260.6897	117.5020	160.6778	
2.0	50.0	2.0	113.7000	128.7050	128.7050	128.7482	119.1269	140.3416	127.8036	114.0302	114.2110	135.7149	
2.0	60.0	2.0	117.9800	128.7050	128.7050	133.9722	119.1269	140.3392	127.8036	116.0181	112.6431	135.7149	
2.0	70.0	2.0	128.7800	128.7050	128.7050	138.7595	125.4721	140.3279	127.8036	123.8861	111.0752	135.7149	
2.0	80.0	2.0	143.7100	128.7050	128.7050	141.9353	125.4721	140.2685	127.8036	143.3877	109.5073	135.7149	
2.0	90.0	2.0	151.9700	128.7050	128.7050	142.8060	121.9255	139.8063	122.3804	176.8572	107.9394	135.7149	
2.0	100.0	2.0	177.4600	128.7050	128.7050	141.4056	121.9255	134.6000	122.3804	213.5477	106.3715	135.7149	
4.0	50.0	2.0	87.2100	87.3467	87.3467	107.4250	107.4268	140.2295	121.5625	96.1283	91.9498	85.7889	
4.0	60.0	2.0	90.6800	87.3467	87.3467	107.0716	107.4268	140.1790	121.5625	91.0751	90.3819	85.7889	
4.0	70.0	2.0	98.3400	87.3467	87.3467	107.5537	113.7720	139.9417	121.5625	86.2899	88.8140	85.7889	
4.0	80.0	2.0	97.9500	87.3467	87.3467	108.5640	113.7720	138.7222	121.5625	83.0461	87.2462	85.7889	
4.0	90.0	2.0	110.3900	87.3467	87.3467	109.8429	110.2254	130.7537	116.1393	83.9750	85.6783	85.7889	
4.0	100.0	2.0	119.2800	87.3467	87.3467	111.2837	110.2254	101.1604	116.1393	93.9690	84.1104	85.7889	
1.0	50.0	3.0	132.0700	163.7933	163.7933	140.5434	148.7330	140.3402	133.7939	124.3656	125.6138	160.6778	
1.0	60.0	3.0	152.0000	163.7933	163.7933	147.5747	148.7330	140.3372	133.7939	137.4161	124.0459	160.6778	
1.0	70.0	3.0	164.2000	163.7933	163.7933	153.4650	155.0782	140.3232	133.7939	164.0582	122.4780	160.6778	
1.0	80.0	3.0	185.0500	163.7933	163.7933	156.8418	155.0782	140.2493	133.7939	202.4656	120.9101	160.6778	
1.0	90.0	3.0	206.4400	163.7933	163.7933	156.9739	151.5315	139.6756	128.3708	237.6767	119.3422	160.6778	
1.0	100.0	3.0	225.0100	163.7933	163.7933	154.0289	151.5315	133.3721	128.3708	257.8034	117.7743	160.6778	
2.0	50.0	3.0	91.3500	128.7050	128.7050	128.9801	119.1269	140.3289	127.8036	112.1062	114.4832	135.7149	
2.0	60.0	3.0	96.8200	128.7050	128.7050	134.1501	119.1269	140.3211	127.8036	113.7709	112.9153	135.7149	
2.0	70.0	3.0	113.2000	128.7050	128.7050	138.8077	125.4721	140.2842	127.8036	121.5116	111.3474	135.7149	
2.0	80.0	3.0	115.1400	128.7050	128.7050	141.7859	125.4721	140.0903	127.8036	141.1644	109.7795	135.7149	
2.0	90.0	3.0	130.7800	128.7050	128.7050	142.4255	121.9255	138.6129	122.3804	174.7010	108.2116	135.7149	
2.0	100.0	3.0	126.7400	128.7050	128.7050	140.8117	121.9255	125.1299	122.3804	210.8330	106.6437	135.7149	
4.0	50.0	3.0	78.1700	87.3467	87.3467	106.9287	107.4268	139.9632	121.5625	91.9885	92.2221	85.7889	
4.0	60.0	3.0	87.1600	87.3467	87.3467	106.2017	107.4268	139.7997	121.5625	86.6458	90.6542	85.7889	
4.0	70.0	3.0	100.1000	87.3467	87.3467	106.2364	113.7720	139.0399	121.5625	81.8170	89.0863	85.7889	
4.0	80.0	3.0	101.9300	87.3467	87.3467	106.7920	113.7720	135.3558	121.5625	78.8358	87.5184	85.7889	
4.0	90.0	3.0	115.8700	87.3467	87.3467	107.6957	110.2254	117.8441	116.1393	80.3922	85.9505	85.7889	
4.0	100.0	3.0	122.7800	87.3467	87.3467	108.9215	110.2254	91.4001	116.1393	91.4276	84.3826	85.7889	
1.0	50.0	4.0	136.5900	163.7933	163.7933	140.3958	148.7330	140.3264	133.7939	123.3155	125.8860	160.6778	
1.0	60.0	4.0	151.4200	163.7933	163.7933	147.2895	148.7330	140.3175	133.7939	136.4682	124.3181	160.6778	
1.0	70.0	4.0	182.1800	163.7933	163.7933	153.0261	155.0782	140.2756	133.7939	163.3183	122.7502	160.6778	
1.0	80.0	4.0	201.1600	163.7933	163.7933	156.2557	155.0782	140.0550	133.7939	201.4488	121.1823	160.6778	
1.0	90.0	4.0	210.9400	163.7933	163.7933	156.2729	151.5315	138.3814	128.3708	235.5895	119.6144	160.6778	
1.0	100.0	4.0	212.2000	163.7933	163.7933	153.2668	151.5315	123.6631	128.3708	254.5226	118.0465	160.6778	
2.0	50.0	4.0	87.2400	128.7050	128.7050	128.8707	119.1269	140.2927	127.8036	109.7882	114.7555	135.7149	
2.0	60.0	4.0	92.2600	128.7050	128.7050	133.7789	119.1269	140.2693	127.8036	111.1045	113.1876	135.7149	
2.0	70.0	4.0	98.0500	128.7050	128.7050	138.1239	125.4721	140.1590	127.8036	118.7371	111.6197	135.7149	
2.0	80.0	4.0	106.8900	128.7050	128.7050	140.7884	125.4721	139.5842	127.8036	138.6072	110.0518	135.7149	
2.0	90.0	4.0	116.4300	128.7050	128.7050	141.1717	121.9255	135.4550	122.3804	172.3031	108.4839	135.7149	
2.0	100.0	4.0	122.1400	128.7050	128.7050	139.4097	121.9255	110.9724	122.3804	208.0049	106.9160	135.7149	
4.0	50.0	4.0	66.9600	87.3467	87.3467	106.7876	107.4268	139.2118	121.5625	87.5948	92.4943	85.7889	
4.0	60.0	4.0	83.3200	87.3467	87.3467	105.6351	107.4268	138.7375	121.5625	82.1273	90.9264	85.7889	
4.0	70.0	4.0	74.3100	87.3467	87.3467	105.1480	113.7720	136.6051	121.5625	77.4392	89.3586	85.7889	
4.0	80.0	4.0	83.1300	87.3467	87.3467	105.1706	113.7720	127.6789	121.5625	74.8892	87.7907	85.7889	
4.0	90.0	4.0	87.0900	87.3467	87.3467	105.6339	110.2254	103.2384	116.1393	77.1998	86.2228	85.7889	
4.0	100.0	4.0	95.7400	87.3467	87.3467	106.6020	110.2254	87.5542	116.1393	89.3475	84.6549	85.7889	
1.0	50.0	5.0	110.7600	163.7933	163.7933	139.5647	148.7330	140.2904	133.7939	121.9508	126.1583	160.6778	
1.0	60.0	5.0	128.2500	163.7933	163.7933	146.0829	148.7330	140.2661	133.7939	135.1626	124.5904	160.6778	
1.0	70.0	5.0	137.9100	163.7933	163.7933	151.4780	155.0782	140.1513	133.7939	162.1786	123.0225	160.6778	
1.0	80.0	5.0	155.0100	163.7933	163.7933	154.4654	155.0782	139.5532	133.7939	199.9909	121.4546	160.6778	
1.0	90.0	5.0	171.6000	163.7933	163.7933	154.3856	151.5315	135.2722	128.3708	233.0821	119.8867	160.6778	
1.0	100.0	5.0	201.4800	163.7933	163.7933	151.4408	151.5315	110.4215	128.3708	250.9352	118.3188	160.6778	
2.0	50.0	5.0	100.0400	128.7050	128.7050	128.3917	119.1269	140.1981	127.8036	107.0479	115.0277	135.7149	
2.0	60.0	5.0	101.2700	128.7050	128.7050	132.8461	119.1269	140.1342	127.8036	108.0194	113.4598	135.7149	
2.0	70.0	5.0	109.5000	128.7050	128.7050	136.7175	125.4721	139.8344	127.8036	115.6037	111.8919	135.7149	
2.0	80.0	5.0	117.3000	128.7050	128.7050	138.9762	125.4721	138.3041	127.8036	135.8024	110.3240	135.7149	
2.0	90.0	5.0	126.7800	128.7050	128.7050	139.1003	121.9255	128.7318	122.3804	169.7857	108.7561	135.7149	
2.0	100.0	5.0	134.8100	128.7050	128.7050	137.2711	121.9255	98.6366	122.3804	205.2029	107.1882	135.7149	
4.0	50.0	5.0	66.8200	87.3467	87.3467	106.9811	107.4268	137.3417	121.5625	83.0706	92.7666	85.7889	
4.0	60.0	5.0	65.9200	87.3467	87.3467	105.3786	107.4268	136.1470	121.5625	77.6602	91.1987	85.7889	
4.0	70.0	5.0	74.8100	87.3467	87.3467	104.3315	113.7720	131.1726	121.5625	73.2859	89.6308	85.7889	
4.0	80.0	5.0	71.3700	87.3467	87.3467	103.7818	113.7720	115.5602	121.5625	71.3014	88.0629	85.7889	
4.0	90.0	5.0	83.7000	87.3467	87.3467	103.7736	110.2254	93.5916	116.1393	74.4476	86.4950	85.7889	
4.0	100.0	5.0	89.5600	87.3467	87.3467	104.4635	110.2254	86.2019	116.1393	87.7359	84.9271	85.7889	
1.0	50.0	6.0	131.5700	163.7933	163.7933	138.1100	148.7330	140.2052	133.7939	120.2275	126.4305	160.6778	
1.0	60.0	6.0	139.2100	163.7933	163.7933	144.0454	148.7330	140.1444	133.7939	133.4675	124.8626	160.6778	
1.0	70.0	6.0	137.2200	163.7933	163.7933	148.9395	155.0782	139.8587	133.7939	160.6308	123.2947	160.6778	
1.0	80.0	6.0	160.9800	163.7933	163.7933	151.6099	155.0782	138.3982	133.7939	198.1211	121.7268	160.6778	
1.0	90.0	6.0	173.8500	163.7933	163.7933	151.4597	151.5315	129.1737	128.3708	230.2314	120.1589	160.6778	
1.0	100.0	6.0	192.6700	163.7933	163.7933	148.6941	151.5315	99.1347	128.3708	247.1595	118.5910	160.6778	
2.0	50.0	6.0	96.7900	128.7050	128.7050	127.5697	119.1269	139.9749	127.8036	103.8781	115.3000	135.7149	
2.0	60.0	6.0	106.1100	128.7050	128.7050	131.4142	119.1269	139.8162	127.8036	104.5466	113.7321	135.7149	
2.0	70.0	6.0	102.9600	128.7050	128.7050	134.6891	125.4721	139.0789	127.8036	112.1882	112.1642	135.7149	
2.0	80.0	6.0	107.9900	128.7050	128.7050	136.4829	125.4721	135.4947	127.8036	132.8665	110.5963	135.7149	
2.0	90.0	6.0	116.1100	128.7050	128.7050	136.3661	121.9255	118.2549	122.3804	167.2861	109.0284	135.7149	
2.0	100.0	6.0	114.3800	128.7050	128.7050	134.5570	121.9255	91.5680	122.3804	202.5598	107.4605	135.7149	
4.0	50.0	6.0	68.6800	87.3467	87.3467	107.4771	107.4268	133.3828	121.5625	78.5546	93.0388	85.7889	
4.0	60.0	6.0	74.4500	87.3467	87.3467	105.4335	107.4268	130.9007	121.5625	73.3789	91.4710	85.7889	
