# Created: Sat Aug 02 14:50:02 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.075
#	output:	results/pagerank/values-0.075.csv
#	metrics-output:	results/pagerank/metrics-0.075.csv
#
# Points picked
# 	(2.0, 60.0, 10.0)
# 	(1.0, 50.0, 8.0)
# 	(2.0, 70.0, 8.0)
# 	(4.0, 100.0, 5.0)
# 	(2.0, 80.0, 5.0)
# 	(2.0, 50.0, 7.0)
# 	(1.0, 90.0, 5.0)
# 	(1.0, 90.0, 4.0)
# 	(1.0, 70.0, 2.0)
# 	(2.0, 50.0, 9.0)
# 	(1.0, 90.0, 3.0)
# 	(2.0, 90.0, 6.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	150.3600	206.8367	206.8367	148.7784	158.4239	159.3089	164.6722	180.8083	106.7703	200.7736	
1.0	60.0	2.0	179.3700	206.8367	206.8367	159.8043	158.4239	159.3113	164.6722	195.3261	122.2488	200.7736	
1.0	70.0	2.0	203.1300	206.8367	206.8367	170.1606	158.4239	159.3114	164.6722	208.7889	137.7272	200.7736	
1.0	80.0	2.0	227.5400	206.8367	206.8367	177.7289	158.4239	159.3114	164.6722	218.4280	153.2056	200.7736	
1.0	90.0	2.0	251.3500	206.8367	206.8367	180.9520	169.8984	159.3114	164.6722	223.6347	168.6840	200.7736	
1.0	100.0	2.0	282.3600	206.8367	206.8367	179.3527	169.8984	159.3114	164.6722	225.2637	184.1625	200.7736	
2.0	50.0	2.0	113.7000	79.8700	206.8367	135.8030	146.8444	159.2982	131.2202	151.4132	75.8189	200.7736	
2.0	60.0	2.0	117.9800	79.8700	206.8367	143.9011	146.8444	159.3111	131.2202	160.6274	91.2973	200.7736	
2.0	70.0	2.0	128.7800	108.4538	206.8367	151.8992	150.4161	159.3114	133.9577	171.2892	106.7757	200.7736	
2.0	80.0	2.0	143.7100	108.4538	206.8367	158.1102	150.4161	159.3114	133.9577	180.0184	122.2542	200.7736	
2.0	90.0	2.0	151.9700	108.4538	206.8367	161.2601	161.8906	159.3114	133.9577	184.4344	137.7326	200.7736	
2.0	100.0	2.0	177.4600	108.4538	206.8367	160.9106	161.8906	159.3114	133.9577	184.3800	153.2110	200.7736	
4.0	50.0	2.0	87.2100	79.8700	206.8367	117.2255	146.8444	159.3114	131.2202	44.8335	13.9160	200.7736	
4.0	60.0	2.0	90.6800	79.8700	206.8367	117.4486	146.8444	159.3114	131.2202	48.1229	29.3944	200.7736	
4.0	70.0	2.0	98.3400	108.4538	206.8367	118.1339	150.4161	159.3114	133.9577	55.9810	44.8729	200.7736	
4.0	80.0	2.0	97.9500	108.4538	206.8367	119.0078	150.4161	159.3114	133.9577	67.9963	60.3513	200.7736	
4.0	90.0	2.0	110.3900	108.4538	206.8367	119.8841	161.8906	159.3114	133.9577	81.5695	75.8297	200.7736	
4.0	100.0	2.0	119.2800	108.4538	206.8367	120.7276	161.8906	159.3114	133.9577	93.2761	91.3081	200.7736	
1.0	50.0	3.0	132.0700	206.8367	206.8367	142.9942	158.4239	159.0716	164.6722	179.5741	106.3943	183.0787	
1.0	60.0	3.0	152.0000	206.8367	206.8367	154.0249	158.4239	159.3069	164.6722	193.0726	121.8727	183.0787	
1.0	70.0	3.0	164.2000	206.8367	206.8367	164.8046	158.4239	159.3113	164.6722	204.3967	137.3511	183.0787	
1.0	80.0	3.0	185.0500	206.8367	206.8367	173.1219	158.4239	159.3114	164.6722	211.3216	152.8296	183.0787	
1.0	90.0	3.0	206.4400	206.8367	206.8367	177.2701	169.8984	159.3114	164.6722	213.7828	168.3080	183.0787	
1.0	100.0	3.0	225.0100	206.8367	206.8367	176.6152	169.8984	159.3114	164.6722	212.8227	183.7864	183.0787	
2.0	50.0	3.0	91.3500	79.8700	206.8367	129.1864	146.8444	158.0524	131.2202	136.6614	75.4429	183.0787	
2.0	60.0	3.0	96.8200	79.8700	206.8367	137.1375	146.8444	159.2876	131.2202	144.6653	90.9213	183.0787	
2.0	70.0	3.0	113.2000	108.4538	206.8367	145.4412	150.4161	159.3110	133.9577	153.4199	106.3997	183.0787	
2.0	80.0	3.0	115.1400	108.4538	206.8367	152.3370	150.4161	159.3114	133.9577	159.6867	121.8781	183.0787	
2.0	90.0	3.0	130.7800	108.4538	206.8367	156.4152	161.8906	159.3114	133.9577	161.8069	137.3566	183.0787	
2.0	100.0	3.0	126.7400	108.4538	206.8367	157.0835	161.8906	159.3114	133.9577	160.2086	152.8350	183.0787	
4.0	50.0	3.0	78.1700	79.8700	206.8367	112.6423	146.8444	159.3114	131.2202	35.7124	13.5400	183.0787	
4.0	60.0	3.0	87.1600	79.8700	206.8367	112.5439	146.8444	159.3114	131.2202	41.7393	29.0184	183.0787	
4.0	70.0	3.0	100.1000	108.4538	206.8367	113.1777	150.4161	159.3114	133.9577	52.2292	44.4968	183.0787	
4.0	80.0	3.0	101.9300	108.4538	206.8367	114.2662	150.4161	159.3114	133.9577	66.1810	59.9752	183.0787	
4.0	90.0	3.0	115.8700	108.4538	206.8367	115.5813	161.8906	159.3114	133.9577	80.5347	75.4537	183.0787	
4.0	100.0	3.0	122.7800	108.4538	206.8367	117.0212	161.8906	159.3114	133.9577	92.1292	90.9321	183.0787	
1.0	50.0	4.0	136.5900	206.8367	206.8367	135.9850	158.4239	145.9201	164.6722	173.7100	106.0183	165.3839	
1.0	60.0	4.0	151.4200	206.8367	206.8367	146.6725	158.4239	159.0063	164.6722	185.2358	121.4967	165.3839	
1.0	70.0	4.0	182.1800	206.8367	206.8367	157.5917	158.4239	159.3070	164.6722	193.6072	136.9751	165.3839	
1.0	80.0	4.0	201.1600	206.8367	206.8367	166.4952	158.4239	159.3113	164.6722	197.2737	152.4535	165.3839	
1.0	90.0	4.0	210.9400	206.8367	206.8367	171.5615	169.8984	159.3114	164.6722	196.6926	167.9320	165.3839	
1.0	100.0	4.0	212.2000	206.8367	206.8367	171.9991	169.8984	159.3114	164.6722	193.0913	183.4104	165.3839	
2.0	50.0	4.0	87.2400	79.8700	206.8367	121.6863	146.8444	120.1717	131.2202	116.1336	75.0668	165.3839	
2.0	60.0	4.0	92.2600	79.8700	206.8367	129.2302	146.8444	157.7158	131.2202	123.8799	90.5452	165.3839	
2.0	70.0	4.0	98.0500	108.4538	206.8367	137.6297	150.4161	159.2883	133.9577	131.9782	106.0237	165.3839	
2.0	80.0	4.0	106.8900	108.4538	206.8367	145.0944	150.4161	159.3111	133.9577	137.4486	121.5021	165.3839	
2.0	90.0	4.0	116.4300	108.4538	206.8367	150.1035	161.8906	159.3114	133.9577	139.2459	136.9805	165.3839	
2.0	100.0	4.0	122.1400	108.4538	206.8367	151.9079	161.8906	159.3114	133.9577	138.1111	152.4589	165.3839	
4.0	50.0	4.0	66.9600	79.8700	206.8367	108.0136	146.8444	159.3111	131.2202	31.8049	13.1639	165.3839	
4.0	60.0	4.0	83.3200	79.8700	206.8367	107.5771	146.8444	159.3114	131.2202	39.9713	28.6424	165.3839	
4.0	70.0	4.0	74.3100	108.4538	206.8367	108.1577	150.4161	159.3114	133.9577	52.3958	44.1208	165.3839	
4.0	80.0	4.0	83.1300	108.4538	206.8367	109.4777	150.4161	159.3114	133.9577	67.4648	59.5992	165.3839	
4.0	90.0	4.0	87.0900	108.4538	206.8367	111.2642	161.8906	159.3114	133.9577	81.8350	75.0776	165.3839	
4.0	100.0	4.0	95.7400	108.4538	206.8367	113.3406	161.8906	159.3114	133.9577	92.7923	90.5561	165.3839	
1.0	50.0	5.0	110.7600	132.9975	126.1533	128.2893	141.1710	94.5760	145.3174	161.0907	105.6422	147.6890	
1.0	60.0	5.0	128.2500	132.9975	126.1533	138.3167	141.1710	147.0446	145.3174	170.0766	121.1206	147.6890	
1.0	70.0	5.0	137.9100	132.9975	126.1533	149.0860	141.1710	159.1025	148.8580	175.3636	136.5991	147.6890	
1.0	80.0	5.0	155.0100	132.9975	126.1533	158.3723	141.1710	159.3091	148.8580	176.1605	152.0775	147.6890	
1.0	90.0	5.0	171.6000	132.9975	126.1533	164.2817	152.6455	159.3113	148.8580	173.3878	167.5559	147.6890	
1.0	100.0	5.0	201.4800	132.9975	126.1533	165.8767	152.6455	159.3114	148.8580	168.3987	183.0343	147.6890	
2.0	50.0	5.0	100.0400	79.8700	126.1533	113.8777	124.3177	90.0318	109.0896	95.0797	74.6908	147.6890	
