# Created: Sat Aug 02 14:50:10 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.125
#	output:	results/pagerank/values-0.125.csv
#	metrics-output:	results/pagerank/metrics-0.125.csv
#
# Points picked
# 	(2.0, 60.0, 2.0)
# 	(1.0, 90.0, 2.0)
# 	(4.0, 50.0, 3.0)
# 	(2.0, 80.0, 3.0)
# 	(1.0, 50.0, 4.0)
# 	(4.0, 70.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(1.0, 70.0, 5.0)
# 	(4.0, 90.0, 5.0)
# 	(2.0, 60.0, 6.0)
# 	(1.0, 90.0, 6.0)
# 	(4.0, 50.0, 7.0)
# 	(2.0, 80.0, 7.0)
# 	(1.0, 50.0, 8.0)
# 	(4.0, 70.0, 8.0)
# 	(2.0, 100.0, 8.0)
# 	(1.0, 70.0, 9.0)
# 	(4.0, 90.0, 9.0)
# 	(2.0, 60.0, 10.0)
# 	(1.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	50.0	2.0	150.3600	132.3342	143.6923	145.3277	131.0021	153.0432	141.7744	152.4071	132.4335	127.8660	
1.0	60.0	2.0	179.3700	132.4600	143.6923	163.3698	132.3323	153.0432	141.7744	152.4071	142.6564	131.4300	
1.0	70.0	2.0	203.1300	132.5833	143.6923	186.7615	133.6625	153.0432	141.7744	152.4071	153.1879	131.4300	
1.0	80.0	2.0	227.5400	132.6998	143.6923	215.3135	134.9927	153.0432	148.1355	152.4071	161.9159	138.7960	
1.0	90.0	2.0	251.3500	132.8063	143.6923	247.6420	136.3229	153.0432	151.5494	152.4071	166.8856	138.7960	
1.0	100.0	2.0	282.3600	132.9008	143.6923	281.2410	137.6531	153.0432	151.5494	152.4071	167.0090	138.7960	
2.0	50.0	2.0	113.7000	128.9358	120.8537	106.2863	113.3344	118.4200	109.9233	107.7814	115.7133	115.3388	
2.0	60.0	2.0	117.9800	129.4853	120.8537	109.9671	114.6646	118.4200	109.9233	107.7814	122.7287	115.3388	
2.0	70.0	2.0	128.7800	130.0330	120.8537	115.0993	115.9948	118.4200	109.9233	107.7814	130.8822	115.3388	
2.0	80.0	2.0	143.7100	130.5593	120.8537	122.3384	117.3250	118.4200	109.9233	107.7814	138.5067	115.3388	
