# Created: Sat Aug 02 14:50:15 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.150
#	output:	results/pagerank/values-0.150.csv
#	metrics-output:	results/pagerank/metrics-0.150.csv
#
# Points picked
# 	(2.0, 70.0, 5.0)
# 	(1.0, 80.0, 7.0)
# 	(2.0, 100.0, 9.0)
# 	(4.0, 90.0, 2.0)
# 	(1.0, 60.0, 3.0)
# 	(2.0, 100.0, 4.0)
# 	(4.0, 80.0, 10.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 60.0, 8.0)
# 	(4.0, 100.0, 9.0)
# 	(2.0, 80.0, 6.0)
# 	(1.0, 100.0, 2.0)
# 	(1.0, 70.0, 9.0)
# 	(2.0, 80.0, 3.0)
# 	(2.0, 60.0, 6.0)
# 	(2.0, 70.0, 10.0)
# 	(4.0, 60.0, 10.0)
# 	(2.0, 90.0, 4.0)
# 	(1.0, 100.0, 5.0)
# 	(2.0, 60.0, 4.0)
# 	(2.0, 60.0, 8.0)
# 	(2.0, 50.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(4.0, 70.0, 6.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	150.3600	135.2488	161.4614	127.5092	161.9304	127.6925	125.1084	156.8573	114.5370	144.2072	
1.0	60.0	2.0	179.3700	135.2488	161.4614	137.7724	161.9304	127.6839	125.1084	175.8080	120.9446	144.2072	
1.0	70.0	2.0	203.1300	135.2488	161.4614	150.5250	161.9304	127.6751	125.1084	196.9619	127.3522	144.2072	
1.0	80.0	2.0	227.5400	135.2488	161.4614	163.9951	161.9304	127.6659	125.1084	220.3589	133.7597	144.2072	
1.0	90.0	2.0	251.3500	135.2488	161.4614	175.6651	161.9304	127.6563	130.9813	245.7469	140.1673	144.2072	
1.0	100.0	2.0	282.3600	241.9200	161.4614	183.0207	166.6257	127.6464	134.4449	272.5146	146.5749	144.2072	
2.0	50.0	2.0	113.7000	101.7420	103.7109	109.5035	116.3991	126.2304	109.6782	103.0327	100.1077	120.1809	
2.0	60.0	2.0	117.9800	101.7420	103.7109	116.3936	116.3991	126.1962	109.6782	109.8490	106.5153	120.1809	
2.0	70.0	2.0	128.7800	101.7420	103.7109	126.4723	116.3991	126.1607	109.6782	116.4431	112.9229	120.1809	
2.0	80.0	2.0	143.7100	117.9263	103.7109	138.3815	120.2307	126.1239	111.6351	122.9625	119.3305	120.1809	
2.0	90.0	2.0	151.9700	117.9263	103.7109	149.9001	120.2307	126.0857	117.5080	129.7168	125.7381	120.1809	
2.0	100.0	2.0	177.4600	117.9263	103.7109	158.6026	127.1206	126.0461	123.3682	137.1275	132.1457	120.1809	
4.0	50.0	2.0	87.2100	77.2043	82.1933	87.6617	110.8732	80.6015	104.9013	82.5326	71.2492	72.1283	
4.0	60.0	2.0	90.6800	77.2043	82.1933	88.0972	111.4475	80.6015	104.9013	88.4671	77.6568	72.1283	
4.0	70.0	2.0	98.3400	77.2043	82.1933	91.4219	111.4475	80.6015	104.9013	94.3897	84.0644	72.1283	
4.0	80.0	2.0	97.9500	117.9263	82.1933	97.1908	116.3701	80.6014	106.8582	99.9002	90.4720	72.1283	
4.0	90.0	2.0	110.3900	117.9263	82.1933	104.3179	116.3701	80.6014	112.7311	104.7058	96.8796	72.1283	
4.0	100.0	2.0	119.2800	117.9263	82.1933	111.4025	123.2599	80.6013	118.5913	108.6700	103.2871	72.1283	
1.0	50.0	3.0	132.0700	135.2488	161.4614	124.9451	147.6576	127.7551	125.1084	144.4937	112.8600	144.2072	
1.0	60.0	3.0	152.0000	135.2488	161.4614	134.8133	147.6576	127.7477	125.1084	161.3273	119.2676	144.2072	
1.0	70.0	3.0	164.2000	135.2488	161.4614	147.3209	147.6576	127.7400	125.1084	180.1966	125.6752	144.2072	
1.0	80.0	3.0	185.0500	135.2488	161.4614	160.7424	147.6576	127.7320	125.1084	201.3277	132.0827	144.2072	
1.0	90.0	3.0	206.4400	135.2488	161.4614	172.5725	147.6576	127.7237	130.9813	224.7471	138.4903	144.2072	
1.0	100.0	3.0	225.0100	241.9200	161.4614	180.2702	152.3530	127.7151	134.4449	250.1553	144.8979	144.2072	
2.0	50.0	3.0	91.3500	101.7420	103.7109	105.7744	99.8844	126.4824	109.6782	99.6754	98.4308	120.1809	
2.0	60.0	3.0	96.8200	101.7420	103.7109	112.1414	99.8844	126.4525	109.6782	106.3806	104.8383	120.1809	
2.0	70.0	3.0	113.2000	101.7420	103.7109	121.9220	99.8844	126.4215	109.6782	112.7937	111.2459	120.1809	
2.0	80.0	3.0	115.1400	117.9263	103.7109	133.8135	103.7160	126.3893	111.6351	118.9675	117.6535	120.1809	
2.0	90.0	3.0	130.7800	117.9263	103.7109	145.6007	103.7160	126.3559	117.5080	125.1303	124.0611	120.1809	
2.0	100.0	3.0	126.7400	117.9263	103.7109	154.8122	110.6058	126.3213	123.3682	131.6399	130.4687	120.1809	
4.0	50.0	3.0	78.1700	77.2043	82.1933	83.8064	90.0052	80.6018	104.9013	80.2465	69.5722	72.1283	
4.0	60.0	3.0	87.1600	77.2043	82.1933	83.7734	90.5795	80.6018	104.9013	86.0676	75.9798	72.1283	
4.0	70.0	3.0	100.1000	77.2043	82.1933	86.8737	90.5795	80.6018	104.9013	92.0439	82.3874	72.1283	
4.0	80.0	3.0	101.9300	117.9263	82.1933	92.7029	95.5021	80.6017	106.8582	97.7593	88.7950	72.1283	
4.0	90.0	3.0	115.8700	117.9263	82.1933	100.1641	95.5021	80.6017	112.7311	102.8684	95.2026	72.1283	
4.0	100.0	3.0	122.7800	117.9263	82.1933	107.7977	102.3919	80.6016	118.5913	107.1702	101.6101	72.1283	
1.0	50.0	4.0	136.5900	135.2488	161.4614	121.8355	147.6576	127.7874	125.1084	133.8826	111.1830	144.2072	
1.0	60.0	4.0	151.4200	135.2488	161.4614	131.0200	147.6576	127.7806	125.1084	148.8286	117.5906	144.2072	
1.0	70.0	4.0	182.1800	135.2488	161.4614	142.9364	147.6576	127.7735	125.1084	165.5447	123.9982	144.2072	
1.0	80.0	4.0	201.1600	135.2488	161.4614	155.9521	147.6576	127.7662	125.1084	184.3600	130.4058	144.2072	
1.0	90.0	4.0	210.9400	135.2488	161.4614	167.6405	147.6576	127.7585	130.9813	205.5123	136.8133	144.2072	
1.0	100.0	4.0	212.2000	241.9200	161.4614	175.5003	152.3530	127.7506	134.4449	228.9962	143.2209	144.2072	
2.0	50.0	4.0	87.2400	101.7420	103.7109	101.9473	99.8844	126.6133	109.6782	96.4935	96.7538	120.1809	
2.0	60.0	4.0	92.2600	101.7420	103.7109	107.5953	99.8844	126.5857	109.6782	103.1319	103.1613	120.1809	
2.0	70.0	4.0	98.0500	101.7420	103.7109	116.8105	99.8844	126.5570	109.6782	109.4601	109.5689	120.1809	
2.0	80.0	4.0	106.8900	117.9263	103.7109	128.3797	103.7160	126.5272	111.6351	115.4376	115.9765	120.1809	
2.0	90.0	4.0	116.4300	117.9263	103.7109	140.1501	103.7160	126.4963	117.5080	121.2078	122.3841	120.1809	
2.0	100.0	4.0	122.1400	117.9263	103.7109	149.6656	110.6058	126.4643	123.3682	127.0598	128.7917	120.1809	
4.0	50.0	4.0	66.9600	77.2043	82.1933	80.4881	90.0052	80.6021	104.9013	78.0482	67.8953	72.1283	
4.0	60.0	4.0	83.3200	77.2043	82.1933	79.9619	90.5795	80.6020	104.9013	83.6953	74.3028	72.1283	
4.0	70.0	4.0	74.3100	77.2043	82.1933	82.7502	90.5795	80.6020	104.9013	89.6582	80.7104	72.1283	
4.0	80.0	4.0	83.1300	117.9263	82.1933	88.5001	95.5021	80.6019	106.8582	95.5235	87.1180	72.1283	
4.0	90.0	4.0	87.0900	117.9263	82.1933	96.1299	95.5021	80.6019	112.7311	100.9052	93.5256	72.1283	
4.0	100.0	4.0	95.7400	117.9263	82.1933	104.1538	102.3919	80.6018	118.5913	105.5395	99.9332	72.1283	
1.0	50.0	5.0	110.7600	135.2488	161.4614	118.4056	147.6576	127.7957	125.1084	124.7895	109.5060	144.2072	
1.0	60.0	5.0	128.2500	135.2488	161.4614	126.6789	147.6576	127.7890	125.1084	138.1138	115.9136	144.2072	
1.0	70.0	5.0	137.9100	135.2488	161.4614	137.7150	147.6576	127.7821	125.1084	152.9061	122.3212	144.2072	
1.0	80.0	5.0	155.0100	135.2488	161.4614	150.0116	147.6576	127.7749	125.1084	169.5208	128.7288	144.2072	
1.0	90.0	5.0	171.6000	135.2488	161.4614	161.2782	147.6576	127.7674	130.9813	188.3245	135.1363	144.2072	
1.0	100.0	5.0	201.4800	241.9200	161.4614	169.1147	152.3530	127.7597	134.4449	209.5457	141.5439	144.2072	
2.0	50.0	5.0	100.0400	101.7420	103.7109	98.2919	97.9013	126.6470	109.6782	93.4533	95.0768	120.1809	
2.0	60.0	5.0	101.2700	101.7420	103.7109	103.0878	97.9013	126.6199	109.6782	100.0416	101.4843	120.1809	
2.0	70.0	5.0	109.5000	101.7420	103.7109	111.5249	97.9013	126.5918	109.6782	106.3484	107.8919	120.1809	
2.0	80.0	5.0	117.3000	117.9263	103.7109	122.5049	101.7329	126.5627	111.6351	112.2437	114.2995	120.1809	
2.0	90.0	5.0	126.7800	117.9263	103.7109	133.9860	101.7329	126.5324	117.5080	117.7842	120.7071	120.1809	
2.0	100.0	5.0	134.8100	117.9263	103.7109	143.5860	108.6228	126.5011	123.3682	123.1869	127.1147	120.1809	
4.0	50.0	5.0	66.8200	77.2043	82.1933	77.9338	90.0052	80.6021	104.9013	75.9563	66.2183	72.1283	
4.0	60.0	5.0	65.9200	77.2043	82.1933	76.9299	90.5795	80.6021	104.9013	81.3760	72.6258	72.1283	
4.0	70.0	5.0	74.8100	77.2043	82.1933	79.3475	90.5795	80.6020	104.9013	87.2587	79.0334	72.1283	
4.0	80.0	5.0	71.3700	117.9263	82.1933	84.8916	95.5021	80.6020	106.8582	93.2118	85.4410	72.1283	
4.0	90.0	5.0	83.7000	117.9263	82.1933	92.5191	95.5021	80.6019	112.7311	98.8247	91.8486	72.1283	
