# Created: Sat Aug 02 14:50:25 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.20
#	output:	results/pagerank/values-0.20.csv
#	metrics-output:	results/pagerank/metrics-0.20.csv
#
# Points picked
# 	(2.0, 60.0, 10.0)
# 	(2.0, 90.0, 9.0)
# 	(2.0, 90.0, 2.0)
# 	(2.0, 50.0, 9.0)
# 	(2.0, 60.0, 7.0)
# 	(2.0, 90.0, 8.0)
# 	(1.0, 100.0, 4.0)
# 	(2.0, 80.0, 5.0)
# 	(1.0, 80.0, 7.0)
# 	(2.0, 100.0, 2.0)
# 	(2.0, 50.0, 3.0)
# 	(1.0, 100.0, 9.0)
# 	(4.0, 90.0, 9.0)
# 	(1.0, 50.0, 9.0)
# 	(4.0, 60.0, 7.0)
# 	(1.0, 50.0, 2.0)
# 	(1.0, 90.0, 4.0)
# 	(2.0, 90.0, 6.0)
# 	(4.0, 50.0, 9.0)
# 	(4.0, 60.0, 6.0)
# 	(2.0, 100.0, 6.0)
# 	(1.0, 50.0, 8.0)
# 	(4.0, 100.0, 7.0)
# 	(4.0, 90.0, 6.0)
# 	(1.0, 50.0, 5.0)
# 	(1.0, 100.0, 5.0)
# 	(1.0, 70.0, 8.0)
# 	(1.0, 50.0, 4.0)
# 	(1.0, 90.0, 9.0)
# 	(1.0, 60.0, 6.0)
# 	(4.0, 80.0, 7.0)
# 	(2.0, 60.0, 8.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	150.3600	134.4488	148.7731	133.0491	133.5980	101.0538	150.0437	139.9148	131.9511	142.4820	
1.0	60.0	2.0	179.3700	134.4488	148.7731	143.3156	133.5980	101.0562	150.0437	157.1737	138.2302	142.4820	
1.0	70.0	2.0	203.1300	134.4488	148.7731	155.2446	138.3046	106.4331	150.0437	176.1245	144.5092	142.4820	
1.0	80.0	2.0	227.5400	134.4488	148.7731	166.9064	150.5463	135.8967	157.1459	195.9745	150.7882	142.4820	
1.0	90.0	2.0	251.3500	208.2067	148.7731	175.9941	155.0344	135.9352	157.1459	215.6050	157.0673	142.4820	
1.0	100.0	2.0	282.3600	208.2067	148.7731	180.5601	171.2930	135.9352	157.1459	233.8207	163.3463	142.4820	
2.0	50.0	2.0	113.7000	81.6207	110.1517	116.6438	107.6177	101.0538	134.8205	90.6885	114.7500	120.3746	
2.0	60.0	2.0	117.9800	81.6207	110.1517	124.2213	107.6177	101.0565	134.8205	101.7875	121.0291	120.3746	
2.0	70.0	2.0	128.7800	81.6207	110.1517	134.1568	112.2547	107.0969	134.8205	115.5275	127.3081	120.3746	
2.0	80.0	2.0	143.7100	163.5683	110.1517	144.8333	112.2547	135.9017	141.9227	131.5875	133.5871	120.3746	
2.0	90.0	2.0	151.9700	163.5683	110.1517	154.1458	114.2872	135.9352	141.9227	149.2119	139.8662	120.3746	
2.0	100.0	2.0	177.4600	163.5683	110.1517	160.1709	143.1209	135.9352	141.9227	167.3976	146.1452	120.3746	
4.0	50.0	2.0	87.2100	81.6207	82.0014	97.0480	102.5145	101.0538	131.2887	79.7724	80.3478	76.1597	
