# Created: Mon Aug 04 00:47:14 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	sampling-rate:	0.075
#	input:	input/sssp-2dim.csv
#	output:	results/sssp-2dim/out-0.075.csv
#	metrics-output:	results/sssp-2dim/metrics-0.075.csv
#	sampling-type:	gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
#	models:	gr.ntua.ece.cslab.panic.core.models.MLPerceptron
#
# Points picked
# 	(50.0, 2.0)
# 	(500.0, 2.0)
# 	(50.0, 10.0)
# 	(500.0, 10.0)
x2	x1	objective	MLPerceptron	
50.0	2.0	72.8500	93.1344	
100.0	2.0	104.1800	97.0350	
200.0	2.0	170.2600	118.2222	
300.0	2.0	231.1400	182.8848	
400.0	2.0	330.8200	312.4237	
500.0	2.0	433.1800	439.0945	
50.0	3.0	71.6800	92.3590	
100.0	3.0	102.3400	95.5456	
200.0	3.0	158.0300	113.0423	
300.0	3.0	203.2100	168.4818	
400.0	3.0	293.9300	289.7292	
500.0	3.0	335.7500	423.5499	
50.0	4.0	72.9200	91.7268	
100.0	4.0	101.4100	94.3275	
200.0	4.0	155.9400	108.7351	
300.0	4.0	198.1400	155.8587	
400.0	4.0	276.9600	267.4269	
500.0	4.0	315.4200	406.2182	
50.0	5.0	79.9700	91.2117	
100.0	5.0	104.8500	93.3326	
200.0	5.0	158.7500	105.1682	
300.0	5.0	191.3600	144.9270	
400.0	5.0	248.5100	245.9660	
500.0	5.0	309.6400	387.2082	
50.0	6.0	74.6700	90.7921	
100.0	6.0	104.7000	92.5207	
200.0	6.0	154.3600	102.2244	
300.0	6.0	188.2500	135.5577	
400.0	6.0	265.3300	225.7287	
500.0	6.0	307.3000	366.7281	
50.0	7.0	76.1100	90.4506	
100.0	7.0	102.0100	91.8586	
200.0	7.0	155.0600	99.8016	
300.0	7.0	183.8200	127.5986	
400.0	7.0	280.6700	207.0061	
500.0	7.0	296.9800	345.0866	
50.0	8.0	79.1400	90.1726	
100.0	8.0	106.0200	91.3190	
200.0	8.0	152.3900	97.8123	
300.0	8.0	188.4200	120.8883	
400.0	8.0	256.3300	189.9884	
500.0	8.0	306.6100	322.6798	
50.0	9.0	76.6900	89.9465	
100.0	9.0	140.8000	90.8795	
200.0	9.0	191.6800	96.1818	
300.0	9.0	233.6400	115.2667	
400.0	9.0	252.8800	174.7672	
500.0	9.0	309.4700	299.9656	
50.0	10.0	99.2900	89.7625	
100.0	10.0	119.4600	90.5217	
200.0	10.0	187.0900	94.8477	
300.0	10.0	242.3200	110.5824	
400.0	10.0	273.7800	161.3475	
500.0	10.0	276.9000	277.4276	


