# Created: Mon Aug 04 00:38:51 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.1
#	input:	input/sssp-2dim.csv
#	output:	results/sssp-2dim/out-0.1.csv
#	metrics-output:	results/sssp-2dim/metrics-0.1.csv
#
# Points picked
# 	(500.0, 3.0)
# 	(400.0, 5.0)
# 	(200.0, 8.0)
# 	(50.0, 4.0)
# 	(500.0, 10.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
50.0	2.0	72.8500	112.6550	72.9200	162.4554	225.3170	219.0548	217.2940	91.7840	92.6502	73.1863	
100.0	2.0	104.1800	112.6550	72.9200	169.7653	225.3170	219.0548	217.2940	110.6357	119.1323	98.9198	
200.0	2.0	170.2600	112.6550	152.3900	191.5403	225.3170	219.0548	217.2940	158.3343	172.0966	150.3869	
300.0	2.0	231.1400	287.0533	248.5100	218.8154	225.3170	219.0548	217.2940	216.8467	225.0608	201.8539	
400.0	2.0	330.8200	287.0533	248.5100	245.1030	225.3170	219.0548	217.2940	278.8617	278.0251	253.3209	
500.0	2.0	433.1800	287.0533	306.3250	264.3336	225.3170	219.0548	217.2940	335.1904	330.9893	304.7879	
50.0	3.0	71.6800	112.6550	72.9200	156.3711	225.3170	219.0548	217.2940	88.0592	86.7362	73.1863	
100.0	3.0	102.3400	112.6550	72.9200	163.9654	225.3170	219.0548	217.2940	106.1746	113.2183	98.9198	
200.0	3.0	158.0300	112.6550	152.3900	186.9429	225.3170	219.0548	217.2940	152.4358	166.1826	150.3869	
300.0	3.0	203.2100	287.0533	248.5100	216.0388	225.3170	219.0548	217.2940	210.0331	219.1468	201.8539	
400.0	3.0	293.9300	287.0533	248.5100	244.3247	225.3170	219.0548	217.2940	272.1226	272.1111	253.3209	
500.0	3.0	335.7500	287.0533	306.3250	265.2586	225.3170	219.0548	217.2940	329.4739	325.0753	304.7879	
50.0	4.0	72.9200	112.6550	72.9200	152.2750	225.3170	219.0548	217.2940	84.4910	80.8222	73.1863	
100.0	4.0	101.4100	112.6550	72.9200	159.8867	225.3170	219.0548	217.2940	101.8791	107.3043	98.9198	
200.0	4.0	155.9400	112.6550	152.3900	183.2932	225.3170	219.0548	217.2940	146.6818	160.2685	150.3869	
300.0	4.0	198.1400	287.0533	248.5100	213.2649	225.3170	219.0548	217.2940	203.2774	213.2328	201.8539	
400.0	4.0	276.9600	287.0533	248.5100	242.6573	225.3170	219.0548	217.2940	265.3225	266.1970	253.3209	
500.0	4.0	315.4200	287.0533	306.3250	264.6564	225.3170	219.0548	217.2940	323.6115	319.1613	304.7879	
50.0	5.0	79.9700	112.6550	72.9200	150.6316	225.3170	219.0540	217.2940	81.0763	74.9081	73.1863	
100.0	5.0	104.8500	112.6550	72.9200	158.0050	225.3170	219.0537	217.2940	97.7482	101.3903	98.9198	
200.0	5.0	158.7500	112.6550	152.3900	181.0538	225.3170	219.0530	217.2940	141.0777	154.3545	150.3869	
300.0	5.0	191.3600	287.0533	248.5100	210.8998	225.3170	219.0525	217.2940	196.5917	207.3188	201.8539	
400.0	5.0	248.5100	287.0533	248.5100	240.4222	225.3170	219.0523	217.2940	258.4740	260.2830	253.3209	
500.0	5.0	309.6400	287.0533	306.3250	262.7545	225.3170	219.0525	217.2940	317.6094	313.2473	304.7879	
50.0	6.0	74.6700	112.6550	72.9200	151.6376	225.3170	218.7986	217.2940	77.8117	68.9941	73.1863	
100.0	6.0	104.7000	112.6550	72.9200	158.5558	225.3170	218.7201	217.2940	93.7802	95.4762	98.9198	
200.0	6.0	154.3600	112.6550	152.3900	180.5312	225.3170	218.5555	217.2940	135.6283	148.4405	150.3869	
300.0	6.0	188.2500	287.0533	248.5100	209.2985	225.3170	218.4255	217.2940	189.9879	201.4047	201.8539	
400.0	6.0	265.3300	287.0533	248.5100	237.9897	225.3170	218.3756	217.2940	251.5902	254.3690	253.3209	
500.0	6.0	307.3000	287.0533	306.3250	259.9039	225.3170	218.4237	217.2940	311.4747	307.3332	304.7879	
50.0	7.0	76.1100	112.6550	72.9200	155.1846	225.3170	214.7872	217.2940	74.6934	63.0801	73.1863	
100.0	7.0	102.0100	112.6550	72.9200	161.4887	225.3170	214.7548	217.2940	89.9729	89.5622	98.9198	
200.0	7.0	155.0600	112.6550	152.3900	181.8118	225.3170	214.7194	217.2940	130.3375	142.5264	150.3869	
300.0	7.0	183.8200	287.0533	248.5100	208.6863	225.3170	214.7043	217.2940	183.4771	195.4907	201.8539	
