# Created: Sat Aug 02 18:50:46 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.2
#	input:	input/sssp-2dim.csv
#	output:	results/sssp-2dim/out.csv
#	metrics-output:	results/sssp-2dim/metrics.csv
#
# Points picked
# 	(400.0, 4.0)
# 	(400.0, 8.0)
# 	(400.0, 2.0)
# 	(500.0, 7.0)
# 	(50.0, 9.0)
# 	(50.0, 3.0)
# 	(200.0, 4.0)
# 	(50.0, 2.0)
# 	(100.0, 4.0)
# 	(200.0, 3.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
50.0	2.0	72.8500	80.6575	73.7400	117.1579	145.9731	153.1469	157.3307	73.9089	71.0295	75.1387	
100.0	2.0	104.1800	80.6575	101.4100	131.1661	145.9731	153.2014	157.3307	90.7041	99.9930	103.4172	
200.0	2.0	170.2600	156.9850	156.9850	167.9706	153.8661	153.4948	164.9634	161.5838	157.9201	159.9741	
300.0	2.0	231.1400	290.2725	288.0367	208.8884	239.2823	154.4611	215.1266	252.1427	215.8472	216.5310	
400.0	2.0	330.8200	290.2725	288.0367	243.5777	239.2823	158.0997	215.1266	298.6279	273.7742	273.0879	
500.0	2.0	433.1800	290.2725	296.9800	264.1431	239.2823	172.3835	215.1266	312.1523	331.7013	329.6448	
50.0	3.0	71.6800	80.6575	73.7400	113.0575	145.9731	153.4075	148.6327	69.9042	71.7538	75.1387	
100.0	3.0	102.3400	80.6575	101.4100	127.7522	145.9731	153.4999	148.6327	83.2316	100.7173	103.4172	
200.0	3.0	158.0300	156.9850	156.9850	166.4879	153.8661	153.9956	156.2654	144.6264	158.6444	159.9741	
300.0	3.0	203.2100	290.2725	288.0367	209.7059	239.2823	155.6091	206.4286	237.6734	216.5714	216.5310	
400.0	3.0	293.9300	290.2725	288.0367	246.5033	239.2823	161.4273	206.4286	293.4134	274.4985	273.0879	
500.0	3.0	335.7500	290.2725	296.9800	268.4995	239.2823	180.9420	206.4286	310.8364	332.4256	329.6448	
50.0	4.0	72.9200	80.6575	73.7400	110.8537	145.9731	156.2667	156.5523	66.7894	72.4780	75.1387	
100.0	4.0	101.4100	80.6575	101.4100	125.7958	145.9731	156.7547	156.5523	77.2487	101.4416	103.4172	
200.0	4.0	155.9400	156.9850	156.9850	165.3121	153.8661	159.2797	164.1851	129.1255	159.3686	159.9741	
300.0	4.0	198.1400	290.2725	288.0367	209.5565	239.2823	166.5491	214.3483	221.5233	217.2957	216.5310	
400.0	4.0	276.9600	290.2725	288.0367	247.3899	239.2823	184.6710	214.3483	286.8484	275.2228	273.0879	
500.0	4.0	315.4200	290.2725	296.9800	270.1924	239.2823	210.1286	214.3483	309.1156	333.1498	329.6448	
50.0	5.0	79.9700	80.6575	73.7400	110.6095	145.9731	188.8588	156.5523	64.3831	73.2023	75.1387	
100.0	5.0	104.8500	80.6575	101.4100	125.3481	145.9731	191.3847	156.5523	72.5202	102.1658	103.4172	
200.0	5.0	158.7500	156.9850	156.9850	164.4564	153.8661	200.7010	164.1851	115.4204	160.0929	159.9741	
300.0	5.0	191.3600	290.2725	288.0367	208.3999	239.2823	212.7330	214.3483	204.1119	218.0200	216.5310	
400.0	5.0	248.5100	290.2725	288.0367	246.1396	239.2823	221.5041	214.3483	278.6997	275.9471	273.0879	
