# Created: Sat Aug 02 14:48:56 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.05
#	output:	results/sssp/values-0.05.csv
#	metrics-output:	results/sssp/metrics-0.05.csv
#
# Points picked
# 	(2.0, 100.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(2.0, 400.0, 5.0)
# 	(2.0, 100.0, 4.0)
# 	(1.0, 100.0, 6.0)
# 	(1.0, 100.0, 4.0)
# 	(1.0, 400.0, 9.0)
# 	(4.0, 300.0, 6.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	152.9967	82.5200	108.8508	104.6523	94.9160	124.3293	96.2932	77.3114	77.6689	
1.0	100.0	2.0	104.1800	152.9967	98.0150	111.7200	107.8758	94.9160	124.3293	105.9428	101.6703	98.2832	
1.0	200.0	2.0	170.2600	152.9967	166.9800	122.4183	135.3073	206.9316	135.5344	123.5725	150.3879	139.5118	
1.0	300.0	2.0	231.1400	152.9967	166.9800	136.1458	167.9085	206.9667	157.9445	139.6137	199.1056	180.7404	
1.0	400.0	2.0	330.8200	152.9967	226.9600	147.4995	167.9085	206.9667	157.9445	157.9309	247.8233	221.9690	
1.0	500.0	2.0	433.1800	152.9967	226.9600	152.8922	167.9085	206.9667	157.9445	183.2427	296.5410	263.1975	
2.0	50.0	2.0	62.3100	89.4900	82.5200	107.8786	104.6523	94.9160	124.3293	86.4840	65.8622	77.6689	
2.0	100.0	2.0	100.0800	89.4900	98.0150	111.1085	107.8758	94.9160	124.3293	96.7116	90.2210	98.2832	
2.0	200.0	2.0	160.1700	184.0100	166.9800	122.7622	135.3073	206.9356	135.5344	117.0939	138.9387	139.5118	
2.0	300.0	2.0	208.6600	184.0100	166.9800	137.4333	167.9085	206.9667	157.9445	136.9133	187.6563	180.7404	
2.0	400.0	2.0	215.2900	184.0100	226.9600	149.3471	167.9085	206.9667	157.9445	159.2038	236.3740	221.9690	
2.0	500.0	2.0	256.2900	184.0100	226.9600	154.7690	167.9085	206.9667	157.9445	188.0484	285.0917	263.1975	
4.0	50.0	2.0	59.8300	89.4900	82.5200	121.9296	104.6523	94.9193	124.3293	68.3740	42.9636	77.6689	
4.0	100.0	2.0	86.6100	89.4900	98.0150	124.3192	107.8758	95.2710	124.3293	77.9195	67.3225	98.2832	
4.0	200.0	2.0	116.2800	184.0100	166.9800	132.0030	135.3073	206.9667	135.5344	101.0440	116.0401	139.5118	
4.0	300.0	2.0	143.3400	184.0100	166.9800	140.9831	167.9085	206.9667	157.9445	128.3129	164.7578	180.7404	
4.0	400.0	2.0	167.6600	184.0100	226.9600	147.7139	167.9085	206.9667	157.9445	160.0225	213.4755	221.9690	
4.0	500.0	2.0	167.6700	184.0100	226.9600	150.1405	167.9085	206.9667	157.9445	196.7206	262.1932	263.1975	
1.0	50.0	3.0	71.6800	152.9967	82.5200	103.9238	104.6523	94.9160	124.3293	93.4411	77.9878	77.6689	
1.0	100.0	3.0	102.3400	152.9967	98.0150	107.8691	107.8758	94.9160	124.3293	103.7398	102.3466	98.2832	
1.0	200.0	3.0	158.0300	152.9967	166.9800	121.9026	135.3073	206.7784	135.5344	123.7832	151.0643	139.5118	
1.0	300.0	3.0	203.2100	152.9967	166.9800	139.4795	167.9085	206.9667	157.9445	143.8491	199.7820	180.7404	
1.0	400.0	3.0	293.9300	152.9967	226.9600	153.6751	167.9085	206.9667	157.9445	167.9121	248.4996	221.9690	
1.0	500.0	3.0	335.7500	152.9967	226.9600	159.9690	167.9085	206.9667	157.9445	199.0031	297.2173	263.1975	
2.0	50.0	3.0	65.1700	89.4900	82.5200	102.6971	104.6523	94.9160	124.3293	83.7938	66.5385	77.6689	
2.0	100.0	3.0	89.5400	89.4900	98.0150	107.0611	107.8758	94.9160	124.3293	94.5130	90.8974	98.2832	
2.0	200.0	3.0	134.2700	184.0100	166.9800	122.2035	135.3073	206.7995	135.5344	117.2986	139.6150	139.5118	
2.0	300.0	3.0	170.8400	184.0100	166.9800	140.8697	167.9085	206.9667	157.9445	141.6028	188.3327	180.7404	
2.0	400.0	3.0	225.2200	184.0100	226.9600	155.7054	167.9085	206.9667	157.9445	170.1269	237.0504	221.9690	
2.0	500.0	3.0	248.0600	184.0100	226.9600	162.0303	167.9085	206.9667	157.9445	204.4006	285.7680	263.1975	
4.0	50.0	3.0	62.9200	89.4900	82.5200	119.3831	104.6523	94.9166	124.3293	66.8103	43.6400	77.6689	
4.0	100.0	3.0	77.9400	89.4900	98.0150	122.5325	107.8758	94.9822	124.3293	76.6437	67.9988	98.2832	
4.0	200.0	3.0	113.9800	184.0100	166.9800	132.3915	135.3073	206.9667	135.5344	101.9259	116.7165	139.5118	
4.0	300.0	3.0	137.8600	184.0100	166.9800	143.7116	167.9085	206.9667	157.9445	134.1474	165.4342	180.7404	
4.0	400.0	3.0	179.1900	184.0100	226.9600	152.0190	167.9085	206.9667	157.9445	172.4876	214.1519	221.9690	
4.0	500.0	3.0	194.2800	184.0100	226.9600	154.7697	167.9085	206.9667	157.9445	213.2200	262.8695	263.1975	
1.0	50.0	4.0	72.9200	152.9967	82.5200	101.5202	104.6523	94.9160	124.3293	91.0258	78.6642	77.6689	
1.0	100.0	4.0	101.4100	152.9967	98.0150	106.6403	107.8758	94.9160	124.3293	102.1178	103.0230	98.2832	
1.0	200.0	4.0	155.9400	152.9967	166.9800	123.9598	135.3073	206.5573	135.5344	125.2405	151.7407	139.5118	
1.0	300.0	4.0	198.1400	152.9967	166.9800	145.0600	167.9085	206.9667	157.9445	150.4637	200.4583	180.7404	
1.0	400.0	4.0	276.9600	152.9967	226.9600	161.6183	167.9085	206.9667	157.9445	180.9328	249.1760	221.9690	
1.0	500.0	4.0	315.4200	152.9967	226.9600	168.3086	167.9085	206.9667	157.9445	216.1742	297.8937	263.1975	
2.0	50.0	4.0	70.9400	89.4900	82.5200	100.0316	104.6523	94.9160	124.3293	81.7280	67.2149	77.6689	
2.0	100.0	4.0	93.6700	89.4900	98.0150	105.5823	107.8758	94.9160	124.3293	93.1138	91.5737	98.2832	
2.0	200.0	4.0	129.7800	184.0100	166.9800	124.0506	135.3073	206.6031	135.5344	119.0022	140.2914	139.5118	
2.0	300.0	4.0	156.6200	184.0100	166.9800	146.2778	167.9085	206.9667	157.9445	148.8839	189.0091	180.7404	
2.0	400.0	4.0	229.3400	184.0100	226.9600	163.4965	167.9085	206.9667	157.9445	183.9307	237.7267	221.9690	
2.0	500.0	4.0	291.9400	184.0100	226.9600	170.2282	167.9085	206.9667	157.9445	221.4377	286.4444	263.1975	
4.0	50.0	4.0	62.9200	89.4900	82.5200	118.1243	104.6523	94.9163	124.3293	66.2245	44.3164	77.6689	
4.0	100.0	4.0	86.4000	89.4900	98.0150	122.0049	107.8758	94.9464	124.3293	76.6593	68.6752	98.2832	
4.0	200.0	4.0	167.1400	184.0100	166.9800	133.8202	135.3073	206.9667	135.5344	104.9604	117.3929	139.5118	
4.0	300.0	4.0	181.5600	184.0100	166.9800	147.1318	167.9085	206.9667	157.9445	142.9403	166.1105	180.7404	
4.0	400.0	4.0	206.6300	184.0100	226.9600	156.6730	167.9085	206.9667	157.9445	187.1114	214.8282	221.9690	
4.0	500.0	4.0	210.5500	184.0100	226.9600	159.5072	167.9085	206.9667	157.9445	228.8339	263.5459	263.1975	
1.0	50.0	5.0	79.9700	152.9967	82.5200	102.5444	104.6523	94.9160	124.3293	89.3372	79.3405	77.6689	
1.0	100.0	5.0	104.8500	152.9967	98.0150	108.8238	107.8758	94.9160	124.3293	101.4636	103.6994	98.2832	
1.0	200.0	5.0	158.7500	152.9967	166.9800	128.9824	135.3073	206.6053	135.5344	128.5385	152.4170	139.5118	
