# Created: Sat Aug 02 14:49:00 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.075
#	output:	results/sssp/values-0.075.csv
#	metrics-output:	results/sssp/metrics-0.075.csv
#
# Points picked
# 	(1.0, 200.0, 4.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 100.0, 2.0)
# 	(2.0, 500.0, 3.0)
# 	(4.0, 50.0, 5.0)
# 	(2.0, 100.0, 7.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 100.0, 10.0)
# 	(1.0, 200.0, 7.0)
# 	(2.0, 400.0, 2.0)
# 	(1.0, 300.0, 7.0)
# 	(4.0, 100.0, 5.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	164.9400	63.4000	137.9915	112.5265	153.0569	99.8152	115.3349	138.6302	72.7489	
1.0	100.0	2.0	104.1800	164.9400	93.6425	145.5063	119.4175	166.8520	111.9122	130.1890	152.7334	93.7151	
1.0	200.0	2.0	170.2600	164.9400	155.5000	162.4636	160.0887	191.9315	173.2993	158.2784	180.9397	135.6476	
1.0	300.0	2.0	231.1400	164.9400	183.8200	178.8787	163.9843	191.9316	173.2993	183.8799	209.1461	177.5801	
1.0	400.0	2.0	330.8200	164.9400	215.2900	190.7681	163.9843	191.9316	173.2993	207.9433	237.3524	219.5126	
1.0	500.0	2.0	433.1800	164.9400	248.0600	195.2818	163.9843	191.9316	173.2993	231.7574	265.5587	261.4451	
2.0	50.0	2.0	62.3100	63.4000	63.4000	125.0127	103.2907	90.9303	99.8152	90.2940	116.6887	72.7489	
2.0	100.0	2.0	100.0800	93.6425	93.6425	133.2267	115.8473	99.1621	111.9122	107.2745	130.7919	93.7151	
2.0	200.0	2.0	160.1700	93.6425	155.5000	152.7679	164.3805	191.9303	173.2993	142.8927	158.9982	135.6476	
2.0	300.0	2.0	208.6600	231.6750	183.8200	172.8086	168.2761	191.9316	173.2993	178.8469	187.2046	177.5801	
2.0	400.0	2.0	215.2900	231.6750	215.2900	188.4801	168.2761	191.9316	173.2993	213.5125	215.4109	219.5126	
2.0	500.0	2.0	256.2900	231.6750	248.0600	196.0946	168.2761	191.9316	173.2993	245.4498	243.6172	261.4451	
4.0	50.0	2.0	59.8300	63.4000	63.4000	93.3992	103.2907	78.9804	81.6850	62.2773	72.8057	72.7489	
4.0	100.0	2.0	86.6100	93.6425	93.6425	98.6686	115.8473	78.9804	93.7820	80.0986	86.9089	93.7151	
4.0	200.0	2.0	116.2800	93.6425	155.5000	113.4079	164.3805	84.3781	155.1691	121.8837	115.1153	135.6476	
4.0	300.0	2.0	143.3400	231.6750	183.8200	130.8193	168.2761	191.9316	155.1691	168.2298	143.3216	177.5801	
4.0	400.0	2.0	167.6600	231.6750	215.2900	146.6519	168.2761	191.9316	155.1691	213.1457	171.5279	219.5126	
4.0	500.0	2.0	167.6700	231.6750	248.0600	157.3417	168.2761	191.9316	155.1691	251.4019	199.7343	261.4451	
1.0	50.0	3.0	71.6800	164.9400	63.4000	136.4460	112.5265	153.8293	99.8152	112.8418	133.4908	72.7489	
1.0	100.0	3.0	102.3400	164.9400	93.6425	144.1952	119.4175	167.4409	111.9122	127.9828	147.5940	93.7151	
1.0	200.0	3.0	158.0300	164.9400	155.5000	161.7736	160.0887	191.9315	173.2993	156.9245	175.8003	135.6476	
1.0	300.0	3.0	203.2100	164.9400	183.8200	178.8745	163.9843	191.9316	173.2993	183.6060	204.0066	177.5801	
1.0	400.0	3.0	293.9300	164.9400	215.2900	191.3417	163.9843	191.9316	173.2993	208.7927	232.2130	219.5126	
1.0	500.0	3.0	335.7500	164.9400	248.0600	196.2071	163.9843	191.9316	173.2993	233.5617	260.4193	261.4451	
2.0	50.0	3.0	65.1700	63.4000	63.4000	122.0251	103.2907	91.2595	99.8152	88.1447	111.5493	72.7489	
2.0	100.0	3.0	89.5400	93.6425	93.6425	130.4660	115.8473	99.6716	111.9122	105.3008	125.6525	93.7151	
