# Created: Sat Aug 02 14:49:04 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.10
#	output:	results/sssp/values-0.10.csv
#	metrics-output:	results/sssp/metrics-0.10.csv
#
# Points picked
# 	(4.0, 500.0, 7.0)
# 	(2.0, 400.0, 5.0)
# 	(2.0, 400.0, 2.0)
# 	(2.0, 50.0, 4.0)
# 	(1.0, 500.0, 2.0)
# 	(4.0, 500.0, 5.0)
# 	(1.0, 200.0, 7.0)
# 	(4.0, 300.0, 2.0)
# 	(1.0, 100.0, 4.0)
# 	(2.0, 300.0, 10.0)
# 	(4.0, 300.0, 4.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 400.0, 4.0)
# 	(4.0, 200.0, 5.0)
# 	(4.0, 500.0, 4.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	65.3133	65.3133	127.1958	160.8379	86.4236	149.5471	106.6624	59.2033	63.1033	
1.0	100.0	2.0	104.1800	124.1456	101.4100	140.0145	160.8379	87.7646	149.5471	125.6136	74.9187	86.5222	
1.0	200.0	2.0	170.2600	124.1456	138.2900	175.5778	185.4727	107.9560	164.7436	174.4497	106.3495	133.3601	
1.0	300.0	2.0	231.1400	163.4378	158.3400	218.1798	192.8069	189.7333	178.0363	239.0991	137.7802	180.1981	
1.0	400.0	2.0	330.8200	351.8950	231.0967	257.8359	247.4305	234.0693	209.3478	318.4590	169.2110	227.0360	
1.0	500.0	2.0	433.1800	351.8950	279.3775	285.1294	293.4455	240.1410	209.3478	407.4503	200.6418	273.8739	
2.0	50.0	2.0	62.3100	65.3133	65.3133	104.1005	133.5992	86.2390	149.5471	58.8036	59.0340	63.1033	
2.0	100.0	2.0	100.0800	124.1456	101.4100	115.7982	133.5992	87.0455	149.5471	68.4123	74.7494	86.5222	
2.0	200.0	2.0	160.1700	124.1456	138.2900	150.2072	158.2341	99.9094	164.7436	95.8057	106.1801	133.3601	
2.0	300.0	2.0	208.6600	163.4378	158.3400	193.1766	165.5683	170.8756	178.0363	137.6007	137.6109	180.1981	
2.0	400.0	2.0	215.2900	219.4540	231.0967	234.6172	229.8993	229.8019	195.8540	196.9249	169.0417	227.0360	
2.0	500.0	2.0	256.2900	219.4540	279.3775	264.8334	275.9143	239.6313	195.8540	273.1662	200.4724	273.8739	
4.0	50.0	2.0	59.8300	65.3133	65.3133	101.6158	133.5992	86.0806	149.5471	60.1845	58.6953	63.1033	
4.0	100.0	2.0	86.6100	124.1456	101.4100	107.7994	133.5992	86.4246	149.5471	70.4293	74.4107	86.5222	
4.0	200.0	2.0	116.2800	124.1456	138.2900	128.5610	155.7721	92.2052	164.7436	97.7290	105.8415	133.3601	
4.0	300.0	2.0	143.3400	163.4378	158.3400	156.6099	163.1063	138.6037	178.0363	133.4582	137.2722	180.1981	
4.0	400.0	2.0	167.6600	219.4540	231.0967	185.3121	229.8993	217.0591	195.8540	173.6045	168.7030	227.0360	
4.0	500.0	2.0	167.6700	219.4540	279.3775	208.1412	275.9143	237.9365	195.8540	212.2186	200.1337	273.8739	
1.0	50.0	3.0	71.6800	65.3133	65.3133	123.0318	161.2918	86.2728	149.5471	99.7173	69.0726	63.1033	
1.0	100.0	3.0	102.3400	124.1456	101.4100	135.6915	161.2918	87.1775	149.5471	117.5997	84.7880	86.5222	
1.0	200.0	3.0	158.0300	124.1456	138.2900	171.2038	185.9266	101.4534	164.7436	164.4602	116.2188	133.3601	
1.0	300.0	3.0	203.2100	163.4378	158.3400	214.1043	193.2608	175.2986	178.0363	227.9946	147.6495	180.1981	
1.0	400.0	3.0	293.9300	351.8950	231.0967	254.3313	228.3866	230.9400	209.3478	307.7896	179.0803	227.0360	
1.0	500.0	3.0	335.7500	351.8950	279.3775	282.3414	250.2143	239.7698	209.3478	398.7327	210.5110	273.8739	
2.0	50.0	3.0	65.1700	65.3133	65.3133	100.3892	134.0531	86.1486	149.5471	58.1904	68.9033	63.1033	
2.0	100.0	3.0	89.5400	124.1456	101.4100	112.0364	134.0531	86.6917	149.5471	67.7545	84.6186	86.5222	
2.0	200.0	3.0	134.2700	124.1456	138.2900	146.6384	158.6880	95.6133	164.7436	95.0380	116.0494	133.3601	
2.0	300.0	3.0	170.8400	163.4378	158.3400	190.1509	166.0222	155.4995	178.0363	136.5041	147.4802	180.1981	
2.0	400.0	3.0	225.2200	219.4540	231.0967	232.3526	210.8555	224.9298	195.8540	194.7931	178.9109	227.0360	
2.0	500.0	3.0	248.0600	219.4540	279.3775	263.3715	232.6831	239.0157	195.8540	268.7593	210.3417	273.8739	
4.0	50.0	3.0	62.9200	65.3133	65.3133	101.0405	134.0531	86.0422	149.5471	64.0592	68.5646	63.1033	
4.0	100.0	3.0	77.9400	124.1456	101.4100	107.4811	134.0531	86.2734	149.5471	75.1798	84.2800	86.5222	
4.0	200.0	3.0	113.9800	124.1456	138.2900	128.9558	156.2260	90.2109	164.7436	104.2357	115.7107	133.3601	
4.0	300.0	3.0	137.8600	163.4378	158.3400	157.8698	163.5602	125.7513	178.0363	141.0350	147.1415	180.1981	
4.0	400.0	3.0	179.1900	219.4540	231.0967	187.3879	210.8555	207.8793	195.8540	180.8089	178.5723	227.0360	
4.0	500.0	3.0	194.2800	219.4540	279.3775	210.7793	232.6831	236.5251	195.8540	217.5991	210.0030	273.8739	
1.0	50.0	4.0	72.9200	65.3133	65.3133	120.3284	161.2918	86.3972	149.5471	93.7058	78.9419	63.1033	
1.0	100.0	4.0	101.4100	124.1456	101.4100	132.4283	161.2918	87.6620	149.5471	110.6300	94.6573	86.5222	
1.0	200.0	4.0	155.9400	124.1456	138.2900	166.8004	185.9266	106.8607	164.7436	155.6491	126.0880	133.3601	
1.0	300.0	4.0	198.1400	163.4378	158.3400	208.7202	193.2608	187.6812	178.0363	217.9702	157.5188	180.1981	
1.0	400.0	4.0	276.9600	351.8950	231.0967	248.3494	228.3866	233.6712	209.3478	297.7693	188.9496	227.0360	
1.0	500.0	4.0	315.4200	351.8950	279.3775	276.2941	250.2143	240.0946	209.3478	389.9516	220.3803	273.8739	
2.0	50.0	4.0	70.9400	65.3133	65.3133	98.8376	134.0531	86.2232	149.5471	58.0933	78.7725	63.1033	
2.0	100.0	4.0	93.6700	124.1456	101.4100	110.0726	134.0531	86.9836	149.5471	67.7299	94.4879	86.5222	
2.0	200.0	4.0	129.7800	124.1456	138.2900	143.8273	158.6880	99.1750	164.7436	95.1641	125.9187	133.3601	
2.0	300.0	4.0	156.6200	163.4378	158.3400	186.6096	166.0222	168.5943	178.0363	136.5153	157.3495	180.1981	
2.0	400.0	4.0	229.3400	219.4540	231.0967	228.3668	210.8555	229.1750	195.8540	193.7882	188.7802	227.0360	
2.0	500.0	4.0	291.9400	219.4540	279.3775	259.3298	232.6831	239.5542	195.8540	265.2145	220.2110	273.8739	
4.0	50.0	4.0	62.9200	65.3133	65.3133	102.7820	134.0531	86.0738	149.5471	68.3390	78.4339	63.1033	
4.0	100.0	4.0	86.4000	124.1456	101.4100	109.3059	134.0531	86.3981	149.5471	80.3672	94.1492	86.5222	
4.0	200.0	4.0	167.1400	124.1456	138.2900	130.9094	156.2260	91.8595	164.7436	111.1351	125.5800	133.3601	
4.0	300.0	4.0	181.5600	163.4378	158.3400	159.9018	163.5602	136.5630	178.0363	148.7835	157.0108	180.1981	
4.0	400.0	4.0	206.6300	219.4540	231.0967	189.4345	210.8555	215.8381	195.8540	187.9071	188.4415	227.0360	
4.0	500.0	4.0	210.5500	219.4540	279.3775	212.7515	232.6831	237.7588	195.8540	222.7419	219.8723	273.8739	
1.0	50.0	5.0	79.9700	65.3133	65.3133	119.2855	161.2918	87.2289	149.5471	88.5975	88.8112	63.1033	
1.0	100.0	5.0	104.8500	124.1456	101.4100	130.4708	161.2918	90.8427	149.5471	104.6883	104.5265	86.5222	
1.0	200.0	5.0	158.7500	124.1456	138.2900	162.7106	185.9266	134.5866	164.7436	148.0499	135.9573	133.3601	
1.0	300.0	5.0	191.3600	163.4378	158.3400	202.4582	193.2608	217.4519	178.0363	209.1219	167.3881	180.1981	
1.0	400.0	5.0	248.5100	351.8950	231.0967	240.3802	228.3866	238.3610	209.3478	288.5237	198.8188	227.0360	
1.0	500.0	5.0	309.6400	351.8950	279.3775	267.4930	250.2143	240.6279	209.3478	381.2001	230.2496	273.8739	
2.0	50.0	5.0	82.5200	65.3133	65.3133	99.5405	134.0531	86.7226	149.5471	58.5013	88.6418	63.1033	
2.0	100.0	5.0	121.2100	124.1456	101.4100	110.0345	134.0531	88.9183	149.5471	68.3233	104.3572	86.5222	
2.0	200.0	5.0	124.0000	124.1456	138.2900	141.9734	158.6880	119.2346	164.7436	96.1513	135.7880	133.3601	
2.0	300.0	5.0	146.4300	163.4378	158.3400	182.8193	166.0222	205.3045	178.0363	137.5692	167.2187	180.1981	
2.0	400.0	5.0	201.0400	219.4540	231.0967	222.9737	210.8555	236.6966	195.8540	193.8196	198.6495	227.0360	
2.0	500.0	5.0	222.3300	219.4540	279.3775	253.0386	232.6831	240.4420	195.8540	262.4723	230.0803	273.8739	
4.0	50.0	5.0	62.5900	65.3133	65.3133	106.6636	134.0531	86.2866	149.5471	73.0362	88.3031	63.1033	
4.0	100.0	5.0	93.3500	124.1456	101.4100	113.0893	134.0531	87.2314	149.5471	85.9903	104.0185	86.5222	
4.0	200.0	5.0	121.5200	124.1456	138.2900	134.2273	156.2260	102.0743	164.7436	118.3843	135.4493	133.3601	
