# Created: Sat Aug 02 14:49:09 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.125
#	output:	results/sssp/values-0.125.csv
#	metrics-output:	results/sssp/metrics-0.125.csv
#
# Points picked
# 	(1.0, 50.0, 7.0)
# 	(1.0, 50.0, 6.0)
# 	(4.0, 500.0, 6.0)
# 	(2.0, 50.0, 3.0)
# 	(1.0, 50.0, 8.0)
# 	(1.0, 100.0, 2.0)
# 	(1.0, 500.0, 5.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 200.0, 4.0)
# 	(4.0, 100.0, 3.0)
# 	(2.0, 50.0, 6.0)
# 	(1.0, 200.0, 2.0)
# 	(1.0, 300.0, 8.0)
# 	(1.0, 50.0, 10.0)
# 	(2.0, 100.0, 7.0)
# 	(4.0, 200.0, 9.0)
# 	(2.0, 400.0, 4.0)
# 	(4.0, 50.0, 3.0)
# 	(4.0, 100.0, 8.0)
# 	(1.0, 500.0, 3.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	76.0434	74.7638	106.9021	83.5992	150.5927	110.3731	75.7698	75.4571	75.6450	
1.0	100.0	2.0	104.1800	95.7856	98.3450	121.0830	90.5533	150.5731	112.7312	90.3550	98.0823	100.6331	
1.0	200.0	2.0	170.2600	169.5525	163.2633	157.2744	157.9074	150.5818	147.1262	135.5022	143.3327	150.6092	
1.0	300.0	2.0	231.1400	169.5525	188.4200	197.3497	192.4988	150.6494	180.6158	198.2294	188.5830	200.5854	
1.0	400.0	2.0	330.8200	322.6950	229.3400	231.9030	261.4898	150.7534	215.4435	259.9212	233.8334	250.5615	
1.0	500.0	2.0	433.1800	322.6950	304.4133	253.0117	261.4898	150.8635	227.7339	301.5858	279.0838	300.5377	
2.0	50.0	2.0	62.3100	76.0434	74.7638	96.0573	83.5992	147.0896	110.3731	47.5495	70.3188	75.6450	
2.0	100.0	2.0	100.0800	95.7856	98.3450	110.5700	90.5533	146.9533	112.7312	66.7150	92.9439	100.6331	
2.0	200.0	2.0	160.1700	169.5525	163.2633	148.0544	157.9074	147.0136	147.1262	121.2159	138.1943	150.6092	
2.0	300.0	2.0	208.6600	169.5525	188.4200	189.9076	192.4988	147.4922	180.6158	183.8363	183.4447	200.5854	
2.0	400.0	2.0	215.2900	248.5950	229.3400	226.2820	261.4898	148.2639	215.4435	233.5454	228.6951	250.5615	
2.0	500.0	2.0	256.2900	248.5950	304.4133	248.9490	261.4898	149.1319	227.7339	262.2333	273.9454	300.5377	
4.0	50.0	2.0	59.8300	76.0434	74.7638	96.4784	83.5992	124.3696	110.3731	63.0270	60.0420	75.6450	
4.0	100.0	2.0	86.6100	95.7856	98.3450	106.7055	90.5533	124.3696	112.7312	100.0254	82.6672	100.6331	
4.0	200.0	2.0	116.2800	169.5525	163.2633	133.5316	157.9074	124.3696	147.1262	169.4185	127.9176	150.6092	
4.0	300.0	2.0	143.3400	169.5525	188.4200	163.7140	192.4988	124.3696	180.6158	218.9619	173.1680	200.5854	
4.0	400.0	2.0	167.6600	248.5950	229.3400	190.1120	261.4898	124.3696	215.4435	247.1269	218.4183	250.5615	
4.0	500.0	2.0	167.6700	248.5950	304.4133	206.9382	261.4898	124.3696	227.7339	261.0840	263.6687	300.5377	
1.0	50.0	3.0	71.6800	76.0434	74.7638	102.9948	83.5992	150.5913	110.3731	76.2400	76.0966	75.6450	
1.0	100.0	3.0	102.3400	95.7856	98.3450	117.9743	90.5533	150.5717	112.7312	90.6012	98.7218	100.6331	
1.0	200.0	3.0	158.0300	169.5525	163.2633	156.2949	157.9074	150.5804	147.1262	135.2453	143.9722	150.6092	
1.0	300.0	3.0	203.2100	169.5525	188.4200	198.8009	192.4988	150.6482	180.6158	198.0114	189.2225	200.5854	
1.0	400.0	3.0	293.9300	322.6950	229.3400	235.5114	261.4898	150.7525	215.4435	260.7874	234.4729	250.5615	
1.0	500.0	3.0	335.7500	322.6950	304.4133	258.0300	261.4898	150.8629	227.7339	304.0035	279.7233	300.5377	
2.0	50.0	3.0	65.1700	76.0434	74.7638	92.3085	83.5992	147.0797	110.3731	50.1479	70.9583	75.6450	
2.0	100.0	3.0	89.5400	95.7856	98.3450	107.7303	90.5533	146.9432	112.7312	68.7643	93.5834	100.6331	
2.0	200.0	3.0	134.2700	169.5525	163.2633	147.5789	157.9074	147.0036	147.1262	122.2489	138.8338	150.6092	
2.0	300.0	3.0	170.8400	169.5525	188.4200	192.0724	192.4988	147.4832	180.6158	184.6199	184.0842	200.5854	
2.0	400.0	3.0	225.2200	248.5950	229.3400	230.7403	261.4898	148.2565	215.4435	234.7477	229.3346	250.5615	
2.0	500.0	3.0	248.0600	248.5950	304.4133	254.8536	261.4898	149.1267	227.7339	263.8138	274.5849	300.5377	
4.0	50.0	3.0	62.9200	76.0434	74.7638	94.5948	83.5992	124.3696	110.3731	59.9910	60.6816	75.6450	
4.0	100.0	3.0	77.9400	95.7856	98.3450	105.6530	90.5533	124.3696	112.7312	96.8346	83.3067	100.6331	
4.0	200.0	3.0	113.9800	169.5525	163.2633	134.5145	157.9074	124.3696	147.1262	166.7505	128.5571	150.6092	
4.0	300.0	3.0	137.8600	169.5525	188.4200	166.8446	192.4988	124.3696	180.6158	217.3119	173.8075	200.5854	
4.0	400.0	3.0	179.1900	248.5950	229.3400	194.9998	261.4898	124.3696	215.4435	246.2921	219.0579	250.5615	
4.0	500.0	3.0	194.2800	248.5950	304.4133	212.8138	261.4898	124.3696	227.7339	260.7123	264.3082	300.5377	
1.0	50.0	4.0	72.9200	76.0434	74.7638	99.6115	83.5992	150.5747	110.3731	76.5731	76.7361	75.6450	
1.0	100.0	4.0	101.4100	95.7856	98.3450	114.9873	90.5533	150.5544	112.7312	90.7014	99.3613	100.6331	
1.0	200.0	4.0	155.9400	169.5525	163.2633	154.4311	157.9074	150.5634	147.1262	134.8132	144.6117	150.6092	
1.0	300.0	4.0	198.1400	169.5525	188.4200	198.2701	192.4988	150.6334	180.6158	197.5658	189.8620	200.5854	
1.0	400.0	4.0	276.9600	322.6950	229.3400	236.2049	261.4898	150.7411	215.4435	261.3979	235.1124	250.5615	
1.0	500.0	4.0	315.4200	322.6950	304.4133	259.5837	261.4898	150.8553	227.7339	306.2123	280.3628	300.5377	
2.0	50.0	4.0	70.9400	76.0434	74.7638	89.3592	83.5992	146.9639	110.3731	52.7489	71.5978	75.6450	
2.0	100.0	4.0	93.6700	95.7856	98.3450	105.2879	90.5533	146.8242	112.7312	70.8683	94.2230	100.6331	
2.0	200.0	4.0	129.7800	169.5525	163.2633	146.4811	157.9074	146.8860	147.1262	123.4056	139.4733	150.6092	
2.0	300.0	4.0	156.6200	169.5525	188.4200	192.4915	192.4988	147.3771	180.6158	185.5524	184.7237	200.5854	
2.0	400.0	4.0	229.3400	248.5950	229.3400	232.4891	261.4898	148.1704	215.4435	236.1216	229.9741	250.5615	
2.0	500.0	4.0	291.9400	248.5950	304.4133	257.4667	261.4898	149.0647	227.7339	265.5861	275.2244	300.5377	
4.0	50.0	4.0	62.9200	76.0434	74.7638	93.5686	83.5992	124.3696	110.3731	57.0261	61.3211	75.6450	
4.0	100.0	4.0	86.4000	95.7856	98.3450	105.1936	90.5533	124.3696	112.7312	93.6813	83.9462	100.6331	
4.0	200.0	4.0	167.1400	169.5525	163.2633	135.4085	157.9074	124.3696	147.1262	164.0659	129.1966	150.6092	
4.0	300.0	4.0	181.5600	169.5525	188.4200	169.1272	192.4988	124.3696	180.6158	215.6345	174.4470	200.5854	
4.0	400.0	4.0	206.6300	248.5950	229.3400	198.3825	261.4898	124.3696	215.4435	245.4409	219.6974	250.5615	
