# Created: Sat Aug 02 14:49:14 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.150
#	output:	results/sssp/values-0.150.csv
#	metrics-output:	results/sssp/metrics-0.150.csv
#
# Points picked
# 	(2.0, 100.0, 3.0)
# 	(1.0, 100.0, 9.0)
# 	(1.0, 500.0, 3.0)
# 	(2.0, 50.0, 10.0)
# 	(2.0, 300.0, 2.0)
# 	(1.0, 500.0, 4.0)
# 	(2.0, 300.0, 4.0)
# 	(1.0, 50.0, 6.0)
# 	(4.0, 200.0, 6.0)
# 	(1.0, 200.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(1.0, 300.0, 4.0)
# 	(4.0, 100.0, 8.0)
# 	(4.0, 200.0, 10.0)
# 	(1.0, 100.0, 2.0)
# 	(2.0, 100.0, 9.0)
# 	(2.0, 500.0, 7.0)
# 	(4.0, 200.0, 5.0)
# 	(2.0, 300.0, 10.0)
# 	(1.0, 300.0, 5.0)
# 	(4.0, 300.0, 6.0)
# 	(1.0, 300.0, 6.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 300.0, 5.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	75.9300	72.5275	116.0016	102.3634	200.5078	135.4674	83.4801	80.4109	67.5574	
1.0	100.0	2.0	104.1800	105.6900	109.3120	127.8150	121.4147	200.5054	141.6723	104.7954	105.2272	92.5367	
1.0	200.0	2.0	170.2600	133.0769	129.7700	160.3566	145.5871	200.7711	145.3530	148.6179	154.8597	142.4953	
1.0	300.0	2.0	231.1400	192.5833	175.4375	199.2722	179.1657	201.0674	165.0669	204.1631	204.4922	192.4540	
1.0	400.0	2.0	330.8200	320.1300	320.1300	235.4854	208.3315	201.1875	194.0054	274.2459	254.1247	242.4126	
1.0	500.0	2.0	433.1800	320.1300	320.1300	260.2634	208.3315	201.2103	194.0054	335.5105	303.7572	292.3712	
2.0	50.0	2.0	62.3100	75.9300	72.5275	106.4625	102.3634	196.1411	135.4674	75.9512	72.6118	67.5574	
2.0	100.0	2.0	100.0800	105.6900	109.3120	117.7734	121.4147	196.1246	138.2673	97.1621	97.4281	92.5367	
2.0	200.0	2.0	160.1700	133.0769	129.7700	149.6773	145.5871	197.9763	143.9063	139.5823	147.0606	142.4953	
2.0	300.0	2.0	208.6600	163.4045	175.4375	188.4679	179.1657	200.1254	165.0669	191.1118	196.6931	192.4540	
2.0	400.0	2.0	215.2900	320.1300	320.1300	225.0669	208.3315	201.0231	194.0054	259.0428	246.3256	242.4126	
2.0	500.0	2.0	256.2900	320.1300	320.1300	250.7176	208.3315	201.1954	194.0054	324.4704	295.9581	292.3712	
4.0	50.0	2.0	59.8300	75.9300	72.5275	111.2826	101.1840	111.6029	135.4674	61.2238	57.0137	67.5574	
4.0	100.0	2.0	86.6100	105.6900	109.3120	117.0697	121.4147	111.6029	138.2673	82.2604	81.8299	92.5367	
4.0	200.0	2.0	116.2800	133.0769	129.7700	134.5373	145.5871	111.6031	143.9063	123.2795	131.4624	142.4953	
4.0	300.0	2.0	143.3400	163.4045	175.4375	156.6860	179.1657	111.6044	165.0669	168.1017	181.0949	192.4540	
4.0	400.0	2.0	167.6600	320.1300	320.1300	178.2754	208.3315	111.6138	194.0054	228.8836	230.7274	242.4126	
4.0	500.0	2.0	167.6700	320.1300	320.1300	194.2778	208.3315	111.7267	194.0054	298.7784	280.3600	292.3712	
1.0	50.0	3.0	71.6800	75.9300	72.5275	112.0642	102.3634	199.8346	135.4674	84.8916	80.2491	67.5574	
1.0	100.0	3.0	102.3400	105.6900	109.3120	124.5064	121.4147	199.8299	141.6723	105.3691	105.0654	92.5367	
1.0	200.0	3.0	158.0300	133.0769	129.7700	158.9061	145.5871	200.3469	145.3530	146.5580	154.6979	142.4953	
