# Created: Sat Aug 02 14:49:19 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.175
#	output:	results/sssp/values-0.175.csv
#	metrics-output:	results/sssp/metrics-0.175.csv
#
# Points picked
# 	(4.0, 200.0, 7.0)
# 	(2.0, 400.0, 6.0)
# 	(2.0, 400.0, 5.0)
# 	(1.0, 200.0, 7.0)
# 	(4.0, 100.0, 8.0)
# 	(2.0, 100.0, 10.0)
# 	(4.0, 500.0, 7.0)
# 	(2.0, 200.0, 9.0)
# 	(4.0, 200.0, 10.0)
# 	(1.0, 400.0, 8.0)
# 	(1.0, 50.0, 7.0)
# 	(4.0, 200.0, 9.0)
# 	(2.0, 400.0, 10.0)
# 	(1.0, 400.0, 5.0)
# 	(1.0, 100.0, 10.0)
# 	(2.0, 300.0, 7.0)
# 	(2.0, 200.0, 10.0)
# 	(1.0, 300.0, 6.0)
# 	(2.0, 400.0, 9.0)
# 	(1.0, 400.0, 6.0)
# 	(1.0, 400.0, 9.0)
# 	(2.0, 500.0, 7.0)
# 	(4.0, 500.0, 5.0)
# 	(1.0, 200.0, 4.0)
# 	(4.0, 400.0, 10.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 500.0, 10.0)
# 	(4.0, 400.0, 5.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	69.3500	69.3500	156.1218	109.2438	193.0350	128.1911	58.5666	71.8920	80.0830	
1.0	100.0	2.0	104.1800	150.3418	104.9500	160.4299	113.5828	193.0517	128.1911	108.5326	99.0052	102.5476	
1.0	200.0	2.0	170.2600	150.3418	147.9500	173.3630	145.5555	193.0683	159.9033	164.0158	153.2318	147.4769	
1.0	300.0	2.0	231.1400	242.8162	203.5600	189.4522	219.9571	193.0719	216.0927	178.0996	207.4583	192.4061	
1.0	400.0	2.0	330.8200	242.8162	238.6570	204.6983	239.8858	193.0650	223.1416	180.5717	261.6848	237.3353	
1.0	500.0	2.0	433.1800	242.8162	276.1200	215.5723	246.1333	193.0424	223.1416	180.7330	315.9113	282.2645	
2.0	50.0	2.0	62.3100	69.3500	69.3500	144.4378	109.2438	192.7985	128.1911	99.3237	75.5237	80.0830	
2.0	100.0	2.0	100.0800	150.3418	104.9500	148.6014	113.5828	192.8563	128.1911	137.8080	102.6370	102.5476	
2.0	200.0	2.0	160.1700	150.3418	147.9500	161.9992	145.5555	192.9175	159.9033	171.4515	156.8635	147.4769	
2.0	300.0	2.0	208.6600	202.9350	203.5600	179.4296	215.2101	192.9310	216.0927	178.8029	211.0900	192.4061	
2.0	400.0	2.0	215.2900	202.9350	238.6570	196.5860	230.1431	192.9048	223.1416	180.0376	265.3165	237.3353	
2.0	500.0	2.0	256.2900	202.9350	276.1200	209.5613	236.3907	192.8237	223.1416	180.1077	319.5430	282.2645	
