# Created: Sat Aug 02 14:49:23 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.20
#	output:	results/sssp/values-0.20.csv
#	metrics-output:	results/sssp/metrics-0.20.csv
#
# Points picked
# 	(1.0, 400.0, 4.0)
# 	(4.0, 400.0, 8.0)
# 	(2.0, 300.0, 7.0)
# 	(1.0, 100.0, 7.0)
# 	(4.0, 50.0, 6.0)
# 	(1.0, 500.0, 5.0)
# 	(4.0, 300.0, 10.0)
# 	(4.0, 300.0, 3.0)
# 	(1.0, 300.0, 9.0)
# 	(2.0, 100.0, 4.0)
# 	(4.0, 400.0, 5.0)
# 	(2.0, 50.0, 10.0)
# 	(2.0, 400.0, 10.0)
# 	(1.0, 400.0, 2.0)
# 	(4.0, 100.0, 5.0)
# 	(4.0, 300.0, 6.0)
# 	(4.0, 300.0, 4.0)
# 	(1.0, 200.0, 6.0)
# 	(2.0, 500.0, 4.0)
# 	(2.0, 500.0, 7.0)
# 	(2.0, 300.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(4.0, 100.0, 7.0)
# 	(2.0, 100.0, 6.0)
# 	(2.0, 300.0, 3.0)
# 	(1.0, 500.0, 6.0)
# 	(4.0, 200.0, 5.0)
# 	(4.0, 500.0, 6.0)
# 	(4.0, 300.0, 7.0)
# 	(1.0, 300.0, 3.0)
# 	(2.0, 100.0, 3.0)
# 	(1.0, 400.0, 7.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	50.0	2.0	72.8500	72.0075	66.1633	134.7243	94.8260	223.4393	129.0395	51.5112	75.6874	69.0184	
1.0	100.0	2.0	104.1800	101.9029	103.6250	146.9746	102.2454	229.0379	147.4867	71.4468	100.7015	94.0723	
1.0	200.0	2.0	170.2600	196.0092	137.9400	180.8582	142.9741	233.1939	171.2433	143.6742	150.7298	144.1799	
1.0	300.0	2.0	231.1400	196.0092	183.9300	220.8512	199.3410	234.2821	198.3077	241.3275	200.7581	194.2876	
1.0	400.0	2.0	330.8200	284.8252	253.3733	257.0425	251.9980	234.6145	250.2614	302.9274	250.7864	244.3952	
1.0	500.0	2.0	433.1800	284.8252	297.1900	280.6368	268.6410	234.7304	255.8751	323.5492	300.8147	294.5029	
2.0	50.0	2.0	62.3100	72.0075	66.1633	109.5684	94.8260	161.0512	110.9082	53.4084	64.6071	69.0184	
2.0	100.0	2.0	100.0800	101.9029	103.6250	121.2711	102.2454	175.4208	129.3554	72.2607	89.6213	94.0723	
2.0	200.0	2.0	160.1700	196.0092	137.9400	155.7707	142.9741	204.6737	153.1120	131.9172	139.6495	144.1799	
2.0	300.0	2.0	208.6600	196.0092	183.9300	198.4960	193.0379	221.2377	176.3283	214.4090	189.6778	194.2876	
2.0	400.0	2.0	215.2900	284.8252	253.3733	238.9094	251.9980	228.0187	227.5284	287.6739	239.7061	244.3952	
2.0	500.0	2.0	256.2900	284.8252	297.1900	267.3177	268.6410	230.6445	231.9101	319.4471	289.7344	294.5029	
4.0	50.0	2.0	59.8300	72.0075	66.1633	101.6173	94.8260	139.9018	110.9082	63.3659	42.4466	69.0184	
4.0	100.0	2.0	86.6100	101.9029	103.6250	108.3255	102.2454	139.9018	129.3554	83.7239	67.4607	94.0723	
4.0	200.0	2.0	116.2800	147.1150	137.9400	131.0499	140.5936	139.9018	150.6637	130.9062	117.4890	144.1799	
4.0	300.0	2.0	143.3400	147.1150	183.9300	161.7642	183.7268	139.9020	173.1380	174.6965	167.5173	194.2876	
4.0	400.0	2.0	167.6600	238.6861	253.3733	192.9735	245.0675	139.9022	227.5284	231.3031	217.5456	244.3952	
4.0	500.0	2.0	167.6700	238.6861	297.1900	217.4114	261.7105	139.9025	231.9101	292.3228	267.5739	294.5029	
1.0	50.0	3.0	71.6800	72.0075	66.1633	129.0700	94.8260	221.2047	129.0395	55.4258	78.5440	69.0184	
1.0	100.0	3.0	102.3400	101.9029	103.6250	142.2080	102.2454	227.8016	147.4867	76.3634	103.5581	94.0723	
1.0	200.0	3.0	158.0300	196.0092	137.9400	178.6568	142.9741	232.8128	171.2433	145.9193	153.5864	144.1799	
1.0	300.0	3.0	203.2100	196.0092	183.9300	221.7792	199.3410	234.1413	198.3077	238.2620	203.6147	194.2876	
1.0	400.0	3.0	293.9300	284.8252	253.3733	260.9043	251.9980	234.5485	250.2614	301.2875	253.6430	244.3952	
