# Created: Mon Aug 04 00:47:15 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	sampling-rate:	0.075
#	input:	input/terasort-2dim.csv
#	output:	results/terasort-2dim/out-0.075.csv
#	metrics-output:	results/terasort-2dim/metrics-0.075.csv
#	sampling-type:	gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
#	models:	gr.ntua.ece.cslab.panic.core.models.MLPerceptron
#
# Points picked
# 	(10.0, 2.0)
# 	(50.0, 2.0)
# 	(10.0, 10.0)
x2	x1	objective	MLPerceptron	
10.0	2.0	197.7700	197.7700	
20.0	2.0	378.2800	333.9594	
30.0	2.0	439.7700	482.6592	
40.0	2.0	646.0500	588.9919	
50.0	2.0	644.2200	644.2200	
10.0	3.0	121.6500	176.9610	
20.0	3.0	219.5600	304.3775	
30.0	3.0	290.4400	455.6794	
40.0	3.0	379.0900	572.6397	
50.0	3.0	485.7900	636.5615	
10.0	4.0	105.3100	158.3511	
20.0	4.0	172.0700	275.8415	
30.0	4.0	234.2300	427.2090	
40.0	4.0	308.7800	554.1416	
50.0	4.0	374.3800	627.5615	
10.0	5.0	100.1100	141.8913	
20.0	5.0	150.1000	248.7766	
30.0	5.0	199.1300	397.6691	
40.0	5.0	256.9800	533.4451	
50.0	5.0	306.4200	617.0415	
10.0	6.0	90.7600	127.4752	
20.0	6.0	125.4400	223.5164	
30.0	6.0	174.1600	367.5519	
40.0	6.0	247.1600	510.5725	
50.0	6.0	296.7600	604.8218	
10.0	7.0	80.2900	114.9571	
20.0	7.0	122.0600	200.2915	
30.0	7.0	152.8100	337.3900	
40.0	7.0	193.4800	485.6362	
50.0	7.0	250.6200	590.7310	
10.0	8.0	84.5100	104.1680	
20.0	8.0	107.5200	179.2309	
30.0	8.0	142.7300	307.7189	
40.0	8.0	178.7000	458.8499	
50.0	8.0	236.4800	574.6183	
10.0	9.0	84.2700	94.9286	
20.0	9.0	121.5000	160.3705	
30.0	9.0	150.8700	279.0401	
40.0	9.0	158.6200	430.5303	
50.0	9.0	218.6400	556.3697	
10.0	10.0	87.0600	87.0600	
20.0	10.0	119.9100	143.6691	
30.0	10.0	149.9200	251.7881	
40.0	10.0	193.0000	401.0890	
50.0	10.0	291.0800	535.9253	


