# Created: Mon Aug 04 00:38:53 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.1
#	input:	input/terasort-2dim.csv
#	output:	results/terasort-2dim/out-0.1.csv
#	metrics-output:	results/terasort-2dim/metrics-0.1.csv
#
# Points picked
# 	(10.0, 7.0)
# 	(30.0, 6.0)
# 	(40.0, 6.0)
# 	(40.0, 2.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
10.0	2.0	197.7700	127.2250	646.0500	302.3245	243.3760	590.5700	286.9150	467.4368	589.0260	648.9683	
20.0	2.0	378.2800	127.2250	646.0500	350.1112	243.3760	590.5700	286.9150	550.6583	607.0699	648.9683	
30.0	2.0	439.7700	127.2250	646.0500	404.1486	243.3760	590.5700	286.9150	609.3929	625.1137	648.9683	
40.0	2.0	646.0500	446.6050	646.0500	437.2684	243.3760	590.5700	286.9150	646.0619	643.1576	648.9683	
50.0	2.0	644.2200	446.6050	646.0500	432.2660	243.3760	590.5700	286.9150	667.2307	661.2014	648.9683	
10.0	3.0	121.6500	127.2250	646.0500	275.7233	243.3760	590.5700	286.9150	335.7422	484.9649	537.5673	
20.0	3.0	219.5600	127.2250	646.0500	318.6706	243.3760	590.5700	286.9150	436.8278	503.0087	537.5673	
30.0	3.0	290.4400	127.2250	646.0500	371.9311	243.3760	590.5700	286.9150	526.7303	521.0526	537.5673	
40.0	3.0	379.0900	446.6050	646.0500	408.8223	243.3760	590.5700	286.9150	593.3781	539.0964	537.5673	
50.0	3.0	485.7900	446.6050	646.0500	410.9047	243.3760	590.5700	286.9150	636.4154	557.1403	537.5673	
10.0	4.0	105.3100	127.2250	210.6600	243.6002	243.3760	590.5040	286.9150	217.7388	380.9037	426.1663	
20.0	4.0	172.0700	127.2250	210.6600	278.2406	243.3760	590.5388	286.9150	304.4552	398.9476	426.1663	
30.0	4.0	234.2300	127.2250	210.6600	327.5324	243.3760	590.5610	286.9150	405.0208	416.9914	426.1663	
40.0	4.0	308.7800	446.6050	210.6600	366.8919	243.3760	590.5684	286.9150	500.3528	435.0353	426.1663	
50.0	4.0	374.3800	446.6050	210.6600	377.4780	243.3760	590.5698	286.9150	574.9316	453.0791	426.1663	
10.0	5.0	100.1100	127.2250	210.6600	211.8081	243.3760	432.4230	286.9150	140.1709	276.8426	314.7653	
20.0	5.0	150.1000	127.2250	210.6600	236.4891	243.3760	502.3341	286.9150	195.0761	294.8864	314.7653	
30.0	5.0	199.1300	127.2250	210.6600	279.6686	243.3760	561.9820	286.9150	274.6492	312.9303	314.7653	
40.0	5.0	256.9800	446.6050	210.6600	319.9258	243.3760	585.3767	286.9150	372.6517	330.9741	314.7653	
50.0	5.0	306.4200	446.6050	210.6600	338.8437	243.3760	590.0179	286.9150	471.7748	349.0180	314.7653	
10.0	6.0	90.7600	127.2250	210.6600	186.6358	243.3760	62.7081	286.9150	99.0082	172.7814	203.3642	
20.0	6.0	125.4400	127.2250	210.6600	201.6959	243.3760	79.7149	286.9150	127.4567	190.8253	203.3642	
30.0	6.0	174.1600	127.2250	210.6600	237.8397	243.3760	147.1440	286.9150	174.9842	208.8691	203.3642	
40.0	6.0	247.1600	446.6050	210.6600	277.2415	243.3760	354.6519	286.9150	246.8045	226.9130	203.3642	
50.0	6.0	296.7600	446.6050	210.6600	302.6564	243.3760	549.9460	286.9150	340.4030	244.9569	203.3642	
10.0	7.0	80.2900	127.2250	80.2900	172.7994	243.3760	55.2941	286.9150	79.6205	68.7203	91.9632	
