# Created: Sat Aug 02 18:50:49 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.2
#	input:	input/terasort-2dim.csv
#	output:	results/terasort-2dim/out.csv
#	metrics-output:	results/terasort-2dim/metrics.csv
#
# Points picked
# 	(10.0, 3.0)
# 	(30.0, 10.0)
# 	(20.0, 5.0)
# 	(10.0, 9.0)
# 	(50.0, 6.0)
# 	(50.0, 10.0)
# 	(30.0, 4.0)
# 	(50.0, 9.0)
# 	(30.0, 5.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
10.0	2.0	197.7700	102.9600	102.9600	162.9130	180.4157	154.2721	171.4300	137.6160	103.9747	107.3594	
20.0	2.0	378.2800	183.3450	150.1000	178.8755	180.4157	154.2732	171.4300	192.3367	155.3719	148.3881	
30.0	2.0	439.7700	183.3450	194.4267	199.8054	188.2262	154.3015	186.5807	241.4253	206.7691	189.4168	
40.0	2.0	646.0500	268.8267	268.8267	219.4472	218.3974	154.9934	223.9160	273.6065	258.1663	230.4455	
50.0	2.0	644.2200	268.8267	268.8267	232.1675	218.3974	168.3039	223.9160	290.5997	309.5635	271.4743	
10.0	3.0	121.6500	102.9600	102.9600	157.6851	180.4157	154.2723	171.4300	129.6025	101.4186	107.3594	
20.0	3.0	219.5600	183.3450	150.1000	175.7140	180.4157	154.2779	171.4300	183.5008	152.8158	148.3881	
30.0	3.0	290.4400	183.3450	194.4267	199.7052	188.2262	154.4289	186.5807	234.6088	204.2130	189.4168	
40.0	3.0	379.0900	268.8267	268.8267	222.5271	218.3974	158.0023	223.9160	269.6365	255.6102	230.4455	
50.0	3.0	485.7900	268.8267	268.8267	237.5994	218.3974	199.4533	223.9160	288.6463	307.0074	271.4743	
10.0	4.0	105.3100	102.9600	102.9600	152.3536	180.4157	154.2730	171.4300	121.9658	98.8625	107.3594	
20.0	4.0	172.0700	183.3450	150.1000	172.0396	180.4157	154.2995	171.4300	174.5852	150.2597	148.3881	
30.0	4.0	234.2300	183.3450	194.4267	198.7023	188.2262	155.0028	186.5807	227.3477	201.6569	189.4168	
