# Created: Sat Aug 02 14:49:31 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.075
#	output:	results/terasort/values-0.075.csv
#	metrics-output:	results/terasort/metrics-0.075.csv
#
# Points picked
# 	(4.0, 30.0, 2.0)
# 	(2.0, 10.0, 7.0)
# 	(2.0, 20.0, 5.0)
# 	(2.0, 10.0, 10.0)
# 	(1.0, 30.0, 8.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 30.0, 5.0)
# 	(1.0, 50.0, 3.0)
# 	(2.0, 40.0, 4.0)
# 	(1.0, 10.0, 4.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	10.0	2.0	197.7700	302.7338	327.1200	141.0696	147.3523	97.6516	115.6874	168.7479	101.6170	57.5400	
1.0	20.0	2.0	378.2800	302.7338	327.1200	172.5296	153.4499	107.0506	121.6727	238.4947	130.8607	113.6100	
1.0	30.0	2.0	439.7700	302.7338	327.1200	214.9550	195.5566	198.3593	179.9148	337.5977	160.1043	169.6800	
1.0	40.0	2.0	646.0500	302.7338	327.1200	256.9720	198.2820	245.9970	193.5679	458.3745	189.3480	225.7500	
1.0	50.0	2.0	644.2200	302.7338	327.1200	285.5520	198.2820	248.9999	213.3559	581.4259	218.5916	281.8200	
2.0	10.0	2.0	122.2600	166.2133	327.1200	128.5096	147.3523	97.6490	115.6874	126.0455	79.9307	57.5400	
2.0	20.0	2.0	193.7800	166.2133	327.1200	154.2804	153.4499	106.9670	121.6727	167.8100	109.1744	113.6100	
2.0	30.0	2.0	256.8900	166.2133	327.1200	191.0866	195.5566	198.0458	179.9148	232.6586	138.4180	169.6800	
2.0	40.0	2.0	323.5800	166.2133	327.1200	229.0439	198.2820	245.9681	193.5679	324.6933	167.6616	225.7500	
2.0	50.0	2.0	407.8700	166.2133	327.1200	256.4485	198.2820	248.9983	213.3559	440.0505	196.9053	281.8200	
4.0	10.0	2.0	72.2300	166.2133	327.1200	131.6949	154.6060	248.5022	115.6874	104.3567	36.5581	57.5400	
4.0	20.0	2.0	116.1100	166.2133	327.1200	139.0385	160.7036	249.1513	121.6727	129.5630	65.8017	113.6100	
4.0	30.0	2.0	168.4500	166.2133	327.1200	151.6453	193.7837	249.1692	179.9148	167.7518	95.0454	169.6800	
4.0	40.0	2.0	237.2300	166.2133	327.1200	166.0741	196.5091	249.1698	193.5679	220.6910	124.2890	225.7500	
4.0	50.0	2.0	362.6600	166.2133	327.1200	177.9827	196.5091	249.1699	213.3559	286.3531	153.5327	281.8200	
1.0	10.0	3.0	121.6500	302.7338	327.1200	132.3954	147.3523	97.6977	115.6874	136.1133	98.7125	57.5400	
1.0	20.0	3.0	219.5600	302.7338	327.1200	163.9418	153.4499	108.5002	121.6727	187.5445	127.9562	113.6100	
1.0	30.0	3.0	290.4400	302.7338	327.1200	207.5362	195.5566	203.2895	179.9148	265.6554	157.1998	169.6800	
1.0	40.0	3.0	379.0900	302.7338	327.1200	251.4642	198.2820	246.4302	193.5679	369.5824	186.4435	225.7500	
1.0	50.0	3.0	485.7900	302.7338	327.1200	282.1439	198.2820	249.0235	213.3559	487.5132	215.6871	281.8200	
2.0	10.0	3.0	112.3200	166.2133	327.1200	118.7611	147.3523	97.6947	115.6874	101.9984	77.0262	57.5400	
2.0	20.0	3.0	170.8600	166.2133	327.1200	144.4520	153.4499	108.4050	121.6727	129.1369	106.2699	113.6100	
2.0	30.0	3.0	220.8800	166.2133	327.1200	182.3503	195.5566	202.9926	179.9148	174.5798	135.5135	169.6800	
2.0	40.0	3.0	234.0400	166.2133	327.1200	222.2489	198.2820	246.4052	193.5679	245.8106	164.7572	225.7500	
2.0	50.0	3.0	282.4400	166.2133	327.1200	251.8859	198.2820	249.0221	213.3559	346.4223	194.0008	281.8200	
4.0	10.0	3.0	66.5100	166.2133	327.1200	125.1844	154.6060	248.5947	115.6874	86.5042	33.6536	57.5400	
4.0	20.0	3.0	86.0800	166.2133	327.1200	132.2253	160.7036	249.1539	121.6727	100.7861	62.8973	113.6100	
4.0	30.0	3.0	116.7500	166.2133	327.1200	145.2528	193.7837	249.1693	179.9148	124.1665	92.1409	169.6800	
4.0	40.0	3.0	157.9000	166.2133	327.1200	160.6947	196.5091	249.1699	193.5679	160.4334	121.3846	225.7500	
4.0	50.0	3.0	182.7200	166.2133	327.1200	173.9232	196.5091	249.1699	213.3559	212.4710	150.6282	281.8200	
1.0	10.0	4.0	105.3100	302.7338	145.1667	123.4332	112.8856	97.4797	115.6874	115.5784	95.8081	57.5400	
1.0	20.0	4.0	172.0700	302.7338	145.1667	154.0909	118.9832	101.3801	121.6727	153.7542	125.0517	113.6100	
1.0	30.0	4.0	234.2300	302.7338	145.1667	197.6216	161.0899	164.4711	179.9148	214.2736	154.2954	169.6800	
1.0	40.0	4.0	308.7800	302.7338	145.1667	242.2959	163.8153	241.4532	193.5679	299.4316	183.5390	225.7500	
1.0	50.0	4.0	374.3800	302.7338	145.1667	274.3450	163.8153	248.7442	213.3559	402.9466	212.7827	281.8200	
2.0	10.0	4.0	72.5000	166.2133	145.1667	109.0460	112.8856	97.4787	115.6874	88.2818	74.1218	57.5400	
2.0	20.0	4.0	109.4900	166.2133	145.1667	133.8683	118.9832	101.3441	121.6727	105.8149	103.3654	113.6100	
2.0	30.0	4.0	147.8300	166.2133	145.1667	171.8171	161.0899	164.1247	179.9148	136.5483	132.6091	169.6800	
2.0	40.0	4.0	182.4400	166.2133	145.1667	212.6367	163.8153	241.3851	193.5679	187.9093	161.8527	225.7500	
2.0	50.0	4.0	226.1300	166.2133	145.1667	243.8279	163.8153	248.7402	213.3559	267.0402	191.0964	281.8200	
4.0	10.0	4.0	54.7500	166.2133	145.1667	118.9656	120.1392	247.5059	115.6874	77.0046	30.7491	57.5400	
4.0	20.0	4.0	75.8700	166.2133	145.1667	125.4935	126.2368	249.1233	121.6727	84.7323	59.9928	113.6100	
4.0	30.0	4.0	99.5400	166.2133	145.1667	138.6227	159.3170	249.1683	179.9148	97.9651	89.2364	169.6800	
4.0	40.0	4.0	135.6200	166.2133	145.1667	154.7330	162.0424	249.1698	193.5679	119.9798	118.4801	225.7500	
4.0	50.0	4.0	147.7500	166.2133	145.1667	169.0184	162.0424	249.1699	213.3559	154.9640	147.7237	281.8200	
1.0	10.0	5.0	100.1100	60.7600	115.3350	114.8617	102.5004	97.3772	115.6874	102.4042	92.9036	57.5400	
1.0	20.0	5.0	150.1000	119.6775	115.3350	143.7424	108.5980	97.7825	121.6727	131.3929	122.1472	113.6100	
1.0	30.0	5.0	199.1300	119.6775	115.3350	186.0028	150.7047	108.6534	157.8653	178.8470	151.3909	169.6800	
1.0	40.0	5.0	256.9800	119.6775	115.3350	230.2182	153.4301	196.7006	171.5184	248.3788	180.6345	225.7500	
1.0	50.0	5.0	306.4200	119.6775	115.3350	262.8101	153.4301	245.0729	191.3064	336.6348	209.8782	281.8200	
2.0	10.0	5.0	72.5300	60.7600	115.3350	100.0981	102.5004	97.3771	115.6874	80.5057	71.2173	57.5400	
2.0	20.0	5.0	101.6800	119.6775	115.3350	123.3485	108.5980	97.7787	121.6727	92.1482	100.4609	113.6100	
2.0	30.0	5.0	128.9900	119.6775	115.3350	160.3241	150.7047	108.5570	157.8653	113.1381	129.7046	169.6800	
2.0	40.0	5.0	158.8800	119.6775	115.3350	200.9913	153.4301	196.3823	171.5184	149.6047	158.9482	225.7500	
2.0	50.0	5.0	191.0900	119.6775	115.3350	232.9481	153.4301	245.0358	191.3064	208.9399	188.1919	281.8200	
4.0	10.0	5.0	51.2800	60.7600	115.3350	113.5096	109.7541	234.2116	115.6874	72.0947	27.8447	57.5400	
4.0	20.0	5.0	71.6400	119.6775	115.3350	119.3659	115.8517	248.7116	121.6727	76.2179	57.0883	113.6100	
4.0	30.0	5.0	97.8800	119.6775	115.3350	132.2827	148.9318	249.1541	157.8653	83.4653	86.3320	169.6800	
4.0	40.0	5.0	100.7400	119.6775	115.3350	148.6754	151.6572	249.1692	171.5184	96.0269	115.5756	225.7500	
4.0	50.0	5.0	124.5700	119.6775	115.3350	163.6778	151.6572	249.1698	191.3064	117.2879	144.8193	281.8200	
1.0	10.0	6.0	90.7600	60.7600	103.6050	107.3678	97.4445	97.3659	115.6874	93.5906	89.9991	57.5400	
1.0	20.0	6.0	125.4400	119.6775	103.6050	133.7468	103.5421	97.3781	121.6727	116.1057	119.2428	113.6100	
1.0	30.0	6.0	174.1600	119.6775	103.6050	173.6567	145.6488	97.7300	157.8653	153.9992	148.4864	169.6800	
1.0	40.0	6.0	247.1600	119.6775	103.6050	216.2666	148.3742	105.5128	171.5184	211.5880	177.7301	225.7500	
1.0	50.0	6.0	296.7600	119.6775	103.6050	248.5430	148.3742	176.1869	191.3064	287.5206	206.9737	281.8200	
2.0	10.0	6.0	67.8700	60.7600	103.6050	92.6283	97.4445	97.3659	115.6874	75.9945	68.3128	57.5400	
2.0	20.0	6.0	88.4400	119.6775	103.6050	113.7493	103.5421	97.3780	121.6727	84.0465	97.5565	113.6100	
2.0	30.0	6.0	113.0500	119.6775	103.6050	148.8294	145.6488	97.7267	157.8653	98.8417	126.8001	169.6800	
2.0	40.0	6.0	145.1200	119.6775	103.6050	188.3034	148.3742	105.4417	171.5184	125.2027	156.0438	225.7500	
2.0	50.0	6.0	169.2200	119.6775	103.6050	220.1873	148.3742	175.8360	191.3064	169.6217	185.2874	281.8200	
4.0	10.0	6.0	50.8700	60.7600	103.6050	109.2460	104.6981	130.0193	115.6874	69.5848	24.9402	57.5400	
4.0	20.0	6.0	75.5600	119.6775	103.6050	114.3346	110.7957	235.2333	121.6727	71.8031	54.1838	113.6100	
4.0	30.0	6.0	95.8300	119.6775	103.6050	126.7529	143.8759	248.6456	157.8653	75.7684	83.4275	169.6800	
4.0	40.0	6.0	101.3000	119.6775	103.6050	143.0286	146.6013	249.1476	171.5184	82.8143	112.6711	225.7500	
4.0	50.0	6.0	143.5000	119.6775	103.6050	158.3560	146.6013	249.1687	191.3064	95.1960	141.9148	281.8200	
1.0	10.0	7.0	80.2900	60.7600	103.6050	101.5546	97.4445	97.3656	115.6874	87.4098	87.0947	57.5400	
1.0	20.0	7.0	122.0600	119.6775	103.6050	124.9230	103.5421	97.3657	121.6727	105.1855	116.3383	113.6100	
1.0	30.0	7.0	152.8100	119.6775	103.6050	161.6099	145.6488	97.3688	157.8653	135.8582	145.5819	169.6800	
1.0	40.0	7.0	193.4800	119.6775	103.6050	201.6138	148.3742	97.4418	171.5184	184.1644	174.8256	225.7500	
1.0	50.0	7.0	250.6200	119.6775	103.6050	232.7524	148.3742	98.8029	191.3064	250.5833	204.0692	281.8200	
2.0	10.0	7.0	64.4800	60.7600	103.6050	87.2311	97.4445	97.3656	115.6874	73.2645	65.4083	57.5400	
2.0	20.0	7.0	88.3300	119.6775	103.6050	105.8486	103.5421	97.3657	121.6727	79.0622	94.6520	113.6100	
2.0	30.0	7.0	112.3300	119.6775	103.6050	138.2790	145.6488	97.3688	157.8653	89.8664	123.8956	169.6800	
2.0	40.0	7.0	129.3400	119.6775	103.6050	175.6305	148.3742	97.4411	171.5184	109.4769	153.1393	225.7500	
2.0	50.0	7.0	151.7200	119.6775	103.6050	206.6189	148.3742	98.7898	191.3064	143.3852	182.3829	281.8200	
4.0	10.0	7.0	52.9000	60.7600	103.6050	106.5066	104.6981	97.7329	115.6874	68.3010	22.0357	57.5400	
4.0	20.0	7.0	63.4200	119.6775	103.6050	110.7960	110.7957	109.5867	121.6727	69.5252	51.2794	113.6100	
4.0	30.0	7.0	76.1400	119.6775	103.6050	122.4746	143.8759	206.4527	157.8653	71.7424	80.5230	169.6800	
4.0	40.0	7.0	92.0200	119.6775	103.6050	138.2493	146.6013	246.6888	171.5184	75.7512	109.7667	225.7500	
4.0	50.0	7.0	126.5500	119.6775	103.6050	153.4884	146.6013	249.0375	191.3064	82.9660	139.0103	281.8200	
1.0	10.0	8.0	84.5100	60.7600	103.6050	97.8618	97.4445	97.3656	115.6874	82.8909	84.1902	57.5400	
1.0	20.0	8.0	107.5200	119.6775	103.6050	117.9486	103.5421	97.3656	121.6727	97.0655	113.4338	113.6100	
1.0	30.0	8.0	142.7300	119.6775	103.6050	150.7978	145.6488	97.3656	157.8653	122.0693	142.6775	169.6800	
1.0	40.0	8.0	178.7000	119.6775	103.6050	187.4073	148.3742	97.3658	171.5184	162.8029	171.9211	225.7500	
1.0	50.0	8.0	236.4800	119.6775	103.6050	216.6824	148.3742	97.3694	191.3064	221.3881	201.1648	281.8200	
2.0	10.0	8.0	56.4400	60.7600	103.6050	84.3075	97.4445	97.3656	115.6874	71.5238	62.5039	57.5400	
2.0	20.0	8.0	73.5000	119.6775	103.6050	100.2423	103.5421	97.3656	121.6727	75.8390	91.7475	113.6100	
2.0	30.0	8.0	92.7600	119.6775	103.6050	129.4794	145.6488	97.3656	157.8653	83.9686	120.9912	169.6800	
2.0	40.0	8.0	114.5700	119.6775	103.6050	163.9517	148.3742	97.3658	171.5184	98.9444	150.2348	225.7500	
2.0	50.0	8.0	136.9900	119.6775	103.6050	193.3003	148.3742	97.3694	191.3064	125.3989	179.4785	281.8200	
4.0	10.0	8.0	51.7300	60.7600	103.6050	105.4833	104.6981	97.3666	115.6874	67.6380	19.1313	57.5400	
4.0	20.0	8.0	60.3200	119.6775	103.6050	108.9996	110.7957	97.4003	121.6727	68.3407	48.3749	113.6100	
4.0	30.0	8.0	90.0200	119.6775	103.6050	119.7532	143.8759	98.3726	157.8653	69.6294	77.6186	169.6800	
4.0	40.0	8.0	96.5300	119.6775	103.6050	134.6836	146.6013	118.0077	171.5184	71.9930	106.8622	225.7500	
4.0	50.0	8.0	105.4300	119.6775	103.6050	149.4325	146.6013	211.1901	191.3064	76.3223	136.1058	281.8200	
1.0	10.0	9.0	84.2700	60.7600	57.0400	96.5126	97.4445	97.3656	115.6874	79.4804	81.2857	57.5400	
1.0	20.0	9.0	121.5000	119.6775	57.0400	113.2753	103.5421	97.3656	121.6727	90.8426	110.5294	113.6100	
1.0	30.0	9.0	150.8700	119.6775	57.0400	141.9469	145.6488	97.3656	157.8653	111.2686	139.7730	169.6800	
1.0	40.0	9.0	158.6200	119.6775	57.0400	174.6232	148.3742	97.3656	171.5184	145.5821	169.0166	225.7500	
1.0	50.0	9.0	218.6400	119.6775	57.0400	201.4537	148.3742	97.3656	191.3064	197.1859	198.2603	281.8200	
2.0	10.0	9.0	58.9600	60.7600	57.0400	84.0168	97.4445	97.3656	115.6874	70.3529	59.5994	57.5400	
2.0	20.0	9.0	74.2100	119.6775	57.0400	97.2716	103.5421	97.3656	121.6727	73.6439	88.8430	113.6100	
2.0	30.0	9.0	94.0700	119.6775	57.0400	122.9974	145.6488	97.3656	157.8653	79.8968	118.0867	169.6800	
2.0	40.0	9.0	115.4700	119.6775	57.0400	154.0451	148.3742	97.3656	171.5184	91.5552	147.3303	225.7500	
2.0	50.0	9.0	130.9600	119.6775	57.0400	181.1385	148.3742	97.3656	191.3064	112.5315	176.5740	281.8200	
4.0	10.0	9.0	47.7800	60.7600	57.0400	106.2072	104.6981	97.3656	115.6874	67.2890	16.2268	57.5400	
4.0	20.0	9.0	54.1300	119.6775	57.0400	109.0205	110.7957	97.3656	121.6727	67.7132	45.4704	113.6100	
4.0	30.0	9.0	72.4400	119.6775	57.0400	118.7233	143.8759	97.3664	157.8653	68.5006	74.7141	169.6800	
4.0	40.0	9.0	76.0600	119.6775	57.0400	132.5271	146.6013	97.3841	171.5184	69.9642	103.9577	225.7500	
4.0	50.0	9.0	92.1400	119.6775	57.0400	146.4265	146.6013	97.7163	191.3064	72.6842	133.2014	281.8200	
1.0	10.0	10.0	87.0600	60.7600	57.0400	97.4942	97.4445	97.3656	115.6874	76.8490	78.3812	57.5400	
1.0	20.0	10.0	119.9100	119.6775	57.0400	111.0849	103.5421	97.3656	121.6727	85.9771	107.6249	113.6100	
1.0	30.0	10.0	149.9200	119.6775	57.0400	135.4991	145.6488	97.3656	157.8653	102.6501	136.8685	169.6800	
1.0	40.0	10.0	193.0000	119.6775	57.0400	163.9609	148.3742	97.3656	171.5184	131.4209	166.1122	225.7500	
