# Created: Sat Aug 02 14:49:35 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.10
#	output:	results/terasort/values-0.10.csv
#	metrics-output:	results/terasort/metrics-0.10.csv
#
# Points picked
# 	(1.0, 40.0, 8.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 10.0, 10.0)
# 	(2.0, 40.0, 7.0)
# 	(4.0, 10.0, 7.0)
# 	(4.0, 10.0, 5.0)
# 	(1.0, 20.0, 8.0)
# 	(4.0, 30.0, 4.0)
# 	(1.0, 50.0, 4.0)
# 	(2.0, 40.0, 9.0)
# 	(2.0, 10.0, 7.0)
# 	(4.0, 20.0, 5.0)
# 	(1.0, 40.0, 5.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	10.0	2.0	197.7700	102.3975	63.9300	153.1672	109.6905	188.7807	127.1642	112.3125	33.3725	44.5341	
1.0	20.0	2.0	378.2800	102.3975	89.5800	176.8639	111.6860	190.0821	127.1642	123.6700	67.7118	98.7602	
1.0	30.0	2.0	439.7700	102.3975	99.5400	205.3804	125.6910	190.6844	146.4376	173.9551	102.0512	152.9863	
1.0	40.0	2.0	646.0500	217.8400	170.1225	230.9792	180.4180	190.7691	169.6125	293.7476	136.3905	207.2124	
1.0	50.0	2.0	644.2200	332.7300	332.7300	245.6946	202.1175	190.7733	203.5456	379.3018	170.7299	261.4385	
2.0	10.0	2.0	122.2600	60.0750	63.9300	134.4739	92.7472	111.7032	110.1995	87.4339	28.1549	44.5341	
2.0	20.0	2.0	193.7800	60.0750	89.5800	154.5547	94.7427	145.3343	110.1995	93.1642	62.4943	98.7602	
2.0	30.0	2.0	256.8900	111.3783	99.5400	180.7943	109.8030	182.3720	133.1944	118.3308	96.8336	152.9863	
2.0	40.0	2.0	323.5800	111.3783	170.1225	206.0360	164.5299	190.3452	156.3693	207.5170	131.1730	207.2124	
2.0	50.0	2.0	407.8700	111.3783	332.7300	222.5282	186.2295	190.7657	190.3024	325.9781	165.5123	261.4385	
4.0	10.0	2.0	72.2300	60.0750	63.9300	105.0058	92.7472	61.7801	108.4481	50.2100	17.7198	44.5341	
4.0	20.0	2.0	116.1100	60.0750	89.5800	111.9677	94.7427	61.7801	108.4481	51.5076	52.0591	98.7602	
4.0	30.0	2.0	168.4500	111.3783	99.5400	125.2248	109.8030	61.7801	131.4431	56.5671	86.3985	152.9863	
4.0	40.0	2.0	237.2300	111.3783	170.1225	141.0397	164.5299	61.7802	156.3693	81.6209	120.7378	207.2124	
4.0	50.0	2.0	362.6600	111.3783	332.7300	154.7364	186.2295	61.7827	190.3024	171.4340	155.0772	261.4385	
1.0	10.0	3.0	121.6500	102.3975	63.9300	146.8180	109.6905	185.7805	127.1642	108.8362	40.2306	44.5341	
