# Created: Sat Aug 02 14:49:39 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.125
#	output:	results/terasort/values-0.125.csv
#	metrics-output:	results/terasort/metrics-0.125.csv
#
# Points picked
# 	(4.0, 50.0, 10.0)
# 	(4.0, 40.0, 3.0)
# 	(1.0, 20.0, 9.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 40.0, 2.0)
# 	(2.0, 40.0, 8.0)
# 	(4.0, 20.0, 7.0)
# 	(1.0, 10.0, 7.0)
# 	(1.0, 30.0, 6.0)
# 	(1.0, 20.0, 8.0)
# 	(2.0, 30.0, 10.0)
# 	(1.0, 40.0, 8.0)
# 	(2.0, 30.0, 9.0)
# 	(4.0, 30.0, 8.0)
# 	(1.0, 10.0, 5.0)
# 	(2.0, 20.0, 2.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	10.0	2.0	197.7700	225.0867	258.6800	151.9631	202.7943	145.6035	174.3419	189.6699	121.3943	214.0791	
1.0	20.0	2.0	378.2800	225.0867	258.6800	176.0194	204.0565	145.5383	174.3419	273.0831	153.7522	214.0791	
1.0	30.0	2.0	439.7700	225.0867	258.6800	198.5436	204.0565	145.3688	179.7875	336.1943	186.1101	214.0791	
1.0	40.0	2.0	646.0500	225.0867	258.6800	212.2709	210.3680	144.8805	188.6775	369.9081	218.4680	214.0791	
1.0	50.0	2.0	644.2200	225.0867	258.6800	213.1178	210.3680	143.3435	188.6775	386.7185	250.8259	214.0791	
2.0	10.0	2.0	122.2600	225.0867	258.6800	153.5085	202.7943	145.3199	175.4489	128.2340	85.2668	214.0791	
2.0	20.0	2.0	193.7800	225.0867	258.6800	177.7626	204.0565	144.9756	175.4489	199.0481	117.6247	214.0791	
2.0	30.0	2.0	256.8900	225.0867	258.6800	200.5058	204.0565	144.1025	180.8945	281.1300	149.9826	214.0791	
2.0	40.0	2.0	323.5800	225.0867	258.6800	214.3770	210.3680	141.7447	188.6775	339.0604	182.3405	214.0791	
2.0	50.0	2.0	407.8700	225.0867	258.6800	215.1742	210.3680	135.5749	188.6775	369.1871	214.6984	214.0791	
4.0	10.0	2.0	72.2300	225.0867	258.6800	134.4592	202.7943	103.2305	167.1738	71.8450	13.0118	214.0791	
4.0	20.0	2.0	116.1100	225.0867	258.6800	146.2515	204.0565	103.2275	167.1738	93.7114	45.3697	214.0791	
4.0	30.0	2.0	168.4500	225.0867	258.6800	158.3974	204.0565	103.2258	172.6194	141.6625	77.7276	214.0791	
4.0	40.0	2.0	237.2300	225.0867	258.6800	166.8928	210.3680	103.2250	172.6194	219.0418	110.0855	214.0791	
4.0	50.0	2.0	362.6600	225.0867	258.6800	169.0675	210.3680	103.2247	172.6194	295.4508	142.4434	214.0791	
1.0	10.0	3.0	121.6500	225.0867	157.9000	144.3647	168.6205	145.5850	130.5251	150.8230	114.4751	197.0128	
1.0	20.0	3.0	219.5600	225.0867	157.9000	168.2047	169.8827	145.5014	130.5251	228.0605	146.8330	197.0128	
1.0	30.0	3.0	290.4400	225.0867	157.9000	191.3043	169.8827	145.2844	135.9707	308.1958	179.1909	197.0128	
1.0	40.0	3.0	379.0900	225.0867	157.9000	206.2064	176.1942	144.6619	144.8608	359.9212	211.5488	197.0128	
1.0	50.0	3.0	485.7900	225.0867	157.9000	208.5054	176.1942	142.7288	144.8608	385.6299	243.9068	197.0128	
2.0	10.0	3.0	112.3200	225.0867	157.9000	144.4275	168.6205	145.2218	131.6322	105.9126	78.3476	197.0128	
