# Created: Sat Aug 02 14:49:44 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.150
#	output:	results/terasort/values-0.150.csv
#	metrics-output:	results/terasort/metrics-0.150.csv
#
# Points picked
# 	(1.0, 50.0, 4.0)
# 	(1.0, 50.0, 5.0)
# 	(2.0, 40.0, 6.0)
# 	(4.0, 30.0, 4.0)
# 	(1.0, 40.0, 9.0)
# 	(2.0, 30.0, 4.0)
# 	(4.0, 10.0, 9.0)
# 	(2.0, 50.0, 8.0)
# 	(1.0, 30.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(1.0, 10.0, 6.0)
# 	(1.0, 40.0, 8.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(1.0, 30.0, 4.0)
# 	(1.0, 50.0, 9.0)
# 	(2.0, 20.0, 2.0)
# 	(1.0, 30.0, 5.0)
# 	(1.0, 10.0, 4.0)
# 	(2.0, 10.0, 4.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	10.0	2.0	197.7700	77.9933	425.9233	189.3459	407.4990	192.5449	196.1130	229.3409	189.9656	87.3506	
1.0	20.0	2.0	378.2800	337.0000	425.9233	242.4665	407.4990	192.7002	299.0309	311.2238	244.4242	138.4081	
1.0	30.0	2.0	439.7700	337.0000	425.9233	306.0612	407.4990	193.5276	299.0309	408.2604	298.8829	189.4655	
1.0	40.0	2.0	646.0500	337.0000	425.9233	362.4539	407.4990	197.2441	291.9343	515.9791	353.3415	240.5230	
1.0	50.0	2.0	644.2200	509.3000	425.9233	394.8996	407.4990	202.8195	313.6598	627.3551	407.8002	291.5804	
2.0	10.0	2.0	122.2600	77.9933	425.9233	155.1045	360.9831	192.9516	196.1130	128.2774	119.4070	87.3506	
2.0	20.0	2.0	193.7800	144.1006	425.9233	197.2375	360.9831	193.3015	269.4351	182.3514	173.8657	138.4081	
2.0	30.0	2.0	256.8900	144.1006	425.9233	252.0537	360.9831	194.9679	269.4351	252.5489	228.3244	189.4655	
2.0	40.0	2.0	323.5800	144.1006	425.9233	304.2963	360.9831	199.8417	274.5769	339.5337	282.7830	240.5230	
2.0	50.0	2.0	407.8700	144.1006	425.9233	338.5671	360.9831	203.4999	274.5769	441.2818	337.2417	291.5804	
4.0	10.0	2.0	72.2300	77.9933	425.9233	124.1596	360.9831	204.0162	192.1532	44.7665	-21.7100	87.3506	
4.0	20.0	2.0	116.1100	144.1006	425.9233	133.0854	360.9831	204.0163	266.2066	66.2658	32.7487	138.4081	
4.0	30.0	2.0	168.4500	144.1006	425.9233	152.4839	360.9831	204.0165	266.2066	95.4389	87.2073	189.4655	
4.0	40.0	2.0	237.2300	144.1006	425.9233	176.8802	360.9831	204.0166	271.3484	134.2101	141.6660	240.5230	
4.0	50.0	2.0	362.6600	144.1006	425.9233	199.2747	360.9831	204.0166	271.3484	184.4696	196.1246	291.5804	
1.0	10.0	3.0	121.6500	77.9933	187.4544	169.9851	150.7417	192.4852	152.3992	153.1776	160.4393	87.3506	
1.0	20.0	3.0	219.5600	337.0000	187.4544	219.9112	202.2619	192.6102	214.6822	215.0364	214.8979	138.4081	
1.0	30.0	3.0	290.4400	337.0000	187.4544	282.0823	202.2619	193.2873	214.6822	293.6189	269.3566	189.4655	
1.0	40.0	3.0	379.0900	337.0000	187.4544	339.2206	202.2619	196.5944	222.2449	388.3782	323.8152	240.5230	
1.0	50.0	3.0	485.7900	509.3000	187.4544	374.4337	227.4149	202.5473	251.0373	495.6901	378.2739	291.5804	
2.0	10.0	3.0	112.3200	77.9933	187.4544	134.2376	131.2177	192.8138	132.1678	88.0919	89.8808	87.3506	
2.0	20.0	3.0	170.8600	144.1006	187.4544	173.0946	172.5392	193.1002	164.8551	126.9731	144.3394	138.4081	
2.0	30.0	3.0	220.8800	144.1006	187.4544	226.5272	172.5392	194.5153	164.8551	178.8262	198.7981	189.4655	
2.0	40.0	3.0	234.0400	144.1006	187.4544	279.6565	172.5392	199.2009	184.6561	245.7528	253.2567	240.5230	
