# Created: Sat Aug 02 14:49:48 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.175
#	output:	results/terasort/values-0.175.csv
#	metrics-output:	results/terasort/metrics-0.175.csv
#
# Points picked
# 	(2.0, 30.0, 10.0)
# 	(1.0, 30.0, 6.0)
# 	(4.0, 20.0, 10.0)
# 	(1.0, 40.0, 5.0)
# 	(4.0, 20.0, 2.0)
# 	(1.0, 20.0, 8.0)
# 	(1.0, 50.0, 6.0)
# 	(1.0, 40.0, 3.0)
# 	(2.0, 10.0, 8.0)
# 	(1.0, 50.0, 3.0)
# 	(2.0, 40.0, 5.0)
# 	(1.0, 10.0, 3.0)
# 	(2.0, 40.0, 3.0)
# 	(2.0, 50.0, 5.0)
# 	(2.0, 40.0, 9.0)
# 	(2.0, 20.0, 6.0)
# 	(4.0, 40.0, 6.0)
# 	(4.0, 40.0, 10.0)
# 	(2.0, 30.0, 8.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 10.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 30.0, 6.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	10.0	2.0	197.7700	113.4329	260.2786	155.6600	215.6268	90.0762	165.6486	167.3860	132.2898	262.9101	
1.0	20.0	2.0	378.2800	113.4329	260.2786	197.1229	215.6268	90.0788	165.6486	240.5654	154.9858	262.9101	
1.0	30.0	2.0	439.7700	314.7340	260.2786	247.4535	215.6268	98.9835	168.2121	338.8195	177.6818	262.9101	
1.0	40.0	2.0	646.0500	314.7340	260.2786	292.3675	227.6919	223.0375	248.7514	452.0286	200.3778	262.9101	
1.0	50.0	2.0	644.2200	314.7340	260.2786	317.9012	240.5285	231.9754	267.0909	555.8809	223.0738	262.9101	
2.0	10.0	2.0	122.2600	179.4714	122.7956	132.0969	130.9771	90.0762	118.7429	111.7772	115.1363	262.9101	
2.0	20.0	2.0	193.7800	179.4714	122.7956	164.5399	130.9771	90.0784	121.4356	148.1844	137.8323	262.9101	
2.0	30.0	2.0	256.8900	179.4714	122.7956	207.0314	130.9771	97.6607	123.9991	197.5002	160.5282	262.9101	
2.0	40.0	2.0	323.5800	179.4714	122.7956	247.5033	148.7377	221.3542	174.3629	269.0258	183.2242	262.9101	
2.0	50.0	2.0	407.8700	179.4714	122.7956	273.4582	167.5254	231.8082	174.3629	366.4157	205.9202	262.9101	
4.0	10.0	2.0	72.2300	179.4714	98.7729	113.9612	130.9771	90.0762	118.7429	77.7499	80.8291	262.9101	
4.0	20.0	2.0	116.1100	179.4714	98.7729	120.8655	130.9771	90.0778	121.4356	98.9856	103.5251	262.9101	
4.0	30.0	2.0	168.4500	179.4714	98.7729	134.9234	130.9771	95.6458	123.9991	118.1307	126.2211	262.9101	
4.0	40.0	2.0	237.2300	179.4714	98.7729	152.1309	136.2874	217.4268	167.3672	135.9998	148.9171	262.9101	
4.0	50.0	2.0	362.6600	179.4714	98.7729	167.2766	155.0750	231.4025	167.3672	156.2592	171.6131	262.9101	
1.0	10.0	3.0	121.6500	113.4329	260.2786	145.6480	215.6268	90.0762	165.6486	139.0893	123.7438	237.6141	
1.0	20.0	3.0	219.5600	113.4329	260.2786	186.4812	215.6268	90.0792	165.6486	196.4548	146.4398	237.6141	
1.0	30.0	3.0	290.4400	314.7340	260.2786	237.4424	215.6268	100.1187	168.2121	276.9969	169.1358	237.6141	
1.0	40.0	3.0	379.0900	314.7340	260.2786	284.0768	227.6919	224.1516	248.7514	381.3890	191.8317	237.6141	
1.0	50.0	3.0	485.7900	314.7340	260.2786	311.9082	240.5285	232.0840	267.0909	493.2758	214.5277	237.6141	
2.0	10.0	3.0	112.3200	179.4714	122.7956	120.2643	130.9771	90.0762	118.7429	99.5790	106.5902	237.6141	
2.0	20.0	3.0	170.8600	179.4714	122.7956	151.6136	130.9771	90.0787	121.4356	130.1498	129.2862	237.6141	
2.0	30.0	3.0	220.8800	179.4714	122.7956	194.4106	130.9771	98.6381	123.9991	168.5263	151.9822	237.6141	
2.0	40.0	3.0	234.0400	179.4714	122.7956	236.5077	148.7377	222.6442	174.3629	223.2532	174.6782	237.6141	
2.0	50.0	3.0	282.4400	179.4714	122.7956	264.9314	167.5254	231.9367	174.3629	303.1842	197.3742	237.6141	
4.0	10.0	3.0	66.5100	179.4714	98.7729	104.9343	130.9771	90.0762	118.7429	71.6290	72.2831	237.6141	
4.0	20.0	3.0	86.0800	179.4714	98.7729	110.6032	130.9771	90.0780	121.4356	92.9452	94.9791	237.6141	
4.0	30.0	3.0	116.7500	179.4714	98.7729	124.3985	130.9771	96.3756	123.9991	112.0980	117.6751	237.6141	
4.0	40.0	3.0	157.9000	179.4714	98.7729	142.3933	136.2874	219.1102	167.3672	128.8685	140.3711	237.6141	
4.0	50.0	3.0	182.7200	179.4714	98.7729	159.1545	155.0750	231.5791	167.3672	145.5596	163.0671	237.6141	
1.0	10.0	4.0	105.3100	113.4329	260.2786	134.6545	215.6268	90.0762	165.6486	118.3171	115.1978	212.3182	
1.0	20.0	4.0	172.0700	113.4329	260.2786	173.4247	215.6268	90.0792	165.6486	163.5350	137.8937	212.3182	
1.0	30.0	4.0	234.2300	314.7340	260.2786	223.4245	215.6268	100.2396	168.2121	226.7388	160.5897	212.3182	
1.0	40.0	4.0	308.7800	314.7340	260.2786	270.4812	227.6919	224.2566	232.2209	315.0582	183.2857	212.3182	
1.0	50.0	4.0	374.3800	314.7340	260.2786	300.0115	240.5285	232.0942	250.5604	423.8216	205.9817	212.3182	
2.0	10.0	4.0	72.5000	80.9625	122.7956	108.0066	130.9771	90.0762	118.7429	89.7472	98.0442	212.3182	
2.0	20.0	4.0	109.4900	80.9625	122.7956	137.0790	130.9771	90.0788	121.4356	116.7049	120.7402	212.3182	
2.0	30.0	4.0	147.8300	80.9625	122.7956	178.8205	130.9771	98.7423	123.9991	147.7147	143.4362	212.3182	
2.0	40.0	4.0	182.4400	127.4720	122.7956	221.3918	148.7377	222.7660	157.8325	189.2057	166.1322	212.3182	
2.0	50.0	4.0	226.1300	127.4720	122.7956	251.7001	167.5254	231.9487	157.8325	250.9589	188.8281	212.3182	
4.0	10.0	4.0	54.7500	80.9625	98.7729	96.2767	130.9771	90.0762	118.7429	65.6638	63.7371	212.3182	
4.0	20.0	4.0	75.8700	80.9625	98.7729	100.3463	130.9771	90.0780	121.4356	87.0592	86.4331	212.3182	
4.0	30.0	4.0	99.5400	80.9625	98.7729	113.3995	130.9771	96.4536	123.9991	106.5455	109.1290	212.3182	
4.0	40.0	4.0	135.6200	127.4720	98.7729	131.7230	136.2874	219.2697	150.8367	123.0735	131.8250	212.3182	
4.0	50.0	4.0	147.7500	127.4720	98.7729	149.8018	155.0750	231.5957	150.8367	137.8705	154.5210	212.3182	
1.0	10.0	5.0	100.1100	113.4329	260.2786	123.5413	210.8811	90.0762	165.6486	102.7991	106.6517	187.0222	
1.0	20.0	5.0	150.1000	113.4329	260.2786	158.9847	210.8811	90.0789	165.6486	139.5035	129.3477	187.0222	
1.0	30.0	5.0	199.1300	314.7340	260.2786	206.5161	215.3224	99.3118	168.2121	188.4882	152.0437	187.0222	
1.0	40.0	5.0	256.9800	314.7340	260.2786	252.6733	227.3875	223.3858	232.2209	258.6540	174.7397	187.0222	
1.0	50.0	5.0	306.4200	314.7340	260.2786	283.1763	240.5285	232.0096	250.5604	354.6223	197.4357	187.0222	
2.0	10.0	5.0	72.5300	80.9625	122.7956	96.2694	126.2314	90.0762	118.7429	81.4136	89.4982	187.0222	
2.0	20.0	5.0	101.6800	80.9625	122.7956	122.0656	126.2314	90.0785	121.4356	106.2265	112.1941	187.0222	
2.0	30.0	5.0	128.9900	80.9625	122.7956	161.4830	130.6727	97.9431	123.9991	132.6426	134.8901	187.0222	
2.0	40.0	5.0	158.8800	127.4720	122.7956	203.3507	148.4333	221.7571	157.8325	164.7840	157.5861	187.0222	
2.0	50.0	5.0	191.0900	127.4720	122.7956	234.8202	167.5254	231.8486	157.8325	211.0123	180.2821	187.0222	
4.0	10.0	5.0	51.2800	80.9625	98.7729	88.6233	126.2314	90.0762	118.7429	59.8468	55.1910	187.0222	
4.0	20.0	5.0	71.6400	80.9625	98.7729	90.8532	126.2314	90.0779	121.4356	81.2275	77.8870	187.0222	
4.0	30.0	5.0	97.8800	80.9625	98.7729	102.7471	130.6727	95.8563	123.9991	101.1856	100.5830	187.0222	
4.0	40.0	5.0	100.7400	127.4720	98.7729	120.9245	135.9830	217.9513	150.8367	118.0030	123.2790	187.0222	
4.0	50.0	5.0	124.5700	127.4720	98.7729	139.9309	155.0750	231.4580	150.8367	132.0328	145.9750	187.0222	
1.0	10.0	6.0	90.7600	113.4329	260.2786	113.2397	210.8811	90.0762	165.6486	90.7849	98.1057	161.7263	
1.0	20.0	6.0	125.4400	113.4329	260.2786	144.3817	210.8811	90.0784	165.6486	121.8823	120.8017	161.7263	
1.0	30.0	6.0	174.1600	314.7340	260.2786	188.1576	215.3224	97.5960	168.2121	160.5054	143.4977	161.7263	
1.0	40.0	6.0	247.1600	314.7340	260.2786	232.1804	227.3875	221.2580	232.2209	214.4154	166.1936	161.7263	
1.0	50.0	6.0	296.7600	314.7340	260.2786	262.8550	240.5285	231.7985	250.5604	292.6148	188.8896	161.7263	
2.0	10.0	6.0	67.8700	80.9625	122.7956	86.0220	118.3278	90.0762	112.5983	74.0322	80.9521	161.7263	
2.0	20.0	6.0	88.4400	80.9625	122.7956	107.8244	118.3278	90.0780	115.2909	97.5945	103.6481	161.7263	
2.0	30.0	6.0	113.0500	80.9625	122.7956	143.8546	122.7691	96.4694	117.8544	121.3614	126.3441	161.7263	
2.0	40.0	6.0	145.1200	127.4720	122.7956	183.9120	140.5297	219.3015	151.6878	147.4471	149.0401	161.7263	
2.0	50.0	6.0	169.2200	127.4720	122.7956	215.7308	159.6217	231.5989	151.6878	182.0384	171.7361	161.7263	
4.0	10.0	6.0	50.8700	80.9625	98.7729	82.5774	118.3278	90.0762	112.5983	54.1956	46.6450	161.7263	
4.0	20.0	6.0	75.5600	80.9625	98.7729	82.8799	118.3278	90.0775	115.2909	75.4120	69.3410	161.7263	
4.0	30.0	6.0	95.8300	80.9625	98.7729	93.2987	122.7691	94.7600	117.8544	95.8499	92.0370	161.7263	
4.0	40.0	6.0	101.3000	127.4720	98.7729	110.8753	128.0793	214.7711	144.6921	113.2639	114.7330	161.7263	
4.0	50.0	6.0	143.5000	127.4720	98.7729	130.3518	147.1714	231.1151	144.6921	127.2663	137.4289	161.7263	
1.0	10.0	7.0	80.2900	113.4329	260.2786	104.6220	210.8811	90.0762	165.6486	81.0497	89.5596	136.4303	
1.0	20.0	7.0	122.0600	113.4329	260.2786	130.8550	210.8811	90.0778	165.6486	108.5954	112.2556	136.4303	
1.0	30.0	7.0	152.8100	314.7340	260.2786	169.9097	215.3224	95.5432	168.2121	140.2867	134.9516	136.4303	
1.0	40.0	7.0	193.4800	314.7340	260.2786	210.7470	227.3875	217.1582	222.9662	181.6319	157.6476	136.4303	
1.0	50.0	7.0	250.6200	314.7340	260.2786	240.7794	240.5285	231.3739	241.3057	241.9972	180.3436	136.4303	
2.0	10.0	7.0	64.4800	80.9625	122.7956	78.1247	118.3278	90.0762	112.5983	67.2765	72.4061	136.4303	
2.0	20.0	7.0	88.3300	80.9625	122.7956	95.5551	118.3278	90.0775	115.2909	90.0792	95.1021	136.4303	
2.0	30.0	7.0	112.3300	80.9625	122.7956	127.4244	122.7691	94.7136	117.8544	112.4623	117.7981	136.4303	
2.0	40.0	7.0	129.3400	127.4720	122.7956	164.7210	140.5297	214.6078	142.4331	134.9465	140.4940	136.4303	
2.0	50.0	7.0	151.7200	127.4720	122.7956	196.0506	159.6217	231.0970	142.4331	161.6120	163.1900	136.4303	
4.0	10.0	7.0	52.9000	80.9625	98.7729	78.6318	118.3278	90.0762	112.5983	48.7404	38.0990	136.4303	
4.0	20.0	7.0	63.4200	80.9625	98.7729	77.0806	118.3278	90.0771	115.2909	69.6145	60.7950	136.4303	
4.0	30.0	7.0	76.1400	80.9625	98.7729	85.8338	122.7691	93.4620	117.8544	90.4497	83.4909	136.4303	
