# Created: Sat Aug 02 14:49:53 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.20
#	output:	results/terasort/values-0.20.csv
#	metrics-output:	results/terasort/metrics-0.20.csv
#
# Points picked
# 	(1.0, 50.0, 10.0)
# 	(2.0, 20.0, 9.0)
# 	(4.0, 10.0, 7.0)
# 	(1.0, 30.0, 6.0)
# 	(1.0, 10.0, 9.0)
# 	(1.0, 40.0, 3.0)
# 	(4.0, 20.0, 10.0)
# 	(1.0, 30.0, 8.0)
# 	(2.0, 40.0, 4.0)
# 	(1.0, 10.0, 8.0)
# 	(1.0, 30.0, 7.0)
# 	(2.0, 20.0, 3.0)
# 	(2.0, 40.0, 5.0)
# 	(4.0, 40.0, 8.0)
# 	(4.0, 50.0, 5.0)
# 	(2.0, 50.0, 4.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 10.0, 2.0)
# 	(1.0, 30.0, 3.0)
# 	(4.0, 10.0, 4.0)
# 	(4.0, 20.0, 4.0)
# 	(2.0, 30.0, 9.0)
# 	(4.0, 30.0, 4.0)
# 	(1.0, 20.0, 8.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 50.0, 2.0)
# 	(1.0, 20.0, 3.0)
x2	x3	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
1.0	10.0	2.0	197.7700	267.7488	69.7320	186.1879	230.2519	195.8939	186.9177	162.6020	151.0720	58.2545	
1.0	20.0	2.0	378.2800	267.7488	117.9733	230.2333	230.2519	195.8938	193.8792	228.2672	174.5899	114.8095	
1.0	30.0	2.0	439.7700	267.7488	157.6671	284.2483	249.2458	195.8939	222.2492	324.1573	198.1078	171.3644	
1.0	40.0	2.0	646.0500	267.7488	204.2350	333.9267	259.6614	195.8942	234.4652	460.1874	221.6257	227.9194	
1.0	50.0	2.0	644.2200	395.2000	307.3240	363.7087	305.3479	195.8945	234.4652	630.0529	245.1436	284.4744	
2.0	10.0	2.0	122.2600	166.8319	69.7320	149.4691	206.5858	195.8945	186.9177	104.9840	126.7703	58.2545	
2.0	20.0	2.0	193.7800	166.8319	117.9733	183.0661	206.5858	195.8945	193.8792	137.9471	150.2882	114.8095	
2.0	30.0	2.0	256.8900	166.8319	157.6671	228.4541	225.5796	195.8946	222.2492	178.3906	173.8061	171.3644	
2.0	40.0	2.0	323.5800	166.8319	204.2350	273.6353	241.5957	195.8947	234.4652	232.7833	197.3240	227.9194	
2.0	50.0	2.0	407.8700	175.2671	307.3240	304.6707	291.1054	195.8948	234.4652	313.0664	220.8419	284.4744	
4.0	10.0	2.0	72.2300	79.6850	69.7320	96.1526	187.7216	195.8951	166.4751	58.1597	78.1670	58.2545	
4.0	20.0	2.0	116.1100	79.6850	117.9733	103.4834	187.7216	195.8951	173.4366	78.9737	101.6849	114.8095	
4.0	30.0	2.0	168.4500	79.6850	157.6671	121.2366	206.7154	195.8951	201.8066	102.7303	125.2028	171.3644	
4.0	40.0	2.0	237.2300	79.6850	204.2350	144.5493	222.7315	195.8951	214.0226	127.1814	148.7207	227.9194	
4.0	50.0	2.0	362.6600	175.2671	307.3240	166.6471	279.2905	195.8951	214.0226	150.5760	172.2386	284.4744	
