site_id;latitude;longitude
RM010D1;41.904503;12.495028
RM010D2;41.904503;12.495028
RM010D3;41.904503;12.495028
RM011D1;41.900391;12.498584
RM011D2;41.900391;12.498584
RM011D3;41.900391;12.498584
RM028D1;41.910225;12.501223
RM028D2;41.910225;12.501223
RM028D3;41.910225;12.501223
RM029D1;41.916725;12.502584
RM029D2;41.916725;12.502584
RM029D3;41.916725;12.502584
RM031D1;41.898834;12.515583
RM031D2;41.898834;12.515583
RM031D3;41.898834;12.515583
RM108D1;41.921474;12.506611
RM108D2;41.921474;12.506611
RM108D3;41.921474;12.506611
RM109D1;41.925945;12.506917
RM109D2;41.925945;12.506917
RM109D3;41.925945;12.506917
RM126D1;41.919472;12.520888
RM126D2;41.919472;12.520888
RM127D1;41.913197;12.52125
RM127D2;41.913197;12.52125
RM127D3;41.913197;12.52125
RM128D1;41.917225;12.512444
RM128D2;41.917225;12.512444
RM128D3;41.917225;12.512444
RM129D1;41.907333;12.515722
RM129D2;41.907333;12.515722
RM129D3;41.907333;12.515722
RM132D1;41.898697;12.536306
RM132D2;41.898697;12.536306
RM132D3;41.898697;12.536306
RM188D1;41.922779;12.514083
RM188D2;41.922779;12.514083
RM188D3;41.922779;12.514083
RM270D1;41.916252;12.502916
RM270D2;41.916252;12.502916
RM322D1;41.899334;12.50125
RM322D2;41.899334;12.50125
RM322D3;41.899334;12.50125
RM341D1;41.894531;12.506416
RM341D2;41.894531;12.506416
RM341D3;41.894531;12.506416
RM354D1;41.896084;12.519166
RM354D2;41.896084;12.519166
RM354D3;41.896084;12.519166
RM371D1;41.924583;12.496528
RM371D2;41.924583;12.496528
RM434D1;41.905724;12.496639
RM435D1;41.905392;12.497028
RM435D2;41.905392;12.497028
RM448D1;41.898586;12.493973
RM448D2;41.898586;12.493973
RM448D3;41.898586;12.493973
RM009G1;41.914974;12.495501
RM009G2;41.914974;12.495501
RM009G3;41.914974;12.495501
RM010G1;41.904503;12.495028
RM010G2;41.904503;12.495028
RM010G3;41.904503;12.495028
RM027G1;41.918808;12.49475
RM027G2;41.918808;12.49475
RM027G3;41.918808;12.49475
RM028G1;41.910225;12.501223
RM028G2;41.910225;12.501223
RM028G3;41.910225;12.501223
RM029G1;41.916725;12.502584
RM029G2;41.916725;12.502584
RM029G3;41.916725;12.502584
RM030G1;41.905666;12.504056
RM030G2;41.905666;12.504056
RM030G3;41.905666;12.504056
RM031G1;41.898834;12.515583
RM031G2;41.898834;12.515583
RM031G3;41.898834;12.515583
RM108G1;41.921474;12.506611
RM108G2;41.921474;12.506611
RM108G3;41.921474;12.506611
RM109G1;41.925945;12.506917
RM109G2;41.925945;12.506917
RM109G3;41.925945;12.506917
RM127G1;41.913197;12.52125
RM127G2;41.913197;12.52125
RM127G3;41.913197;12.52125
RM129G1;41.907333;12.515722
RM129G2;41.907333;12.515722
RM129G3;41.907333;12.515722
RM132G1;41.898697;12.536306
RM132G2;41.898697;12.536306
RM132G3;41.898697;12.536306
RM185G1;41.91;12.498028
RM185G2;41.91;12.498028
RM185G3;41.91;12.498028
RM188G1;41.922779;12.514083
RM188G2;41.922779;12.514083
RM188G3;41.922779;12.514083
RM722D1;41.898476;12.531861
RM727D1;41.891975;12.533195
RM727D2;41.891975;12.533195
RM727D3;41.891975;12.533195
RM731D1;41.91539;12.498278
RM731D2;41.91539;12.498278
RM731D3;41.91539;12.498278
RM752D1;41.909031;12.520056
RM752D2;41.909031;12.520056
RM752D3;41.909031;12.520056
RM757D1;41.903225;12.501722
RM757D2;41.903225;12.501722
RM757D3;41.903225;12.501722
RM727G1;41.891975;12.533195
RM727G2;41.891975;12.533195
RM727G3;41.891975;12.533195
RM752G1;41.909031;12.520056
RM752G2;41.909031;12.520056
RM752G3;41.909031;12.520056
RM757G1;41.903225;12.501722
RM757G2;41.903225;12.501722
RM757G3;41.903225;12.501722
RM882D1;41.900974;12.501389
RM882D2;41.900974;12.501389
RM882D3;41.900974;12.501389
RM910G1;41.909611;12.510333
RM910G2;41.909611;12.510333
RM910G3;41.909611;12.510333
RM585D1;41.90353;12.510305
RM585D2;41.90353;12.510305
RM585D3;41.90353;12.510305
RM984D1;41.89917;12.538139
RM585G1;41.90353;12.510305
RM585G2;41.90353;12.510305
RM585G3;41.90353;12.510305
RM322G1;41.899334;12.50125
RM322G2;41.899334;12.50125
RM322G3;41.899334;12.50125
RM341G1;41.894531;12.506416
RM341G2;41.894531;12.506416
RM341G3;41.894531;12.506416
RM354G1;41.896084;12.519166
RM354G2;41.896084;12.519166
RM354G3;41.896084;12.519166
RM032D1;41.889919;12.506583
RM032D2;41.889919;12.506583
RM032D3;41.889919;12.506583
RM033D1;41.887695;12.505834
RM033D2;41.887695;12.505834
RM033D3;41.887695;12.505834
RM034D1;41.880997;12.507889
RM034D2;41.880997;12.507889
RM140D1;41.881722;12.530139
RM140D2;41.881722;12.530139
RM140D3;41.881722;12.530139
RM141D1;41.887753;12.530806
RM141D2;41.887753;12.530806
RM141D3;41.887753;12.530806
RM142D1;41.88678;12.519333
RM142D2;41.88678;12.519333
RM142D3;41.88678;12.519333
RM143D1;41.881222;12.519944
RM143D2;41.881222;12.519944
RM143D3;41.881222;12.519944
RM144D1;41.883305;12.512722
RM144D2;41.883305;12.512722
RM144D3;41.883305;12.512722
RM145D1;41.879665;12.509666
RM145D2;41.879665;12.509666
RM145D3;41.879665;12.509666
RM146D1;41.876358;12.520111
RM146D2;41.876358;12.520111
RM146D3;41.876358;12.520111
RM150D1;41.862305;12.499111
RM150D2;41.862305;12.499111
RM150D3;41.862305;12.499111
RM175D1;41.859749;12.490167
RM175D2;41.859749;12.490167
RM175D3;41.859749;12.490167
RM187D1;41.87397;12.514778
RM187D2;41.87397;12.514778
RM187D3;41.87397;12.514778
RM192D1;41.867611;12.490611
RM192D2;41.867611;12.490611
RM192D3;41.867611;12.490611
RM214D1;41.875805;12.508862
RM214D2;41.875805;12.508862
RM214D3;41.875805;12.508862
RM611D1;41.865749;12.484722
RM611D2;41.865749;12.484722
RM611D3;41.865749;12.484722
RM032G1;41.889919;12.506583
RM032G2;41.889919;12.506583
RM032G3;41.889919;12.506583
RM034G1;41.880997;12.507889
RM034G2;41.880997;12.507889
RM140G1;41.881722;12.530139
RM140G2;41.881722;12.530139
RM141G1;41.887753;12.530806
RM141G2;41.887753;12.530806
RM141G3;41.887753;12.530806
RM142G1;41.88678;12.519333
RM142G2;41.88678;12.519333
RM142G3;41.88678;12.519333
RM143G1;41.881222;12.519944
RM143G2;41.881222;12.519944
RM143G3;41.881222;12.519944
RM144G1;41.883305;12.512722
RM144G2;41.883305;12.512722
RM144G3;41.883305;12.512722
RM145G1;41.879665;12.509666
RM145G2;41.879665;12.509666
RM145G3;41.879665;12.509666
RM146G1;41.876358;12.520111
RM146G2;41.876358;12.520111
RM146G3;41.876358;12.520111
RM187G1;41.87397;12.514778
RM187G2;41.87397;12.514778
RM187G3;41.87397;12.514778
RM192G1;41.867611;12.490611
RM192G2;41.867611;12.490611
RM192G3;41.867611;12.490611
RM214G1;41.875805;12.508862
RM214G2;41.875805;12.508862
RM214G3;41.875805;12.508862
RM932G1;41.871693;12.519305
RM932G2;41.871693;12.519305
RM932G3;41.871693;12.519305
RM561G1;41.893085;12.512417
RM561G2;41.893085;12.512417
RM584G1;41.891113;12.528138
RM584G2;41.891113;12.528138
RM584G3;41.891113;12.528138
RM173D1;41.827553;12.608223
RM173D2;41.827553;12.608223
RM173D3;41.827553;12.608223
RM216D1;41.861942;12.684972
RM216D2;41.861942;12.684972
RM216D3;41.861942;12.684972
RM217D1;41.855747;12.676028
RM217D2;41.855747;12.676028
RM217D3;41.855747;12.676028
RM218D1;41.797195;12.590944
RM218D2;41.797195;12.590944
RM218D3;41.797195;12.590944
RM219D1;41.867638;12.641861
RM219D2;41.867638;12.641861
RM219D3;41.867638;12.641861
RM223D1;41.757862;12.590388
RM223D2;41.757862;12.590388
RM223D3;41.757862;12.590388
RM281D1;41.918114;12.667084
RM281D2;41.918114;12.667084
RM281D3;41.918114;12.667084
RM317D1;41.926529;12.636611
RM317D2;41.926529;12.636611
RM317D3;41.926529;12.636611
RM334D1;41.810276;12.625694
RM334D2;41.810276;12.625694
RM334D3;41.810276;12.625694
RM347D1;41.811775;12.615056
RM347D2;41.811775;12.615056
RM347D3;41.811775;12.615056
RM431D1;41.880528;12.697083
RM431D2;41.880528;12.697083
RM431D3;41.880528;12.697083
RM432D1;41.904308;12.692555
RM432D2;41.904308;12.692555
RM432D3;41.904308;12.692555
RM635D1;41.865639;12.6565
RM635D2;41.865639;12.6565
RM635D3;41.865639;12.6565
RM692D1;41.79525;12.591778
RM700D1;41.8395;12.62075
RM700D2;41.8395;12.62075
RM700D3;41.8395;12.62075
RM173G1;41.827553;12.608223
RM173G2;41.827553;12.608223
RM173G3;41.827553;12.608223
RM216G1;41.861942;12.684972
RM216G2;41.861942;12.684972
RM216G3;41.861942;12.684972
RM217G1;41.855747;12.676028
RM217G2;41.855747;12.676028
RM217G3;41.855747;12.676028
RM219G1;41.867638;12.641861
RM219G2;41.867638;12.641861
RM219G3;41.867638;12.641861
RM281G1;41.918114;12.667084
RM281G2;41.918114;12.667084
RM281G3;41.918114;12.667084
RM748D2;41.917973;12.742361
RM748D3;41.917973;12.742361
RM763D1;41.869469;12.679361
RM763D2;41.869469;12.679361
RM748G1;41.917973;12.742361
RM748G2;41.917973;12.742361
RM748G3;41.917973;12.742361
RM749G1;41.823166;12.642833
RM749G2;41.823166;12.642833
RM749G3;41.823166;12.642833
RM761G1;41.862442;12.667723
RM761G2;41.862442;12.667723
RM761G3;41.862442;12.667723
RM762G1;41.86747;12.674389
RM762G2;41.86747;12.674389
RM762G3;41.86747;12.674389
RM763G1;41.869469;12.679361
RM763G2;41.869469;12.679361
RM763G3;41.869469;12.679361
RM768G1;41.815609;12.607362
RM768G2;41.815609;12.607362
RM768G3;41.815609;12.607362
RM769G1;41.816803;12.617611
RM769G2;41.816803;12.617611
RM769G3;41.816803;12.617611
RM840D1;41.815556;12.607362
RM877D1;41.913334;12.661111
RM780G1;41.86261;12.644278
RM780G2;41.86261;12.644278
RM780G3;41.86261;12.644278
RM784G1;41.912724;12.662
RM784G2;41.912724;12.662
RM784G3;41.912724;12.662
RM799G1;41.890472;12.677861
RM799G2;41.890472;12.677861
RM799G3;41.890472;12.677861
RM800G1;41.931473;12.645861
RM800G2;41.931473;12.645861
RM800G3;41.931473;12.645861
RM936G1;41.854359;12.649805
RM936G2;41.854359;12.649805
RM936G3;41.854359;12.649805
RM780D1;41.86261;12.644278
RM780D2;41.86261;12.644278
RM780D3;41.86261;12.644278
RM784D1;41.912724;12.662
RM784D2;41.912724;12.662
RM784D3;41.912724;12.662
RM799D1;41.890472;12.677861
RM799D2;41.890472;12.677861
RM635G1;41.865639;12.6565
RM635G2;41.865639;12.6565
RM635G3;41.865639;12.6565
RM700G1;41.8395;12.62075
RM700G2;41.8395;12.62075
RM700G3;41.8395;12.62075
RM990G1;41.784359;12.561528
RM990G2;41.784359;12.561528
RM990G3;41.784359;12.561528
RM994G1;41.842751;12.629639
RM994G2;41.842751;12.629639
RM994G3;41.842751;12.629639
RM431G1;41.880528;12.697083
RM431G2;41.880528;12.697083
RM431G3;41.880528;12.697083
RM432G1;41.904308;12.692555
RM432G2;41.904308;12.692555
RM432G3;41.904308;12.692555
RM504D4;41.832386;12.652888
RM504G4;41.832386;12.652888
RM281D4;41.918114;12.667084
RM281G4;41.918114;12.667084
RM317G1;41.926529;12.636611
RM317G2;41.926529;12.636611
RM317G3;41.926529;12.636611
RM334G1;41.810276;12.625694
